Site,sub_name,station name,lat,long,elev_m,proximity_rank,frequency of measurements,min_year,max_year,air_temp_height,climate_data_source,climate_data_access,citation,metadata_file_name,added_to_database?,missing,notes
"*** If max and min temperature data had to be downloaded seperately, I retained only one metadata file",,,,,,,,,,,,,,,,,
"***OZ phenology dates were adjusted by 210 days to match northern hemisphere data, so daily data will not match match days as listed in the Prevey dataset",,,,,,,,,,,,,,,,,
"***when air temps are available at different heights I pick  1 meter air temps. First, and if there are no 1 m temps I pick 2 m temps",,,,,,,,,,,,,,,,,
ADVENTDALEN,,Svalbard Lufthavn station # SN99840 ,,,,1,daily,2000,2019,unknown,"Norsk Klimaservicesenter,  The Norwegian Meteorological Institute",https://seklima.met.no/observations/,"Norsk Klimaservicesenter,  The Norwegian Meteorological Institute",none,yes,,
ALEXFIORD,,,,,,,daily,1992,2007,1.5 meters,TVC dataset,PDC,,,yes,,
ALEXFIORD,AnneB,,,,,,daily,1992,2013,,,,,,yes,2013 only goes through August ,data from Anne B-gap filled with Eureka 
ATQASUK,AD,Atqasuk ,70.35,-157.4167,,1,hourly,1998,2019,2 meter,Arctic Data Center,https://arcticdata.io/catalog/view/urn:uuid:3a7de127-b68a-4f92-8888-c1fc271c2c0e,"Robert Hollister.·2016.·Climatic measures in the International Tundra Experiment (ITEX) sites at Barrow and Atqasuk, Alaska, 2013-2016.·Arctic Data Center.·doi:10.18739/A2NP33.",1998-20XX_Barrow_Atqasuk_ITEX_Climate_metadata.doc,yes,,newest years were obtained directly fron Bob
BAKERLAKE,,BAKER LAKE A,64.3,-96.08,18.6,1,daily,1992,2005,,Government of Canada,https://climate.weather.gc.ca/historical_data,see website,,yes,missing several week periods in early 1993 thu May ,
BARROW,BD,Barrow,71.31667,-156.6167,,1,hourly,1998,2019,2 meter,Arctic Data Center,https://arcticdata.io/catalog/view/urn:uuid:3a7de127-b68a-4f92-8888-c1fc271c2c0e,"Robert Hollister.·2016.·Climatic measures in the International Tundra Experiment (ITEX) sites at Barrow and Atqasuk, Alaska, 2013-2016.·Arctic Data Center.·doi:10.18739/A2NP33.",1998-20XX_Barrow_Atqasuk_ITEX_Climate_metadata.doc,yes,,newest years were obtained directly fron Bob
BARROW,,Barrow Atmospheric Baseline Observatory,71.341603,-156.607197,,2,daily,1994,2019,2 meter,NOAA/ESRL/GMD Baseline Observatories,https://www.esrl.noaa.gov/gmd/dv/data/index.php?category=Meteorology&site=BRW,see Esrl_Barrow_README.txt,Esrl_Barrow_README.txt,yes,"missing half of 7/2001 and 2-6/2004 and half of 8/2007, 6 days in 2018-2019",
BYLOT,,Bylot Climate Station,73.156,-79.9569,24,1,daily,1994,2018,unknown,Center for Northern Studies Bylot Island Research Station,http://www.cen.ulaval.ca/nordicanad/dpage.aspx?doi=45039SL-EE76C1BDAADC4890,"CEN 2016. Environmental data from Bylot Island in Nunavut, Canada, v. 1.51 (1992-2015). Nordicana D2, doi: 10.5885/45039SL-EE76C1BDAADC4890.",Bylot_CEN_metadata,yes,,
DARING,,Daring Lake Met. Station - Vasiala HMP35CF w/ Campbell Scientific 107F sensor,,,,1,daily,1996,2019,unknown,Karin Clark (Karin_Clark@gov.nt.ca),Karin_Clark@gov.nt.ca,"Citation: None specified, but include Karin Clark in publications",,yes,2019 only goes through July ,
ENDALEN,,,,,,,daily,2002,2009,2 meter,TVC dataset,PDC,,,yes,missing 9/2009,
FAROE,,,,,,,daily,2002,2009,unknown,TVC dataset,PDC,,,yes,,
FINSE,,,,,,,daily,2000,2009,2 meter,TVC dataset,PDC,,,yes,,
FINSE,,Dagali Ii,60.411714,8.441718,828,2,daily,1993,2009,,The Norwegian Meteorological Institute (MET Norway),https://seklima.met.no/observations/,CC BY 4.0 - The Norwegian Meteorological Institute (MET Norway),none,yes,,
FOSCAGNO,,Foscagno Pass weather station (sensor ID ),46.47451,10.20972,,1,daily,2007,2014,,La Foppa AWS,https://www.dati.lombardia.it/Ambiente/Dati-sensori-meteo/647i-nhxk,Climatic data were provided by the La Foppa AWS (ArpaLombardia) for the Foscano Pass weather station,none,yes,,
