siteyr,site_name,year
ADVENTDALEN_2015,ADVENTDALEN,2015
ALEXFIORD_1997,ALEXFIORD,1997
ALEXFIORD_1998,ALEXFIORD,1998
ALEXFIORD_2000,ALEXFIORD,2000
ALEXFIORD_2001,ALEXFIORD,2001
ALEXFIORD_2002,ALEXFIORD,2002
ALEXFIORD_2003,ALEXFIORD,2003
ALEXFIORD_2004,ALEXFIORD,2004
ALEXFIORD_2005,ALEXFIORD,2005
ALEXFIORD_2009,ALEXFIORD,2009
ALEXFIORD_2010,ALEXFIORD,2010
ALEXFIORD_2011,ALEXFIORD,2011
ALEXFIORD_2012,ALEXFIORD,2012
ALEXFIORD_2013,ALEXFIORD,2013
ALEXFIORD_2015,ALEXFIORD,2015
ALEXFIORD_1999,ALEXFIORD,1999
ATQASUK_1998,ATQASUK,1998
ATQASUK_1999,ATQASUK,1999
ATQASUK_2000,ATQASUK,2000
ATQASUK_2001,ATQASUK,2001
ATQASUK_2007,ATQASUK,2007
ATQASUK_2008,ATQASUK,2008
ATQASUK_2010,ATQASUK,2010
ATQASUK_2011,ATQASUK,2011
ATQASUK_2012,ATQASUK,2012
ATQASUK_2013,ATQASUK,2013
ATQASUK_2014,ATQASUK,2014
ATQASUK_2015,ATQASUK,2015
ATQASUK_2016,ATQASUK,2016
ATQASUK_2017,ATQASUK,2017
ATQASUK_2018,ATQASUK,2018
ATQASUK_2019,ATQASUK,2019
BARROW_1997,BARROW,1997
BARROW_1998,BARROW,1998
BARROW_1999,BARROW,1999
BARROW_2000,BARROW,2000
BARROW_2001,BARROW,2001
BARROW_2007,BARROW,2007
BARROW_2008,BARROW,2008
BARROW_2010,BARROW,2010
BARROW_2011,BARROW,2011
BARROW_2012,BARROW,2012
BARROW_2013,BARROW,2013
BARROW_2014,BARROW,2014
BARROW_2015,BARROW,2015
BARROW_2016,BARROW,2016
BARROW_2017,BARROW,2017
BARROW_2018,BARROW,2018
BARROW_2019,BARROW,2019
DARING_2001,DARING,2001
DARING_2002,DARING,2002
DARING_2003,DARING,2003
DARING_2004,DARING,2004
DARING_2005,DARING,2005
DARING_2006,DARING,2006
DARING_2007,DARING,2007
DARING_2008,DARING,2008
DARING_2009,DARING,2009
DARING_2010,DARING,2010
DARING_2011,DARING,2011
DARING_2012,DARING,2012
DARING_2013,DARING,2013
DARING_2014,DARING,2014
DARING_2015,DARING,2015
DARING_2016,DARING,2016
DARING_2017,DARING,2017
DARING_2018,DARING,2018
DARING_2019,DARING,2019
ENDALEN_2002,ENDALEN,2002
ENDALEN_2003,ENDALEN,2003
ENDALEN_2004,ENDALEN,2004
ENDALEN_2005,ENDALEN,2005
FAROE_2002,FAROE,2002
FAROE_2007,FAROE,2007
FAROE_2008,FAROE,2008
FAROE_2009,FAROE,2009
GAVIAPASS_2010,GAVIAPASS,2010
GAVIAPASS_2011,GAVIAPASS,2011
GAVIAPASS_2012,GAVIAPASS,2012
GAVIAPASS_2013,GAVIAPASS,2013
GAVIAPASS_2014,GAVIAPASS,2014
HEALY_2013,HEALY,2013
HEALY_2014,HEALY,2014
HEALY_2015,HEALY,2015
HEALY_2016,HEALY,2016
HEALY_2017,HEALY,2017
HEALY_2018,HEALY,2018
IMNAVAIT_2010,IMNAVAIT,2010
IMNAVAIT_2011,IMNAVAIT,2011
IMNAVAIT_2012,IMNAVAIT,2012
JAKOBSHORN_2015,JAKOBSHORN,2015
KANGER_2003,KANGER,2003
KANGER_2004,KANGER,2004
LATNJA_1997,LATNJA,1997
NIWOT_1996,NIWOT,1996
NIWOT_2007,NIWOT,2007
NIWOT_2008,NIWOT,2008
NIWOT_2018,NIWOT,2018
NIWOT_2019,NIWOT,2019
TOOLIK_1997,TOOLIK,1997
TOOLIK_1998,TOOLIK,1998
TOOLIK_1999,TOOLIK,1999
TOOLIK_2000,TOOLIK,2000
TOOLIK_2001,TOOLIK,2001
TOOLIK_2002,TOOLIK,2002
VALBERCLA_2014,VALBERCLA,2014
VALBERCLA_2015,VALBERCLA,2015
WHITEMTNS_2013,WHITEMTNS,2013
