"","all","site_name","subsite","year","treatment","plot","doy","OTC_period"
"1","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_OTC","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"OTC","A_A1_CA1-D1",151,"SO"
"2","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_CTL","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"CTL","A_A1_CA1-D2",151,"SO"
"3","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_CTL","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"CTL","A_A1_CA1-D3",151,"SO"
"4","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_CTL","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"CTL","A_A1_CA1-C1",151,"SO"
"5","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_CTL","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"CTL","A_A1_CA1-C2",151,"SO"
"6","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_CTL","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"CTL","A_A1_CA1-C3",151,"SO"
"7","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_CTL","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"CTL","A_A3_CA3-D1",155,"SO"
"8","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_CTL","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"CTL","A_A3_CA3-D2",155,"SO"
"9","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_OTC","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"OTC","A_A3_CA3-D3",152,"SO"
"10","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_CTL","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"CTL","A_A3_CA3-C1",155,"SO"
"11","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_CTL","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"CTL","A_A3_CA3-C2",155,"SO"
"12","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_CTL","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"CTL","A_A3_CA3-C3",155,"SO"
"13","ADVENTDALEN_ADVENTDALEN.HEATH.EC_2015_CTL","ADVENTDALEN","ADVENTDALEN.HEATH.EC",2015,"CTL","B_B4_CB4-D1",154,"SO"
