spp,genus,species,fullname,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.spp,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
BISBIS,Bistorta,bistortoides,Bistorta bistortoides,Bistorta,,bistortoides,NA,NA,,,kew-2676772,TRUE,1.1,Unresolved,Polygonaceae,Bistorta,,bistortoides,BISBIS,,,(Pursh) Small,kew-2676772,Unresolved,FALSE,FALSE,FALSE,4/2/2020,Species
DASFRU,Dasiphora,fruticosa,Dasiphora fruticosa,Dasiphora,,fruticosa,NA,NA,,,rjp-3465,TRUE,1.1,Unresolved,Rosaceae,Dasiphora,,fruticosa,DASFRU,,,auct.,rjp-3465,Unresolved,FALSE,FALSE,FALSE,4/2/2020,Species
EUPMIN,Euphrasia,minima,Euphrasia minima,Euphrasia,,minima,NA,NA,,,kew-2804229,TRUE,1.1,Unresolved,Orobanchaceae,Euphrasia,,minima,EUPMIN,,,Schloss.,kew-2804229,Unresolved,FALSE,FALSE,FALSE,4/2/2020,Species
GEUROS,Geum ,rosii,Geum  rosii,Geum,,rosii,NA,NA,,,tro-50003387,TRUE,1.1,Unresolved,Rosaceae,Geum,,rosii,GEUROS,,,Pursh,tro-50003387,Unresolved,FALSE,FALSE,FALSE,4/2/2020,Species
PLAEUR,Plantago,euryphylla,Plantago euryphylla,Plantago,,euryphylla,NA,NA,,,kew-2570080,TRUE,1.1,Unresolved,Plantaginaceae,Plantago,,euryphylla,PLAEUR,,,"B.G.Briggs, Carolin & Pulley",kew-2570080,Unresolved,FALSE,FALSE,FALSE,4/2/2020,Species
POTDIV,Potentilla,diversifolia,Potentilla diversifolia,Potentilla,,diversifolia,NA,NA,,,rjp-40193,TRUE,1.1,Unresolved,Rosaceae,Potentilla,,diversifolia,POTDIV,,,A.Gray,rjp-40193,Unresolved,FALSE,FALSE,FALSE,4/2/2020,Species
RANVIC,Ranunculus,victoriensis,Ranunculus victoriensis,Ranunculus,,victoriensis,NA,NA,,,kew-2525294,TRUE,1.1,Unresolved,Ranunculaceae,Ranunculus,,victoriensis,RANVIC,,,B.G.Briggs,kew-2525294,Unresolved,FALSE,FALSE,FALSE,4/2/2020,Species
RANVIL,Ranunculus,villarsii,Ranunculus villarsii,Ranunculus,,villarsii,NA,NA,,,kew-2525321,TRUE,1.1,Unresolved,Ranunculaceae,Ranunculus,,villarsii,RANVIL,,,DC.,kew-2525321,Unresolved,FALSE,FALSE,FALSE,4/2/2020,Species
ANTHOALP,Anthoxanthum,alpinum,Anthoxanthum alpinum,Anthoxanthum,,alpinum,NA,NA,,,kew-393937,TRUE,1.1,Synonym,Poaceae,Anthoxanthum,,odoratum,ANTHODO,,,L.,kew-394021,Accepted,FALSE,FALSE,FALSE,4/2/2020,Species
ARTBOR,Artemisia,borealis,Artemisia borealis,Artemisia,,borealis,NA,NA,,,gcc-116135,TRUE,1.1,Synonym,Compositae,Artemisia,,campestris,ARTCAMBOR,subsp.,borealis,(Pall.) H.M.Hall & Clem.,gcc-34509,Accepted,FALSE,FALSE,FALSE,4/2/2020,Species
RANGLA,Ranunculus,glacialis,Ranunculus glacialis,Ranunculus,,glacialis,NA,NA,,,kew-2524023,TRUE,1.1,Synonym,Ranunculaceae,Beckwithia,,glacialis,BECGLA,,,(L.) Á.Löve & D.Löve,kew-2672304,Accepted,FALSE,FALSE,FALSE,4/2/2020,Species
CARALP,Cardamine,alpina,Cardamine alpina,Cardamine,,alpina,NA,NA,,,kew-2699386,TRUE,1.1,Synonym,Brassicaceae,Cardamine,,bellidifolia,CARBELALP,subsp.,alpina,(Willd.) Jaer,kew-2699487,Accepted,FALSE,FALSE,FALSE,4/2/2020,Species
CARSTA,Carex,aquatilis ssp. Stans,Carex aquatilis ssp. Stans,Carex,,aquatilis,NA,ssp.,,Stans,kew-224562,TRUE,1.1,Synonym,Cyperaceae,Carex,,microcarpa,CARMIC,,,Bertol. ex Moris,kew-228630,Accepted,FALSE,FALSE,FALSE,4/2/2020,Species
CARBRE,Carex,brevipes,Carex brevipes,Carex,,brevipes,NA,NA,,,kew-225123,TRUE,1.1,Synonym,Cyperaceae,Carex,,rossii,CARROS,,,Boott,kew-230459,Accepted,FALSE,FALSE,FALSE,4/2/2020,Species
OREERI,Oreomyrrhis,eripoda,Oreomyrrhis eripoda,Oreomyrrhis,,eripoda,NA,NA,,,tro-50325446,TRUE,1.1,Synonym,Apiaceae,Chaerophyllum,,eriopodum,CHAERI,,,(DC.) K.F.Chung,kew-2603933,Unresolved,TRUE,FALSE,FALSE,4/2/2020,Species
GENTEN,Gentianella,tenella,Gentianella tenella,Gentianella,,tenella,NA,NA,,,kew-2822314,TRUE,1.1,Synonym,Gentianaceae,Comastoma,,tenellum,COMTEN,,,(Rottb.) Toyok.,kew-2732324,Accepted,FALSE,FALSE,FALSE,4/2/2020,Species
