"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A1_CA1-C1",NA,NA
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A1_CA1-C2",NA,NA
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A1_CA1-C3",NA,NA
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A1_CA1-D1",NA,NA
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A1_CA1-D2",NA,NA
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A1_CA1-D3",NA,NA
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A2_CA2-C1",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A2_CA2-C2",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A2_CA2-C3",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A2_CA2-D1",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A2_CA2-D2",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A2_CA2-D3",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A3_CA3-C1",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A3_CA3-C2",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A3_CA3-C3",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A3_CA3-D1",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A3_CA3-D2",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","A_A3_CA3-D3",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B4_CB4-C1",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B4_CB4-C2",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B4_CB4-C3",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B4_CB4-D1",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B4_CB4-D2",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B4_CB4-D3",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B5_CB5-C1",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B5_CB5-C2",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B5_CB5-C3",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B5_CB5-D1",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B5_CB5-D2",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B5_CB5-D3",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B6_CB6-C1",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B6_CB6-C2",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B6_CB6-C3",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B6_CB6-D1",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B6_CB6-D2",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2007,"CTL","B_B6_CB6-D3",NA,156
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","B_B4_CB4-C1",152,155
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","B_B4_CB4-C2",152,155
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","B_B4_CB4-C3",156,157
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","B_B4_CB4-D1",152,155
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","B_B4_CB4-D2",152,155
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","B_B4_CB4-D3",152,155
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","A_A2_CA2-C1",157,158
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","A_A2_CA2-C2",157,158
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","A_A2_CA2-C3",157,158
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","A_A2_CA2-D1",157,158
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","A_A2_CA2-D2",157,158
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","A_A2_CA2-D3",157,158
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","A_A1_CA1-C1",152,155
"ADVENTDALEN","ADVENTDALEN.HEATH.EC",2008,"CTL","A_A1_CA1-C2",158,159
