"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C7_CC7-C1",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C7_CC7-C2",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C7_CC7-C3",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C7_CC7-D1",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C7_CC7-D2",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C7_CC7-D3",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C8_CC8-D1",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C8_CC8-D2",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C8_CC8-D3",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C9_CC9-C1",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C9_CC9-C2",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C9_CC9-C3",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C9_CC9-D1",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C9_CC9-D2",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","C_C9_CC9-D3",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D10_CD10-C1",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D10_CD10-C2",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D10_CD10-C3",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D10_CD10-D1",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D10_CD10-D2",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D10_CD10-D3",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D11_CD11-C1",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D11_CD11-C2",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D11_CD11-C3",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D11_CD11-D1",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D11_CD11-D2",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D11_CD11-D3",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D12_CD12-C1",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D12_CD12-C2",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D12_CD12-C3",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D12_CD12-D1",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D12_CD12-D2",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2007,"CTL","D_D12_CD12-D3",NA,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D12_CD12-C1",152,155
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D12_CD12-C2",152,155
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D12_CD12-C3",152,155
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D12_CD12-D1",152,155
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D12_CD12-D2",152,155
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D12_CD12-D3",152,155
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D11_CD11-C1",156,157
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D11_CD11-C2",156,157
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D11_CD11-C3",156,157
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D11_CD11-D1",156,157
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D11_CD11-D2",156,157
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D11_CD11-D3",156,157
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C9_CC9-C1",157,158
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C9_CC9-C2",157,158
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C9_CC9-C3",157,158
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C9_CC9-D1",157,158
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C9_CC9-D2",157,158
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C9_CC9-D3",157,158
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C7_CC7-C1",159,160
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C7_CC7-C2",159,160
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C7_CC7-C3",159,160
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C7_CC7-D1",155,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C7_CC7-D2",155,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C7_CC7-D3",155,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D10_CD10-D1",159,160
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D10_CD10-D2",159,160
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D10_CD10-D3",159,160
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C8_CC8-D1",NA,NA
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C8_CC8-D2",NA,NA
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","C_C8_CC8-D3",NA,NA
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D10_CD10-C1",163,165
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D10_CD10-C2",163,165
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"CTL","D_D10_CD10-C3",163,165
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C9_C9-C3",163,165
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C8_C8-D1",169,171
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C8_C8-D2",169,171
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C8_C8-D3",169,171
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C9_C9-C1",169,171
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C9_C9-C2",169,171
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C9_C9-D2",169,171
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C9_C9-D3",169,171
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D10_D10-C2",169,171
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D10_D10-C3",169,171
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D10_D10-D3",169,171
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D11_D11-D3",169,171
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C7_C7-C1",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C7_C7-C2",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C7_C7-C3",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C7_C7-D2",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C7_C7-D3",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D10_D10-C1",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D10_D10-D1",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D10_D10-D2",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D11_D11-C1",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D11_D11-C2",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D11_D11-C3",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D11_D11-D1",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D11_D11-D2",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D12_D12-C2",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D12_D12-C3",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D12_D12-D1",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D12_D12-D2",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D12_D12-D3",171,176
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","D_D12_D12-C1",176,178
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C7_C7-D1",178,179
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2008,"SNOWFENCE_DEEP","C_C9_C9-D1",178,179
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C9_CC9-C1",NA,138
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C9_CC9-C2",NA,138
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C9_CC9-C3",NA,138
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C9_CC9-D1",NA,138
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C9_CC9-D2",NA,138
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C9_CC9-D3",NA,138
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D12_CD12-C1",147,148
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D12_CD12-C2",147,148
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D12_CD12-C3",147,148
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D12_CD12-D1",147,148
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D12_CD12-D2",147,148
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D12_CD12-D3",147,148
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C7_CC7-C1",153,154
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C7_CC7-C2",153,154
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C7_CC7-C3",153,154
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C7_CC7-D1",153,154
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C7_CC7-D2",153,154
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C7_CC7-D3",153,154
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D11_CD11-C1",154,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D11_CD11-C2",154,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D11_CD11-C3",154,156
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D11_CD11-D1",153,154
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D11_CD11-D2",153,154
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D11_CD11-D3",153,154
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C8_C8-D1",159,163
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C8_C8-D2",159,163
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C8_C8-D3",159,163
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C9_C9-C1",168,169
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C9_C9-C2",168,169
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C9_C9-C3",168,169
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C9_C9-D1",168,169
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C9_C9-D2",168,169
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C9_C9-D3",168,169
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C7_C7-C1",168,169
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C7_C7-C2",168,169
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C7_C7-C3",168,169
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C7_C7-D1",168,169
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C7_C7-D2",168,169
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","C_C7_C7-D3",168,169
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D10_D10-C1",174,175
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D10_D10-C2",171,172
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D10_D10-C3",171,172
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D10_D10-D1",174,175
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D10_D10-D2",171,172
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D10_D10-D3",171,172
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D12_D12-C1",165,167
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D12_D12-C2",165,167
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D12_D12-C3",165,167
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D12_D12-D1",165,167
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D12_D12-D2",165,167
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D12_D12-D3",165,167
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D11_D11-C1",173,174
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D11_D11-C2",173,174
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D11_D11-C3",173,174
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D11_D11-D1",173,174
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D11_D11-D2",173,174
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"SNOWFENCE_DEEP","D_D11_D11-D3",169,170
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C8_CC8-D1",NA,NA
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C8_CC8-D2",NA,NA
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","C_C8_CC8-D3",NA,NA
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D10_CD10-C1",NA,NA
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D10_CD10-C2",NA,NA
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D10_CD10-C3",NA,NA
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D10_CD10-D1",NA,NA
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D10_CD10-D2",NA,NA
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2009,"CTL","D_D10_CD10-D3",NA,NA
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"CTL","C_C8_CC8-D3",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"CTL","D_D12_CD12-C3",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"SHALLOW_PATCH","C_C7_RC7-1",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"SHALLOW_PATCH","C_C7_RC7-2",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"SHALLOW_PATCH","C_C8_RC8-1",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"SHALLOW_PATCH","C_C8_RC8-2",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"SHALLOW_PATCH","C_C9_RC9-1",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"SHALLOW_PATCH","C_C9_RC9-2",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"SHALLOW_PATCH","D_D10_RD10-1",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"SHALLOW_PATCH","D_D10_RD10-2",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"SHALLOW_PATCH","D_D11_RD11-1",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"SHALLOW_PATCH","D_D11_RD11-2",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"SHALLOW_PATCH","D_D12_RD12-1",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"SHALLOW_PATCH","D_D12_RD12-2",NA,132
"ADVENTDALEN","ADVENTDALEN.MEADOW.EC",2010,"CTL","C_C7_CC7-D3",132,134
