"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1995,"Snowadd",1,160,161
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1995,"Snowadd",3,160,161
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1995,"Snowadd",6,159,160
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1995,"Snowadd",8,160,161
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1995,"Snowadd",11,160,161
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1995,"Snowadd",18,160,161
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1996,"Snowadd",1,184,185
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1996,"Snowadd",3,178,179
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1996,"Snowadd",6,181,182
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1996,"Snowadd",8,179,180
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1996,"Snowadd",11,181,182
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1996,"Snowadd",18,182,183
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1997,"Snowadd",1,164,166
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1997,"Snowadd",3,164,166
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1997,"Snowadd",6,164,166
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1997,"Snowadd",8,164,166
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1997,"Snowadd",11,164,166
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1997,"Snowadd",18,164,166
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1998,"Snowadd",1,166,167
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1998,"Snowadd",3,164,165
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1998,"Snowadd",6,170,171
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1998,"Snowadd",8,168,169
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1998,"Snowadd",11,167,168
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1998,"Snowadd",18,168,169
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1999,"Snowadd",1,170,171
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1999,"Snowadd",3,167,168
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1999,"Snowadd",6,168,169
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1999,"Snowadd",8,167,168
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1999,"Snowadd",11,167,168
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",1999,"Snowadd",18,171,172
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",2000,"Snowadd",1,169,170
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",2000,"Snowadd",3,169,170
"ALEXFIORD","ALEXFIORD.CASSIOPE.GH",2000,"Snowadd",6,166,167
