"year","treatment","spp","phen_stage","ct","ct_na","subsite","site_name"
1993,"CTL","SALARC","catkin_imm",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SALARC","female_swell",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SALARC","fl_bbk",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SALARC","fl_mat",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SALARC","lv_bbk",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SALARC","lv_exp",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SALARC","lv_mat",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SALARC","lv_sen",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SALARC","male_fl_sen",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SALARC","sd_disp",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SAXOPP","cap_imm_f",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SAXOPP","cap_ripe_f",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SAXOPP","cap_ripe_l",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SAXOPP","fl_bbk_f",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SAXOPP","fl_bbk_l",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SAXOPP","fl_bds_f",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SAXOPP","fl_bds_l",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SAXOPP","fl_mat_f",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SAXOPP","fl_mat_l",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SAXOPP","fl_open_f",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
1993,"CTL","SAXOPP","lv_mat",0,16,"ALEXFIORD.DOMEDOLOMITE.GH","ALEXFIORD"
