"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"CTL",1,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"CTL",2,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"CTL",3,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"CTL",4,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"CTL",5,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"CTL",6,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"CTL",7,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"CTL",8,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"CTL",9,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"CTL",10,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"CTL",11,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"CTL",1,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"CTL",2,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"CTL",3,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"CTL",4,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"CTL",5,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"CTL",6,NA,181
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"CTL",7,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"CTL",8,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"CTL",9,NA,181
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"CTL",10,NA,181
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"CTL",11,NA,181
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"CTL",1,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"CTL",2,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"CTL",3,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"CTL",4,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"CTL",5,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"CTL",6,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"CTL",7,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"CTL",8,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"CTL",9,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"CTL",10,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"CTL",11,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2007,"CTL",1,NA,177
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2007,"CTL",2,NA,177
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2007,"CTL",3,NA,177
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2007,"CTL",4,NA,177
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2007,"CTL",5,NA,177
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2007,"CTL",6,NA,177
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2007,"CTL",7,NA,177
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2007,"CTL",8,NA,177
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2007,"CTL",9,NA,177
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2007,"CTL",10,NA,177
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2007,"CTL",11,NA,177
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL",1,175,176
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL",2,174,175
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL",3,174,175
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL",4,174,175
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL",5,174,175
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL",6,174,175
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL",7,174,175
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL",8,174,175
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL",9,174,175
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL",10,174,175
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL",11,174,175
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"OTC",1,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"OTC",2,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"OTC",3,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"OTC",4,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"OTC",5,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"OTC",6,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"OTC",7,NA,166
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"OTC",8,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"OTC",9,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"OTC",10,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2003,"OTC",11,169,170
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"OTC",1,NA,181
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"OTC",2,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"OTC",3,NA,181
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"OTC",4,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"OTC",5,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"OTC",6,NA,181
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"OTC",7,NA,181
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"OTC",8,NA,181
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"OTC",9,NA,181
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"OTC",10,NA,181
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2004,"OTC",11,NA,181
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"OTC",1,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"OTC",2,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"OTC",3,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"OTC",4,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"OTC",5,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"OTC",6,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"OTC",7,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"OTC",8,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"OTC",9,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"OTC",10,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2005,"OTC",11,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2007,"OTC",1,NA,177
