"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL",1,172,173
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL",2,172,173
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL",3,172,173
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL",4,172,173
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL",5,NA,170
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL",6,NA,170
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL",7,NA,170
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL",8,NA,170
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL",9,NA,170
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL",10,NA,170
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2004,"CTL",1,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2004,"CTL",2,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2004,"CTL",3,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2004,"CTL",4,NA,181
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2004,"CTL",5,NA,181
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2004,"CTL",6,NA,181
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2004,"CTL",7,NA,181
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2004,"CTL",8,NA,181
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2004,"CTL",9,NA,181
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2004,"CTL",10,NA,181
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2004,"CTL",11,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2005,"CTL",1,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2005,"CTL",2,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2005,"CTL",3,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2005,"CTL",4,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2005,"CTL",5,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2005,"CTL",6,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2005,"CTL",7,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2005,"CTL",8,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2005,"CTL",9,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2005,"CTL",10,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2005,"CTL",11,NA,NA
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL",1,176,177
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL",2,177,178
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL",3,172,173
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL",4,172,173
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL",5,172,173
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL",6,174,176
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL",7,170,171
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL",8,171,172
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL",9,170,171
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL",10,NA,169
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL",1,176,177
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL",2,173,174
"ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL",3,174,175
