"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",1,169,170
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",2,168,169
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",3,169,170
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",4,169,170
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",5,168,169
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",6,168,169
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",7,170,171
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",8,169,170
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",9,168,169
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",10,169,170
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",11,169,170
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",12,167,168
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",13,167,168
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL",14,168,169
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",1,161,162
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",2,159,160
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",3,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",4,161,162
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",5,161,162
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",6,159,160
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",7,159,160
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",8,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",9,161,162
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",10,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",11,161,162
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",12,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",13,158,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1993,"CTL",14,159,160
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",1,158,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",2,159,160
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",3,158,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",4,161,162
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",5,161,162
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",6,159,160
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",7,159,160
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",8,158,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",9,158,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",10,158,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",11,158,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",12,158,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",13,158,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1994,"CTL",14,159,160
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",1,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",2,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",3,159,160
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",4,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",5,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",6,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",7,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",8,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",9,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",10,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",11,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",12,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",13,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1995,"CTL",14,160,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",1,177,178
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",2,177,178
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",3,175,176
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",4,176,177
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",5,173,174
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",6,176,177
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",7,179,181
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",8,178,179
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",9,174,175
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",10,178,179
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",11,178,179
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",12,175,176
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",13,178,179
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1996,"CTL",14,177,178
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",1,161,163
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",2,NA,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",3,159,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",4,163,166
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",5,163,166
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",6,NA,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",7,NA,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",8,NA,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",9,159,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",10,161,163
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",11,161,163
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",12,NA,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",13,NA,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1997,"CTL",14,NA,159
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",1,161,164
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",2,161,164
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",3,161,164
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",4,161,164
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",5,159,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",6,159,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",7,161,164
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",8,161,164
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",9,161,164
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",10,161,164
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",11,161,164
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",12,161,164
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",13,159,161
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1998,"CTL",14,161,164
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1999,"CTL",1,168,169
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1999,"CTL",2,166,167
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1999,"CTL",3,167,168
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1999,"CTL",4,167,168
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1999,"CTL",5,166,167
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1999,"CTL",6,166,167
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1999,"CTL",7,167,168
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1999,"CTL",8,167,168
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1999,"CTL",9,167,168
"ALEXFIORD","ALEXFIORD.DRYAS.GH",1999,"CTL",10,167,168
"ALEXFIORD","ALEXFIORD.DRYAS.GH",2000,"CTL",1,NA,165
"ALEXFIORD","ALEXFIORD.DRYAS.GH",2000,"CTL",2,165,166
"ALEXFIORD","ALEXFIORD.DRYAS.GH",2000,"CTL",3,165,166
"ALEXFIORD","ALEXFIORD.DRYAS.GH",2000,"CTL",4,NA,165
"ALEXFIORD","ALEXFIORD.DRYAS.GH",2000,"CTL",5,NA,165
"ALEXFIORD","ALEXFIORD.DRYAS.GH",2000,"CTL",6,166,167
"ALEXFIORD","ALEXFIORD.DRYAS.GH",2000,"CTL",7,NA,165
"ALEXFIORD","ALEXFIORD.DRYAS.GH",2000,"CTL",8,166,167
