"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy","plant_id"
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert",1,"lv_bud","NA",169,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert",1,"lv_exp","172",175,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert",1,"lv_mat","206",209,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert",1,"lv_sen","209",213,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert",1,"fl_buds","183",186,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert",1,"fl_mat","206",209,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert",1,"fl_sen","209",213,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert_OTC",2,"lv_bud","NA",169,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert_OTC",2,"lv_exp","172",175,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert_OTC",2,"lv_mat","206",209,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert_OTC",2,"lv_sen","209",213,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert_OTC",2,"fl_buds","186",189,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert_OTC",2,"fl_mat","206",209,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Lowfert_OTC",2,"fl_sen","209",213,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert",3,"lv_bud","NA",169,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert",3,"lv_exp","172",175,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert",3,"lv_mat","186",189,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert",3,"lv_sen","209",213,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert",3,"fl_buds","183",186,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert",3,"fl_mat","192",198,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert",3,"fl_sen","209",213,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert_OTC",4,"lv_bud","NA",169,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert_OTC",4,"lv_exp","172",175,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert_OTC",4,"lv_mat","206",209,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert_OTC",4,"lv_sen","209",213,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert_OTC",4,"fl_buds","183",186,NA
"ALEXFIORD","ALEXFIORD.FERT.GH","ARCLAT",2002,"Highfert_OTC",4,"fl_mat","192",198,NA
