"year","treatment","spp","phen_stage","ct","ct_na","subsite","site_name"
2001,"CTL","CASTET","bd_exp",15,12,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"CTL","CASTET","fl_bud_f",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"CTL","CASTET","fl_mat_f",15,10,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"CTL","CASTET","frt_imm_f",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"CTL","CASTET","lv_sen",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"CTL","CASTET","pd_elo",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"CTL","CASTET","sh_bbk",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"CTL","CASTET","sh_elo",15,8,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert","CASTET","bd_exp",15,12,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert","CASTET","fl_bud_f",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert","CASTET","fl_mat_f",15,5,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert","CASTET","frt_imm_f",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert","CASTET","lv_sen",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert","CASTET","pd_elo",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert","CASTET","sh_bbk",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert","CASTET","sh_elo",15,3,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert_OTC","CASTET","bd_exp",15,9,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert_OTC","CASTET","fl_bud_f",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert_OTC","CASTET","fl_mat_f",15,7,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert_OTC","CASTET","frt_imm_f",15,14,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert_OTC","CASTET","lv_sen",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert_OTC","CASTET","pd_elo",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert_OTC","CASTET","sh_bbk",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Highfert_OTC","CASTET","sh_elo",15,6,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert","CASTET","bd_exp",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert","CASTET","fl_bud_f",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert","CASTET","fl_mat_f",15,9,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert","CASTET","frt_imm_f",15,14,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert","CASTET","lv_sen",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert","CASTET","pd_elo",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert","CASTET","sh_bbk",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert","CASTET","sh_elo",15,3,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert_OTC","CASTET","bd_exp",15,12,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert_OTC","CASTET","fl_bud_f",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert_OTC","CASTET","fl_mat_f",15,6,"ALEXFIORD.FERT.GH","ALEXFIORD"
