"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Lowfert",1,"170",171
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Lowfert",1,"161",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Lowfert",1,"171",172
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Lowfert",1,"158",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Lowfert",1,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Lowfert",1,"165",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Lowfert",1,"164",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Lowfert_OTC",2,"165",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Lowfert_OTC",2,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Lowfert_OTC",2,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Lowfert_OTC",2,"NA",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Lowfert_OTC",2,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Lowfert_OTC",2,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Lowfert_OTC",2,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Highfert",3,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Highfert",3,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Highfert",3,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Highfert",3,"157",158
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Highfert",3,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Highfert",3,"165",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Highfert",3,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Highfert_OTC",4,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Highfert_OTC",4,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Highfert_OTC",4,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Highfert_OTC",4,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Highfert_OTC",4,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Highfert_OTC",4,"NA",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Highfert_OTC",4,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"CTL",5,"166",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"CTL",5,"161",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"CTL",5,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"CTL",5,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"CTL",5,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"CTL",5,"165",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"CTL",5,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"OTC",6,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"OTC",6,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"OTC",6,"166",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"OTC",6,"NA",NA
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"OTC",6,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"OTC",6,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"OTC",6,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Water",7,"166",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Water",7,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Water",7,"166",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Water",7,"158",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Water",7,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Water",7,"165",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Water",7,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Water_OTC",8,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Water_OTC",8,"160",161
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Water_OTC",8,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Water_OTC",8,"158",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Water_OTC",8,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Water_OTC",8,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Water_OTC",8,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Lowfert",9,"169",170
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Lowfert",9,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Lowfert",9,"166",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Lowfert",9,"NA",NA
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Lowfert",9,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Lowfert",9,"165",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Lowfert",9,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Lowfert_OTC",10,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Lowfert_OTC",10,"164",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Lowfert_OTC",10,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Lowfert_OTC",10,"158",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Lowfert_OTC",10,"164",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Lowfert_OTC",10,"NA",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Lowfert_OTC",10,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Highfert",11,"NA",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Highfert",11,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Highfert",11,"NA",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Highfert",11,"NA",157
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Highfert",11,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Highfert",11,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Highfert",11,"NA",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Highfert_OTC",12,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Highfert_OTC",12,"NA",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Highfert_OTC",12,"162",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Highfert_OTC",12,"157",158
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Highfert_OTC",12,"162",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Highfert_OTC",12,"NA",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Highfert_OTC",12,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"CTL",13,"162",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"CTL",13,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"CTL",13,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"CTL",13,"158",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"CTL",13,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"CTL",13,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"CTL",13,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"OTC",14,"166",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"OTC",14,"NA",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"OTC",14,"162",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"OTC",14,"158",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"OTC",14,"164",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"OTC",14,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"OTC",14,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Water",15,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Water",15,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Water",15,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Water",15,"160",161
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Water",15,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Water",15,"165",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Water",15,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Water_OTC",16,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Water_OTC",16,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Water_OTC",16,"166",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Water_OTC",16,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Water_OTC",16,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Water_OTC",16,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Water_OTC",16,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Lowfert",17,"170",171
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Lowfert",17,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Lowfert",17,"169",170
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Lowfert",17,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Lowfert",17,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Lowfert",17,"167",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Lowfert",17,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Lowfert_OTC",18,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Lowfert_OTC",18,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Lowfert_OTC",18,"NA",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Lowfert_OTC",18,"NA",157
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Lowfert_OTC",18,"161",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Lowfert_OTC",18,"NA",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Lowfert_OTC",18,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Highfert",19,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Highfert",19,"160",161
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Highfert",19,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Highfert",19,"160",161
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Highfert",19,"NA",161
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Highfert",19,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Highfert",19,"160",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Highfert_OTC",20,"166",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Highfert_OTC",20,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Highfert_OTC",20,"166",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Highfert_OTC",20,"158",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Highfert_OTC",20,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Highfert_OTC",20,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Highfert_OTC",20,"160",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"CTL",21,"169",170
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"CTL",21,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"CTL",21,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"CTL",21,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"CTL",21,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"CTL",21,"167",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"CTL",21,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"OTC",22,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"OTC",22,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"OTC",22,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"OTC",22,"160",161
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"OTC",22,"164",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"OTC",22,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"OTC",22,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Water",23,"170",171
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Water",23,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Water",23,"166",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Water",23,"161",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Water",23,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Water",23,"167",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Water",23,"164",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Water_OTC",24,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Water_OTC",24,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Water_OTC",24,"166",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Water_OTC",24,"161",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Water_OTC",24,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Water_OTC",24,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Water_OTC",24,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Lowfert",25,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Lowfert",25,"161",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Lowfert",25,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Lowfert",25,"158",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Lowfert",25,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Lowfert",25,"165",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Lowfert",25,"160",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Lowfert_OTC",26,"166",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Lowfert_OTC",26,"NA",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Lowfert_OTC",26,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Lowfert_OTC",26,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Lowfert_OTC",26,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Lowfert_OTC",26,"NA",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Lowfert_OTC",26,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Highfert",27,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Highfert",27,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Highfert",27,"170",171
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Highfert",27,"158",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Highfert",27,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Highfert",27,"165",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Highfert",27,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Highfert_OTC",28,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Highfert_OTC",28,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Highfert_OTC",28,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Highfert_OTC",28,"161",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Highfert_OTC",28,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Highfert_OTC",28,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Highfert_OTC",28,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"CTL",29,"162",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"CTL",29,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"CTL",29,"164",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"CTL",29,"158",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"CTL",29,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"CTL",29,"165",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"CTL",29,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"OTC",30,"166",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"OTC",30,"164",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"OTC",30,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"OTC",30,"158",159
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"OTC",30,"164",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"OTC",30,"NA",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"OTC",30,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Water",31,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Water",31,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Water",31,"166",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Water",31,"160",161
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Water",31,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Water",31,"165",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Water",31,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Water_OTC",32,"166",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Water_OTC",32,"161",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Water_OTC",32,"162",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Water_OTC",32,"NA",NA
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Water_OTC",32,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Water_OTC",32,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Water_OTC",32,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Lowfert",33,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Lowfert",33,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Lowfert",33,"166",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Lowfert",33,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Lowfert",33,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Lowfert",33,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Lowfert",33,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Lowfert_OTC",34,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Lowfert_OTC",34,"161",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Lowfert_OTC",34,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Lowfert_OTC",34,"NA",NA
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Lowfert_OTC",34,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Lowfert_OTC",34,"NA",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Lowfert_OTC",34,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Highfert",35,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Highfert",35,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Highfert",35,"164",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Highfert",35,"NA",157
