"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"CTL",1,NA,163
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"CTL",2,166,168
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"CTL",3,169,170
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"CTL",4,166,168
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"CTL",5,170,171
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"CTL",6,165,166
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"CTL",7,166,168
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"CTL",8,166,168
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"CTL",9,165,166
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"CTL",10,163,165
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2004,"CTL",1,161,162
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2004,"CTL",2,161,162
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2004,"CTL",3,161,162
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2004,"CTL",4,NA,NA
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2004,"CTL",5,161,162
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2004,"CTL",6,159,160
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2004,"CTL",7,NA,159
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2004,"CTL",8,NA,NA
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2004,"CTL",9,160,161
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2004,"CTL",10,161,162
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2005,"CTL",1,170,171
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2005,"CTL",2,170,171
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2005,"CTL",3,172,173
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2005,"CTL",4,170,171
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2005,"CTL",5,172,173
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2005,"CTL",6,NA,170
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2005,"CTL",7,170,171
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2005,"CTL",8,171,172
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2005,"CTL",9,172,173
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2005,"CTL",10,170,171
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2007,"CTL",1,160,161
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2007,"CTL",2,160,161
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2007,"CTL",3,NA,NA
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2007,"CTL",4,160,161
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2007,"CTL",5,160,161
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2007,"CTL",6,158,159
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2007,"CTL",7,158,159
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2007,"CTL",8,161,162
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2007,"CTL",9,160,161
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2007,"CTL",10,NA,158
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2008,"CTL",1,163,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2008,"CTL",2,164,166
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2008,"CTL",3,164,166
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2008,"CTL",4,164,166
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2008,"CTL",5,163,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2008,"CTL",6,163,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2008,"CTL",7,162,163
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2008,"CTL",8,163,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2008,"CTL",9,162,163
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2008,"CTL",10,162,163
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2010,"CTL",1,165,167
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2010,"CTL",2,165,167
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2010,"CTL",3,167,169
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2010,"CTL",4,165,167
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2010,"CTL",5,167,169
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2010,"CTL",6,164,165
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2010,"CTL",7,165,167
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2010,"CTL",8,165,167
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2010,"CTL",9,165,167
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2010,"CTL",10,165,167
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2011,"CTL",1,164,166
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2011,"CTL",2,164,166
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2011,"CTL",3,162,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2011,"CTL",4,162,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2011,"CTL",5,166,169
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2011,"CTL",6,164,166
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2011,"CTL",7,162,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2011,"CTL",8,162,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2011,"CTL",9,162,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2011,"CTL",10,162,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2013,"CTL",1,163,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2013,"CTL",2,163,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2013,"CTL",3,163,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2013,"CTL",4,163,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2013,"CTL",5,163,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2013,"CTL",6,163,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2013,"CTL",7,162,163
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2013,"CTL",8,163,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2013,"CTL",9,163,164
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2013,"CTL",10,162,163
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"OTC",1,163,165
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"OTC",2,NA,163
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"OTC",3,168,169
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"OTC",4,168,169
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"OTC",5,166,168
"ALEXFIORD","ALEXFIORD.SAXOPP.GH",2003,"OTC",6,163,165
