"year","treatment","spp","phen_stage","ct","ct_na","subsite","site_name"
1992,"CTL","OXYDIG","elo_f",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","OXYDIG","elo_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","OXYDIG","fl_sen_f",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","OXYDIG","flbd_f",30,8,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","OXYDIG","flbd_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","OXYDIG","lv_mat",30,0,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","OXYDIG","lv_mat /sen",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","OXYDIG","lv_new",30,0,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","OXYDIG","lv_sen",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","OXYDIG","poll_f",30,16,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","OXYDIG","sd_fall",30,9,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","OXYDIG","sd_set_f",30,9,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","OXYDIG","sd_set_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","cap_imm_f",30,11,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","cap_imm_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","cap_mat_f",30,21,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","cap_mat_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","fl_bbk_f",30,25,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","fl_bbk_l",30,10,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","fl_bds_f",30,12,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","fl_bds_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","fl_elo_f",30,9,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","fl_elo_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","fl_mat_f",30,9,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","fl_mat_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","fl_sen_f",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","fl_sen_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","lv_mat",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","lv_new",30,1,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"CTL","PAPRAD","lv_sen",30,0,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","elo_f",0,29,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","elo_l",0,29,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","fl_sen_f",0,29,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","flbd_f",29,10,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","flbd_l",0,29,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","lv_mat",29,0,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","lv_mat /sen",0,29,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","lv_new",29,1,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","lv_sen",0,29,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","poll_f",29,12,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","sd_fall",29,12,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","sd_set_f",29,12,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","OXYDIG","sd_set_l",0,29,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","cap_imm_f",30,8,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","cap_imm_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","cap_mat_f",30,19,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","cap_mat_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","fl_bbk_f",30,25,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","fl_bbk_l",30,8,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","fl_bds_f",30,13,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","fl_bds_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","fl_elo_f",30,8,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","fl_elo_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","fl_mat_f",30,8,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","fl_mat_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","fl_sen_f",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","fl_sen_l",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","lv_mat",0,30,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","lv_new",30,1,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1992,"OTC","PAPRAD","lv_sen",30,1,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","aborted",0,21,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","cap_f",21,7,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","cap_l",0,21,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","fl_bbk_f",21,7,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","fl_bbk_l",0,21,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","fl_bud_f",21,9,"ALEXFIORD.WILLOW.GH","ALEXFIORD"
