"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"CTL",1,165,166
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"CTL",2,167,168
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"CTL",3,166,167
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"CTL",4,164,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"CTL",5,167,168
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"CTL",6,167,168
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"CTL",7,167,168
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"CTL",8,168,169
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"CTL",9,168,169
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"CTL",10,168,169
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1993,"CTL",1,153,154
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1993,"CTL",2,154,155
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1993,"CTL",3,154,155
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1993,"CTL",4,153,154
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1993,"CTL",5,155,156
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1993,"CTL",6,154,155
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1993,"CTL",7,153,154
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1993,"CTL",8,154,155
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1993,"CTL",9,154,155
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1993,"CTL",10,154,155
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1994,"CTL",1,150,151
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1994,"CTL",2,155,156
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1994,"CTL",3,153,154
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1994,"CTL",4,152,153
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1994,"CTL",5,157,158
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1994,"CTL",6,155,156
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1994,"CTL",7,153,154
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1994,"CTL",8,154,155
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1994,"CTL",9,154,155
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1994,"CTL",10,156,157
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1995,"CTL",1,156,157
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1995,"CTL",2,159,160
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1995,"CTL",3,159,160
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1995,"CTL",4,156,157
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1995,"CTL",5,158,159
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1995,"CTL",6,158,159
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1995,"CTL",7,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1995,"CTL",8,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1995,"CTL",9,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1995,"CTL",10,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1996,"CTL",1,NA,166
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1996,"CTL",2,170,171
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1996,"CTL",3,168,169
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1996,"CTL",4,166,168
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1996,"CTL",5,169,170
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1996,"CTL",6,169,170
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1996,"CTL",7,171,172
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1996,"CTL",8,171,172
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1996,"CTL",9,171,172
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1996,"CTL",10,172,173
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1997,"CTL",1,NA,150
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1997,"CTL",2,152,153
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1997,"CTL",3,153,154
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1997,"CTL",4,152,153
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1997,"CTL",5,155,156
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1997,"CTL",6,154,155
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1997,"CTL",7,152,153
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1997,"CTL",8,155,156
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1997,"CTL",9,155,156
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1997,"CTL",10,156,157
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1998,"CTL",1,155,156
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1998,"CTL",2,159,160
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1998,"CTL",3,159,160
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1998,"CTL",4,155,156
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1998,"CTL",5,161,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1998,"CTL",6,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1998,"CTL",7,158,159
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1998,"CTL",8,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1998,"CTL",9,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1998,"CTL",10,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1999,"CTL",1,167,168
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1999,"CTL",2,169,170
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1999,"CTL",3,168,169
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1999,"CTL",4,166,167
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1999,"CTL",5,170,171
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1999,"CTL",6,169,170
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1999,"CTL",7,169,170
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1999,"CTL",8,170,171
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1999,"CTL",9,170,171
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1999,"CTL",10,172,173
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2000,"CTL",1,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2000,"CTL",2,164,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2000,"CTL",3,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2000,"CTL",4,161,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2000,"CTL",5,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2000,"CTL",6,164,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2000,"CTL",7,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2000,"CTL",8,164,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2000,"CTL",9,164,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2000,"CTL",10,164,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2001,"CTL",1,166,169
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2001,"CTL",2,171,172
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2001,"CTL",3,171,172
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2001,"CTL",4,169,171
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2001,"CTL",5,171,172
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2001,"CTL",6,173,176
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2001,"CTL",7,171,172
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2001,"CTL",8,171,172
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2001,"CTL",9,173,176
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2001,"CTL",10,173,176
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2002,"CTL",1,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2002,"CTL",2,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2002,"CTL",3,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2002,"CTL",4,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2002,"CTL",5,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2002,"CTL",6,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2002,"CTL",7,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2002,"CTL",8,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2002,"CTL",9,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2002,"CTL",10,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2003,"CTL",1,NA,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2003,"CTL",2,166,167
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2003,"CTL",3,167,169
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2003,"CTL",4,NA,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2003,"CTL",5,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2003,"CTL",6,165,166
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2003,"CTL",7,164,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2003,"CTL",8,164,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2003,"CTL",9,166,167
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2003,"CTL",10,166,167
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2004,"CTL",1,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2004,"CTL",2,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2004,"CTL",3,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2004,"CTL",4,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2004,"CTL",5,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2004,"CTL",6,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2004,"CTL",7,161,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2004,"CTL",8,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2004,"CTL",9,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2004,"CTL",10,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2005,"CTL",1,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2005,"CTL",2,169,171
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2005,"CTL",3,166,167
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2005,"CTL",4,167,168
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2005,"CTL",5,167,168
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2005,"CTL",6,168,169
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2005,"CTL",7,166,167
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2005,"CTL",8,167,168
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2005,"CTL",9,173,174
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2005,"CTL",10,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2007,"CTL",1,151,152
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2007,"CTL",2,157,158
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2007,"CTL",3,152,157
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2007,"CTL",4,152,157
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2007,"CTL",5,152,157
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2007,"CTL",6,157,158
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2007,"CTL",7,152,157
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2007,"CTL",8,158,159
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2007,"CTL",9,158,159
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2007,"CTL",10,152,157
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2008,"CTL",1,NA,160
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2008,"CTL",2,162,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2008,"CTL",3,164,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2008,"CTL",4,NA,160
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2008,"CTL",5,161,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2008,"CTL",6,161,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2008,"CTL",7,162,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2008,"CTL",8,162,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2008,"CTL",9,162,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2008,"CTL",10,162,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2010,"CTL",1,NA,160
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2010,"CTL",2,165,167
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2010,"CTL",3,163,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2010,"CTL",4,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2010,"CTL",5,165,167
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2010,"CTL",6,161,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2010,"CTL",7,165,167
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2010,"CTL",8,165,167
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2010,"CTL",9,165,167
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2010,"CTL",10,161,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2011,"CTL",1,NA,160
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2011,"CTL",2,162,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2011,"CTL",3,NA,160
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2011,"CTL",4,160,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2011,"CTL",5,162,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2011,"CTL",6,162,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2011,"CTL",7,160,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2011,"CTL",8,160,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2011,"CTL",9,164,166
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2011,"CTL",10,164,166
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2012,"CTL",1,NA,156
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2012,"CTL",2,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2012,"CTL",3,161,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2012,"CTL",4,158,159
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2012,"CTL",5,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2012,"CTL",6,161,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2012,"CTL",7,160,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2012,"CTL",8,161,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2012,"CTL",9,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2012,"CTL",10,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2013,"CTL",1,NA,158
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2013,"CTL",2,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2013,"CTL",3,158,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2013,"CTL",4,158,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2013,"CTL",5,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2013,"CTL",6,162,163
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2013,"CTL",7,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2013,"CTL",8,158,161
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2013,"CTL",9,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",2013,"CTL",10,163,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"OTC",1,162,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"OTC",2,164,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"OTC",3,160,162
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"OTC",4,NA,160
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"OTC",5,162,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"OTC",6,162,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"OTC",7,164,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"OTC",8,164,165
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"OTC",9,162,164
"ALEXFIORD","ALEXFIORD.WILLOW.GH",1992,"OTC",10,164,165
