"site_name","subsite","spp","plant_id","year","treatment","plot","phen_stage","prior_visit","doy"
"ATQASUK","ATQASUK.AD.RH","DIALAP","2",1998,"CTL","ADC05","Le_IN",161,162
"ATQASUK","ATQASUK.AD.RH","DIALAP",NA,2007,"OTC","ADE08","Le_TP",NA,169
"ATQASUK","ATQASUK.AD.RH","DIALAP","1",2008,"CTL","ADC20","Le_IN",168,169
"ATQASUK","ATQASUK.AD.RH","DIALAP","3",2008,"OTC","ADE05","Le_IN",NA,168
"ATQASUK","ATQASUK.AD.RH","DIALAP","1",2008,"OTC","ADE08","Le_IN",NA,168
"ATQASUK","ATQASUK.AD.RH","DIALAP","2",2008,"OTC","ADE10","Le_IN",NA,168
"ATQASUK","ATQASUK.AD.RH","DIALAP",NA,2010,"CTL","ADC05","Le_TP",164,169
"ATQASUK","ATQASUK.AD.RH","DIALAP",NA,2011,"CTL","ADC11","Le_TP",168,174
"ATQASUK","ATQASUK.AD.RH","DIALAP",NA,2015,"CTL","ADC03","Le_TP",NA,164
"ATQASUK","ATQASUK.AD.RH","DIALAP",NA,2015,"OTC","ADE24","Le_TP",164,165
"ATQASUK","ATQASUK.AD.RH","HIEALPINA",NA,2010,"OTC","ADE03","Le_TP",164,169
"ATQASUK","ATQASUK.AD.RH","HIEALPINA",NA,2012,"CTL","ADC14","Le_TP",NA,167
"ATQASUK","ATQASUK.AD.RH","HIEALPINA",NA,2013,"CTL","ADC24","Le_TP",165,171
"ATQASUK","ATQASUK.AD.RH","HIEALPINA",NA,2013,"OTC","ADE02","Le_TP",NA,162
"ATQASUK","ATQASUK.AD.RH","HIEALPINA",NA,2015,"CTL","ADC14","Le_TP",164,165
"ATQASUK","ATQASUK.AD.RH","HIEALPINA",NA,2016,"CTL","ADC06","Le_TP",163,164
"ATQASUK","ATQASUK.AD.RH","HIEALPINA",NA,2017,"OTC","ADE04","Le_TP",161,163
"ATQASUK","ATQASUK.AD.RH","LUZCON",NA,2008,"OTC","ADE03","Le_TP",NA,168
"ATQASUK","ATQASUK.AD.RH","LUZCON",NA,2011,"OTC","ADE03","Le_TP",NA,168
"ATQASUK","ATQASUK.AD.RH","LUZCON",NA,2012,"OTC","ADE19","Le_TP",168,172
"ATQASUK","ATQASUK.AD.RH","LUZCON",NA,2015,"CTL","ADC14","Le_TP",164,165
"ATQASUK","ATQASUK.AD.RH","LUZCON",NA,2015,"OTC","ADE19","Le_TP",164,165
"ATQASUK","ATQASUK.AD.RH","LUZCON",NA,2016,"CTL","ADC06","Le_TP",163,164
"ATQASUK","ATQASUK.AD.RH","LUZCON",NA,2016,"OTC","ADE11","Le_TP",163,164
