"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC01",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC02",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC03",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC04",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC05",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC06",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC07",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC08",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC09",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC10",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC11",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC12",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC13",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC14",159,160
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC15",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC16",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC17",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC18",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC19",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC20",159,160
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC21",161,162
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC22",161,162
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC23",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"CTL","ADC24",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE01",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE02",159,160
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE03",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE04",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE05",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE06",161,162
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE07",161,162
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE08",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE09",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE10",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE11",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE12",159,160
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE13",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE14",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE15",161,162
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE16",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE17",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE18",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE19",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE20",160,161
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE21",161,162
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE22",NA,159
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE23",159,160
"ATQASUK","ATQASUK.AD.RH",1999,"OTC","ADE24",NA,159
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC01",158,159
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC02",157,158
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC03",157,158
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC04",NA,157
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC05",159,160
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC06",NA,157
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC07",158,159
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC08",NA,157
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC09",NA,157
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC10",NA,157
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC11",157,158
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC12",157,158
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC13",NA,157
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC14",157,158
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC15",NA,157
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC16",NA,157
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC17",158,159
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC18",158,159
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC19",157,158
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC20",158,159
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC21",157,158
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC22",157,158
"ATQASUK","ATQASUK.AD.RH",2000,"CTL","ADC23",158,159
