"site_name","subsite","spp","plant_id","year","treatment","plot","phen_stage","prior_visit","doy"
"ATQASUK","ATQASUK.AW.RH","CARAQU",NA,1998,"CTL","AWC21","Le_TP",160,161
"ATQASUK","ATQASUK.AW.RH","CARAQU",NA,2012,"CTL","AWC15","Le_TP",168,172
"ATQASUK","ATQASUK.AW.RH","ERIANG",NA,2011,"CTL","AWC12","Le_TP",169,174
"ATQASUK","ATQASUK.AW.RH","ERIANG",NA,2019,"OTC","AWE20","Le_TP",169,170
"ATQASUK","ATQASUK.AW.RH","BETNAN","1",1998,"CTL","AWC01","Le_IN",173,174
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,1998,"CTL","AWC01","Le_TP",173,174
"ATQASUK","ATQASUK.AW.RH","BETNAN","1",1998,"CTL","AWC03","Le_IN",163,164
"ATQASUK","ATQASUK.AW.RH","BETNAN","2",1998,"CTL","AWC03","Le_IN",171,173
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,1998,"CTL","AWC03","Le_TP",163,164
"ATQASUK","ATQASUK.AW.RH","BETNAN","1",1998,"CTL","AWC04","Le_IN",165,167
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,1998,"CTL","AWC04","Le_TP",165,167
"ATQASUK","ATQASUK.AW.RH","BETNAN","1",1999,"CTL","AWC01","Le_IN",174,175
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,1999,"CTL","AWC01","Le_TP",174,175
"ATQASUK","ATQASUK.AW.RH","BETNAN","1",1999,"CTL","AWC03","Le_IN",174,175
"ATQASUK","ATQASUK.AW.RH","BETNAN","2",1999,"CTL","AWC03","Le_IN",174,175
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,1999,"CTL","AWC03","Le_TP",174,175
"ATQASUK","ATQASUK.AW.RH","BETNAN","1",1999,"CTL","AWC04","Le_IN",174,175
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,1999,"CTL","AWC04","Le_TP",174,175
"ATQASUK","ATQASUK.AW.RH","BETNAN","1",2000,"CTL","AWC01","Le_IN",170,171
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2000,"CTL","AWC01","Le_TP",170,171
"ATQASUK","ATQASUK.AW.RH","BETNAN","1",2000,"CTL","AWC03","Le_IN",170,171
"ATQASUK","ATQASUK.AW.RH","BETNAN","2",2000,"CTL","AWC03","Le_IN",170,171
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2000,"CTL","AWC03","Le_TP",170,171
"ATQASUK","ATQASUK.AW.RH","BETNAN","1",2000,"CTL","AWC04","Le_IN",170,171
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2000,"CTL","AWC04","Le_TP",170,171
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2007,"CTL","AWC01","Le_TP",NA,169
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2007,"CTL","AWC03","Le_TP",NA,169
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2007,"CTL","AWC04","Le_TP",173,177
"ATQASUK","ATQASUK.AW.RH","BETNAN","1",2008,"CTL","AWC01","Le_IN",NA,168
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2008,"CTL","AWC01","Le_TP",NA,168
"ATQASUK","ATQASUK.AW.RH","BETNAN","1",2008,"CTL","AWC03","Le_IN",NA,168
"ATQASUK","ATQASUK.AW.RH","BETNAN","2",2008,"CTL","AWC03","Le_IN",NA,168
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2008,"CTL","AWC03","Le_TP",NA,168
"ATQASUK","ATQASUK.AW.RH","BETNAN","1",2008,"CTL","AWC04","Le_IN",NA,168
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2008,"CTL","AWC04","Le_TP",NA,168
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2010,"CTL","AWC01","Le_TP",169,175
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2010,"CTL","AWC03","Le_TP",169,175
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2010,"CTL","AWC04","Le_TP",169,175
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2011,"CTL","AWC01","Le_TP",169,174
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2011,"CTL","AWC03","Le_TP",NA,168
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2011,"CTL","AWC04","Le_TP",169,174
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2012,"CTL","AWC01","Le_TP",168,172
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2012,"CTL","AWC03","Le_TP",168,172
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2012,"CTL","AWC04","Le_TP",168,172
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2013,"CTL","AWC01","Le_TP",163,164
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2013,"CTL","AWC03","Le_TP",163,164
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2013,"CTL","AWC04","Le_TP",163,164
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2014,"CTL","AWC01","Le_TP",172,173
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2014,"CTL","AWC03","Le_TP",172,173
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2014,"CTL","AWC04","Le_TP",173,176
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2014,"CTL","AWC24","Le_TP",182,184
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2014,"OTC","AWE22","Le_TP",196,198
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2015,"CTL","AWC01","Le_TP",NA,165
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2015,"CTL","AWC03","Le_TP",NA,165
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2015,"CTL","AWC04","Le_TP",NA,165
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2015,"CTL","AWC24","Le_TP",NA,165
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2015,"OTC","AWE22","Le_TP",NA,165
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2016,"CTL","AWC01","Le_TP",NA,164
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2016,"CTL","AWC03","Le_TP",NA,164
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2016,"CTL","AWC04","Le_TP",NA,164
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2016,"CTL","AWC24","Le_TP",165,166
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2016,"OTC","AWE22","Le_TP",166,174
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2017,"CTL","AWC01","Le_TP",172,174
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2017,"CTL","AWC03","Le_TP",172,174
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2017,"CTL","AWC04","Le_TP",174,177
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2017,"CTL","AWC24","Le_TP",172,174
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2018,"CTL","AWC01","Le_TP",184,188
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2018,"CTL","AWC03","Le_TP",184,188
"ATQASUK","ATQASUK.AW.RH","BETNAN",NA,2018,"CTL","AWC04","Le_TP",184,188
