"year","treatment","spp","phen_stage","subsite","ct","ct_na","site_name"
1994,"CTL","CASTET","Bu_IN","BARROW.BD.RH",24,0,"BARROW"
1994,"CTL","CASTET","Fl_IN","BARROW.BD.RH",17,0,"BARROW"
1994,"CTL","CASTET","FW_IN","BARROW.BD.RH",11,0,"BARROW"
1994,"CTL","SALROT","Fl_IN_F","BARROW.BD.RH",24,0,"BARROW"
1994,"CTL","SALROT","Fl_IN_M","BARROW.BD.RH",22,0,"BARROW"
1994,"CTL","SALROT","FW_IN_M","BARROW.BD.RH",22,0,"BARROW"
1994,"CTL","SALROT","Le_IN_F","BARROW.BD.RH",24,0,"BARROW"
1994,"CTL","SALROT","LW_IN_F","BARROW.BD.RH",14,0,"BARROW"
1994,"CTL","SALROT","LW_IN_M","BARROW.BD.RH",2,0,"BARROW"
1994,"CTL","SALROT","SD_IN_F","BARROW.BD.RH",10,0,"BARROW"
1994,"OTC","CASTET","Bu_IN","BARROW.BD.RH",24,0,"BARROW"
1994,"OTC","CASTET","Fl_IN","BARROW.BD.RH",24,0,"BARROW"
1994,"OTC","CASTET","FW_IN","BARROW.BD.RH",23,0,"BARROW"
1994,"OTC","SALROT","Fl_IN_F","BARROW.BD.RH",24,0,"BARROW"
1994,"OTC","SALROT","Fl_IN_M","BARROW.BD.RH",22,0,"BARROW"
1994,"OTC","SALROT","FW_IN_M","BARROW.BD.RH",22,0,"BARROW"
1994,"OTC","SALROT","Le_IN_F","BARROW.BD.RH",24,0,"BARROW"
1994,"OTC","SALROT","LW_IN_F","BARROW.BD.RH",11,0,"BARROW"
1994,"OTC","SALROT","LW_IN_M","BARROW.BD.RH",4,0,"BARROW"
1994,"OTC","SALROT","SD_IN_F","BARROW.BD.RH",19,0,"BARROW"
1995,"CTL","CASTET","Bu_IN","BARROW.BD.RH",4,0,"BARROW"
1995,"CTL","CASTET","Fl_IN","BARROW.BD.RH",4,0,"BARROW"
1995,"CTL","CASTET","FW_IN","BARROW.BD.RH",3,0,"BARROW"
1995,"CTL","SALROT","Fl_IN_F","BARROW.BD.RH",19,0,"BARROW"
1995,"CTL","SALROT","Fl_IN_M","BARROW.BD.RH",20,0,"BARROW"
1995,"CTL","SALROT","FW_IN_M","BARROW.BD.RH",20,0,"BARROW"
1995,"CTL","SALROT","Le_IN_F","BARROW.BD.RH",24,0,"BARROW"
1995,"CTL","SALROT","LW_IN_F","BARROW.BD.RH",14,0,"BARROW"
1995,"CTL","SALROT","LW_IN_M","BARROW.BD.RH",20,0,"BARROW"
1995,"CTL","SALROT","SD_IN_F","BARROW.BD.RH",7,0,"BARROW"
1995,"OTC","CASTET","Bu_IN","BARROW.BD.RH",22,0,"BARROW"
1995,"OTC","CASTET","Fl_IN","BARROW.BD.RH",22,0,"BARROW"
1995,"OTC","CASTET","FW_IN","BARROW.BD.RH",22,0,"BARROW"
1995,"OTC","SALROT","Fl_IN_F","BARROW.BD.RH",18,0,"BARROW"
1995,"OTC","SALROT","Fl_IN_M","BARROW.BD.RH",17,0,"BARROW"
1995,"OTC","SALROT","FW_IN_M","BARROW.BD.RH",17,0,"BARROW"
1995,"OTC","SALROT","Le_IN_F","BARROW.BD.RH",24,0,"BARROW"
1995,"OTC","SALROT","LW_IN_F","BARROW.BD.RH",14,0,"BARROW"
1995,"OTC","SALROT","LW_IN_M","BARROW.BD.RH",13,0,"BARROW"
1995,"OTC","SALROT","SD_IN_F","BARROW.BD.RH",14,0,"BARROW"
1996,"CTL","SALROT","Fl_IN_F","BARROW.BD.RH",18,0,"BARROW"
1996,"CTL","SALROT","Fl_IN_M","BARROW.BD.RH",17,0,"BARROW"
1996,"CTL","SALROT","FW_IN_M","BARROW.BD.RH",15,0,"BARROW"
1996,"CTL","SALROT","Le_IN_F","BARROW.BD.RH",23,0,"BARROW"
1996,"CTL","SALROT","LW_IN_F","BARROW.BD.RH",13,0,"BARROW"
1996,"CTL","SALROT","SD_IN_F","BARROW.BD.RH",15,0,"BARROW"
1996,"OTC","CASTET","Bu_IN","BARROW.BD.RH",4,0,"BARROW"
1996,"OTC","CASTET","Fl_IN","BARROW.BD.RH",5,0,"BARROW"
1996,"OTC","CASTET","FW_IN","BARROW.BD.RH",5,0,"BARROW"
1996,"OTC","SALROT","Fl_IN_F","BARROW.BD.RH",13,0,"BARROW"
1996,"OTC","SALROT","Fl_IN_M","BARROW.BD.RH",18,0,"BARROW"
1996,"OTC","SALROT","FW_IN_M","BARROW.BD.RH",19,0,"BARROW"
1996,"OTC","SALROT","Le_IN_F","BARROW.BD.RH",21,0,"BARROW"
1996,"OTC","SALROT","LW_IN_F","BARROW.BD.RH",20,0,"BARROW"
1996,"OTC","SALROT","SD_IN_F","BARROW.BD.RH",11,0,"BARROW"
1997,"CTL","ALOALP","Fl_IN","BARROW.BD.RH",3,0,"BARROW"
1997,"CTL","ALOALP","In_IN","BARROW.BD.RH",3,0,"BARROW"
1997,"CTL","ALOALP","Le_IN","BARROW.BD.RH",3,0,"BARROW"
1997,"CTL","ALOALP","LW_IN","BARROW.BD.RH",2,0,"BARROW"
1997,"CTL","ARCLAT","Fl_IN","BARROW.BD.RH",2,0,"BARROW"
1997,"CTL","ARCLAT","In_IN","BARROW.BD.RH",2,0,"BARROW"
1997,"CTL","ARCLAT","Le_IN","BARROW.BD.RH",22,0,"BARROW"
1997,"CTL","ARCLAT","LW_IN","BARROW.BD.RH",2,0,"BARROW"
1997,"CTL","CARSTA","Fl_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","CARSTA","FW_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","CARSTA","In_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","CARSTA","Le_IN","BARROW.BD.RH",3,0,"BARROW"
1997,"CTL","CASTET","Bu_IN","BARROW.BD.RH",44,0,"BARROW"
