"year","treatment","spp","phen_stage","subsite","ct","ct_na","site_name"
1995,"CTL","CARPRA","Bu_IN","BARROW.BW.RH",5,0,"BARROW"
1995,"CTL","CARPRA","In_IN","BARROW.BW.RH",4,0,"BARROW"
1995,"CTL","CARPRA","Le_IN","BARROW.BW.RH",66,0,"BARROW"
1995,"CTL","CARSTA","Fl_IN","BARROW.BW.RH",7,0,"BARROW"
1995,"CTL","CARSTA","In_IN","BARROW.BW.RH",6,0,"BARROW"
1995,"CTL","CARSTA","Le_IN","BARROW.BW.RH",66,0,"BARROW"
1995,"CTL","CARSUB","Fl_IN","BARROW.BW.RH",5,0,"BARROW"
1995,"CTL","CARSUB","In_IN","BARROW.BW.RH",4,0,"BARROW"
1995,"CTL","CARSUB","Le_IN","BARROW.BW.RH",1,0,"BARROW"
1995,"CTL","CERBEE","Bu_IN","BARROW.BW.RH",2,0,"BARROW"
1995,"CTL","CERBEE","Le_IN","BARROW.BW.RH",28,0,"BARROW"
1995,"CTL","COCOFF","Bu_IN","BARROW.BW.RH",2,0,"BARROW"
1995,"CTL","COCOFF","Fl_IN","BARROW.BW.RH",2,0,"BARROW"
1995,"CTL","COCOFF","Le_IN","BARROW.BW.RH",8,0,"BARROW"
1995,"CTL","COCOFF","SV_IN","BARROW.BW.RH",3,0,"BARROW"
1995,"CTL","DRALAC","Bu_IN","BARROW.BW.RH",17,0,"BARROW"
1995,"CTL","DRALAC","Fl_IN","BARROW.BW.RH",26,0,"BARROW"
1995,"CTL","DRALAC","Le_IN","BARROW.BW.RH",22,0,"BARROW"
1995,"CTL","DRALAC","SV_IN","BARROW.BW.RH",25,0,"BARROW"
1995,"CTL","DUPFIS","Fl_IN","BARROW.BW.RH",5,0,"BARROW"
1995,"CTL","DUPFIS","In_IN","BARROW.BW.RH",6,0,"BARROW"
1995,"CTL","DUPFIS","Le_IN","BARROW.BW.RH",72,0,"BARROW"
1995,"CTL","ERIRUS","Fl_IN","BARROW.BW.RH",5,0,"BARROW"
1995,"CTL","ERIRUS","In_IN","BARROW.BW.RH",6,0,"BARROW"
1995,"CTL","ERIRUS","Le_IN","BARROW.BW.RH",14,0,"BARROW"
1995,"CTL","ERITRI","Fl_IN","BARROW.BW.RH",12,0,"BARROW"
1995,"CTL","ERITRI","In_IN","BARROW.BW.RH",19,0,"BARROW"
1995,"CTL","ERITRI","Le_IN","BARROW.BW.RH",66,0,"BARROW"
1995,"CTL","HIEPAU","Fl_IN","BARROW.BW.RH",29,0,"BARROW"
1995,"CTL","HIEPAU","In_IN","BARROW.BW.RH",16,0,"BARROW"
1995,"CTL","JUNBIG","Fl_IN","BARROW.BW.RH",17,0,"BARROW"
1995,"CTL","JUNBIG","FW_IN","BARROW.BW.RH",19,0,"BARROW"
1995,"CTL","JUNBIG","In_IN","BARROW.BW.RH",12,0,"BARROW"
1995,"CTL","JUNBIG","Le_IN","BARROW.BW.RH",16,0,"BARROW"
1995,"CTL","JUNBIG","SV_IN","BARROW.BW.RH",19,0,"BARROW"
1995,"CTL","LUZARC","Fl_IN","BARROW.BW.RH",13,0,"BARROW"
1995,"CTL","LUZARC","FW_IN","BARROW.BW.RH",13,0,"BARROW"
1995,"CTL","LUZARC","In_IN","BARROW.BW.RH",14,0,"BARROW"
1995,"CTL","LUZARC","Le_IN","BARROW.BW.RH",28,0,"BARROW"
1995,"CTL","LUZCON","Fl_IN","BARROW.BW.RH",14,0,"BARROW"
1995,"CTL","LUZCON","FW_IN","BARROW.BW.RH",15,0,"BARROW"
1995,"CTL","LUZCON","In_IN","BARROW.BW.RH",7,0,"BARROW"
1995,"CTL","LUZCON","Le_IN","BARROW.BW.RH",4,0,"BARROW"
1995,"CTL","PETFRI","Le_IN","BARROW.BW.RH",4,0,"BARROW"
1995,"CTL","POAARC","In_IN","BARROW.BW.RH",5,0,"BARROW"
1995,"CTL","POAARC","Le_IN","BARROW.BW.RH",4,0,"BARROW"
1995,"CTL","RANNIV","Bu_IN","BARROW.BW.RH",5,0,"BARROW"
1995,"CTL","RANNIV","Fl_IN","BARROW.BW.RH",5,0,"BARROW"
1995,"CTL","RANNIV","FW_IN","BARROW.BW.RH",5,0,"BARROW"
1995,"CTL","RANNIV","Le_IN","BARROW.BW.RH",5,0,"BARROW"
1995,"CTL","RANNIV","LW_IN","BARROW.BW.RH",4,0,"BARROW"
1995,"CTL","RANPYG","Bu_IN","BARROW.BW.RH",2,0,"BARROW"
1995,"CTL","RANPYG","Fl_IN","BARROW.BW.RH",2,0,"BARROW"
1995,"CTL","RANPYG","FW_IN","BARROW.BW.RH",2,0,"BARROW"
1995,"CTL","RANPYG","Le_IN","BARROW.BW.RH",2,0,"BARROW"
1995,"CTL","RANPYG","LW_IN","BARROW.BW.RH",2,0,"BARROW"
1995,"CTL","SALPUL","Le_IN","BARROW.BW.RH",1,0,"BARROW"
1995,"CTL","SALPUL","LW_IN","BARROW.BW.RH",1,0,"BARROW"
1995,"CTL","SALROT","Le_IN","BARROW.BW.RH",7,0,"BARROW"
1995,"CTL","SALROT","LW_IN","BARROW.BW.RH",5,0,"BARROW"
1995,"CTL","SAXCER","Bu_IN","BARROW.BW.RH",3,0,"BARROW"
1995,"CTL","SAXCER","In_IN","BARROW.BW.RH",28,0,"BARROW"
1995,"CTL","SAXCER","Le_IN","BARROW.BW.RH",72,0,"BARROW"
1995,"CTL","SAXFOL","In_IN","BARROW.BW.RH",45,0,"BARROW"
1995,"CTL","SAXFOL","Le_IN","BARROW.BW.RH",66,0,"BARROW"
1995,"CTL","SAXHIE","Bu_IN","BARROW.BW.RH",25,0,"BARROW"
1995,"CTL","SAXHIE","Fl_IN","BARROW.BW.RH",25,0,"BARROW"
1995,"CTL","SAXHIE","In_IN","BARROW.BW.RH",25,0,"BARROW"
1995,"CTL","SAXHIE","Le_IN","BARROW.BW.RH",33,0,"BARROW"
1995,"CTL","SAXHIR","Bu_IN","BARROW.BW.RH",31,0,"BARROW"
1995,"CTL","SAXHIR","Fl_IN","BARROW.BW.RH",19,0,"BARROW"
1995,"CTL","SAXHIR","Le_IN","BARROW.BW.RH",34,0,"BARROW"
1995,"CTL","STELAE","Le_IN","BARROW.BW.RH",63,0,"BARROW"
1995,"OTC","CALHOL","In_IN","BARROW.BW.RH",1,0,"BARROW"
1995,"OTC","CARPRA","Bu_IN","BARROW.BW.RH",7,0,"BARROW"
1995,"OTC","CARPRA","Fl_IN","BARROW.BW.RH",2,0,"BARROW"
1995,"OTC","CARPRA","In_IN","BARROW.BW.RH",7,0,"BARROW"
1995,"OTC","CARPRA","Le_IN","BARROW.BW.RH",71,0,"BARROW"
1995,"OTC","CARSTA","Fl_IN","BARROW.BW.RH",8,0,"BARROW"
1995,"OTC","CARSTA","In_IN","BARROW.BW.RH",8,0,"BARROW"
1995,"OTC","CARSTA","Le_IN","BARROW.BW.RH",72,0,"BARROW"
1995,"OTC","CERBEE","Bu_IN","BARROW.BW.RH",3,0,"BARROW"
1995,"OTC","CERBEE","Fl_IN","BARROW.BW.RH",1,0,"BARROW"
1995,"OTC","CERBEE","Le_IN","BARROW.BW.RH",11,0,"BARROW"
1995,"OTC","COCOFF","Bu_IN","BARROW.BW.RH",4,0,"BARROW"
1995,"OTC","COCOFF","Fl_IN","BARROW.BW.RH",4,0,"BARROW"
1995,"OTC","COCOFF","Le_IN","BARROW.BW.RH",15,0,"BARROW"
1995,"OTC","COCOFF","SV_IN","BARROW.BW.RH",5,0,"BARROW"
1995,"OTC","DRALAC","Bu_IN","BARROW.BW.RH",12,0,"BARROW"
1995,"OTC","DRALAC","Fl_IN","BARROW.BW.RH",16,0,"BARROW"
1995,"OTC","DRALAC","Le_IN","BARROW.BW.RH",15,0,"BARROW"
