"site_name","subsite","year","treatment","plot","prior_visit","doy"
"BARROW","BARROW.BW.RH",2014,"CTL","BWC01",175,178
"BARROW","BARROW.BW.RH",2014,"CTL","BWC02",175,178
"BARROW","BARROW.BW.RH",2014,"CTL","BWC03",172,175
"BARROW","BARROW.BW.RH",2014,"CTL","BWC04",171,172
"BARROW","BARROW.BW.RH",2014,"CTL","BWC05",171,172
"BARROW","BARROW.BW.RH",2014,"CTL","BWC06",172,175
"BARROW","BARROW.BW.RH",2014,"CTL","BWC07",171,172
"BARROW","BARROW.BW.RH",2014,"CTL","BWC08",172,175
"BARROW","BARROW.BW.RH",2014,"CTL","BWC09",171,172
"BARROW","BARROW.BW.RH",2014,"CTL","BWC10",172,175
"BARROW","BARROW.BW.RH",2014,"CTL","BWC11",172,175
"BARROW","BARROW.BW.RH",2014,"CTL","BWC12",171,172
"BARROW","BARROW.BW.RH",2014,"CTL","BWC13",169,171
"BARROW","BARROW.BW.RH",2014,"CTL","BWC14",169,171
"BARROW","BARROW.BW.RH",2014,"CTL","BWC15",NA,169
"BARROW","BARROW.BW.RH",2014,"CTL","BWC16",NA,169
"BARROW","BARROW.BW.RH",2014,"CTL","BWC17",172,175
"BARROW","BARROW.BW.RH",2014,"CTL","BWC18",171,172
"BARROW","BARROW.BW.RH",2014,"CTL","BWC19",172,175
"BARROW","BARROW.BW.RH",2014,"CTL","BWC20",172,175
"BARROW","BARROW.BW.RH",2014,"CTL","BWC21",171,172
"BARROW","BARROW.BW.RH",2014,"CTL","BWC22",171,172
"BARROW","BARROW.BW.RH",2014,"CTL","BWC23",171,172
"BARROW","BARROW.BW.RH",2014,"CTL","BWC24",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE01",175,178
"BARROW","BARROW.BW.RH",2014,"OTC","BWE02",175,178
"BARROW","BARROW.BW.RH",2014,"OTC","BWE03",178,180
"BARROW","BARROW.BW.RH",2014,"OTC","BWE04",175,178
"BARROW","BARROW.BW.RH",2014,"OTC","BWE05",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE06",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE07",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE08",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE09",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE10",171,172
"BARROW","BARROW.BW.RH",2014,"OTC","BWE11",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE12",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE13",169,171
"BARROW","BARROW.BW.RH",2014,"OTC","BWE14",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE15",175,178
"BARROW","BARROW.BW.RH",2014,"OTC","BWE16",NA,169
"BARROW","BARROW.BW.RH",2014,"OTC","BWE17",169,171
"BARROW","BARROW.BW.RH",2014,"OTC","BWE18",171,172
"BARROW","BARROW.BW.RH",2014,"OTC","BWE19",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE20",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE21",175,178
"BARROW","BARROW.BW.RH",2014,"OTC","BWE22",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE23",172,175
"BARROW","BARROW.BW.RH",2014,"OTC","BWE24",171,172
"BARROW","BARROW.BW.RH",1996,"CTL","BWC01",163,165
"BARROW","BARROW.BW.RH",1996,"CTL","BWC02",163,165
"BARROW","BARROW.BW.RH",1996,"CTL","BWC03",163,165
"BARROW","BARROW.BW.RH",1996,"CTL","BWC04",159,160
"BARROW","BARROW.BW.RH",1996,"CTL","BWC05",160,161
"BARROW","BARROW.BW.RH",1996,"CTL","BWC06",165,166
"BARROW","BARROW.BW.RH",1996,"CTL","BWC07",157,158
"BARROW","BARROW.BW.RH",1996,"CTL","BWC08",158,159
"BARROW","BARROW.BW.RH",1996,"CTL","BWC09",157,158
"BARROW","BARROW.BW.RH",1996,"CTL","BWC10",158,159
"BARROW","BARROW.BW.RH",1996,"CTL","BWC11",163,165
"BARROW","BARROW.BW.RH",1996,"CTL","BWC12",163,165
"BARROW","BARROW.BW.RH",1996,"CTL","BWC13",163,165
"BARROW","BARROW.BW.RH",1996,"CTL","BWC14",160,161
"BARROW","BARROW.BW.RH",1996,"CTL","BWC15",163,165
"BARROW","BARROW.BW.RH",1996,"CTL","BWC16",163,165
"BARROW","BARROW.BW.RH",1996,"CTL","BWC17",163,165
"BARROW","BARROW.BW.RH",1996,"CTL","BWC18",163,165
"BARROW","BARROW.BW.RH",1996,"CTL","BWC19",161,162
"BARROW","BARROW.BW.RH",1996,"CTL","BWC20",163,165
"BARROW","BARROW.BW.RH",1996,"CTL","BWC21",158,159
"BARROW","BARROW.BW.RH",1996,"CTL","BWC22",165,166
"BARROW","BARROW.BW.RH",1996,"CTL","BWC23",160,161
"BARROW","BARROW.BW.RH",1996,"CTL","BWC24",163,165
"BARROW","BARROW.BW.RH",1996,"OTC","BWE01",165,166
"BARROW","BARROW.BW.RH",1996,"OTC","BWE02",163,165
"BARROW","BARROW.BW.RH",1996,"OTC","BWE03",163,165
"BARROW","BARROW.BW.RH",1996,"OTC","BWE04",163,165
"BARROW","BARROW.BW.RH",1996,"OTC","BWE05",163,165
"BARROW","BARROW.BW.RH",1996,"OTC","BWE06",158,159
"BARROW","BARROW.BW.RH",1996,"OTC","BWE07",160,161
"BARROW","BARROW.BW.RH",1996,"OTC","BWE08",165,166
"BARROW","BARROW.BW.RH",1996,"OTC","BWE09",158,159
"BARROW","BARROW.BW.RH",1996,"OTC","BWE10",161,162
"BARROW","BARROW.BW.RH",1996,"OTC","BWE11",160,161
"BARROW","BARROW.BW.RH",1996,"OTC","BWE12",160,161
"BARROW","BARROW.BW.RH",1996,"OTC","BWE13",156,157
"BARROW","BARROW.BW.RH",1996,"OTC","BWE14",163,165
"BARROW","BARROW.BW.RH",1996,"OTC","BWE15",159,160
"BARROW","BARROW.BW.RH",1996,"OTC","BWE16",NA,156
"BARROW","BARROW.BW.RH",1996,"OTC","BWE17",156,157
"BARROW","BARROW.BW.RH",1996,"OTC","BWE18",156,157
"BARROW","BARROW.BW.RH",1996,"OTC","BWE19",163,165
"BARROW","BARROW.BW.RH",1996,"OTC","BWE20",157,158
"BARROW","BARROW.BW.RH",1996,"OTC","BWE21",158,159
"BARROW","BARROW.BW.RH",1996,"OTC","BWE22",160,161
"BARROW","BARROW.BW.RH",1996,"OTC","BWE23",165,166
"BARROW","BARROW.BW.RH",1996,"OTC","BWE24",158,159
"BARROW","BARROW.BW.RH",1997,"CTL","BWC01",177,178
"BARROW","BARROW.BW.RH",1997,"CTL","BWC02",174,175
"BARROW","BARROW.BW.RH",1997,"CTL","BWC03",177,178
"BARROW","BARROW.BW.RH",1997,"CTL","BWC04",175,176
"BARROW","BARROW.BW.RH",1997,"CTL","BWC05",174,175
"BARROW","BARROW.BW.RH",1997,"CTL","BWC06",174,175
"BARROW","BARROW.BW.RH",1997,"CTL","BWC07",175,176
"BARROW","BARROW.BW.RH",1997,"CTL","BWC08",174,175
"BARROW","BARROW.BW.RH",1997,"CTL","BWC09",174,175
"BARROW","BARROW.BW.RH",1997,"CTL","BWC10",176,177
"BARROW","BARROW.BW.RH",1997,"CTL","BWC11",175,176
"BARROW","BARROW.BW.RH",1997,"CTL","BWC12",173,174
"BARROW","BARROW.BW.RH",1997,"CTL","BWC13",NA,173
"BARROW","BARROW.BW.RH",1997,"CTL","BWC14",174,175
"BARROW","BARROW.BW.RH",1997,"CTL","BWC15",173,174
"BARROW","BARROW.BW.RH",1997,"CTL","BWC16",174,175
"BARROW","BARROW.BW.RH",1997,"CTL","BWC17",177,178
"BARROW","BARROW.BW.RH",1997,"CTL","BWC18",177,178
"BARROW","BARROW.BW.RH",1997,"CTL","BWC19",175,176
"BARROW","BARROW.BW.RH",1997,"CTL","BWC20",174,175
"BARROW","BARROW.BW.RH",1997,"CTL","BWC21",177,178
"BARROW","BARROW.BW.RH",1997,"CTL","BWC22",175,176
"BARROW","BARROW.BW.RH",1997,"CTL","BWC23",175,176
"BARROW","BARROW.BW.RH",1997,"CTL","BWC24",175,176
"BARROW","BARROW.BW.RH",1997,"OTC","BWE01",176,177
"BARROW","BARROW.BW.RH",1997,"OTC","BWE02",174,175
"BARROW","BARROW.BW.RH",1997,"OTC","BWE03",174,175
"BARROW","BARROW.BW.RH",1997,"OTC","BWE04",175,176
"BARROW","BARROW.BW.RH",1997,"OTC","BWE05",176,177
"BARROW","BARROW.BW.RH",1997,"OTC","BWE06",175,176
"BARROW","BARROW.BW.RH",1997,"OTC","BWE07",176,177
"BARROW","BARROW.BW.RH",1997,"OTC","BWE08",174,175
"BARROW","BARROW.BW.RH",1997,"OTC","BWE09",176,177
"BARROW","BARROW.BW.RH",1997,"OTC","BWE10",175,176
"BARROW","BARROW.BW.RH",1997,"OTC","BWE11",175,176
"BARROW","BARROW.BW.RH",1997,"OTC","BWE12",174,175
"BARROW","BARROW.BW.RH",1997,"OTC","BWE13",175,176
"BARROW","BARROW.BW.RH",1997,"OTC","BWE14",175,176
"BARROW","BARROW.BW.RH",1997,"OTC","BWE15",175,176
"BARROW","BARROW.BW.RH",1997,"OTC","BWE16",174,175
"BARROW","BARROW.BW.RH",1997,"OTC","BWE17",174,175
"BARROW","BARROW.BW.RH",1997,"OTC","BWE18",174,175
"BARROW","BARROW.BW.RH",1997,"OTC","BWE19",175,176
"BARROW","BARROW.BW.RH",1997,"OTC","BWE20",177,178
"BARROW","BARROW.BW.RH",1997,"OTC","BWE21",174,175
"BARROW","BARROW.BW.RH",1997,"OTC","BWE22",174,175
"BARROW","BARROW.BW.RH",1997,"OTC","BWE23",175,176
"BARROW","BARROW.BW.RH",1997,"OTC","BWE24",175,176
"BARROW","BARROW.BW.RH",1998,"CTL","BWC01",173,174
"BARROW","BARROW.BW.RH",1998,"CTL","BWC02",170,171
"BARROW","BARROW.BW.RH",1998,"CTL","BWC03",170,171
"BARROW","BARROW.BW.RH",1998,"CTL","BWC04",168,169
"BARROW","BARROW.BW.RH",1998,"CTL","BWC05",170,171
"BARROW","BARROW.BW.RH",1998,"CTL","BWC06",172,173
"BARROW","BARROW.BW.RH",1998,"CTL","BWC07",170,171
"BARROW","BARROW.BW.RH",1998,"CTL","BWC08",169,170
"BARROW","BARROW.BW.RH",1998,"CTL","BWC09",168,169
"BARROW","BARROW.BW.RH",1998,"CTL","BWC10",172,173
"BARROW","BARROW.BW.RH",1998,"CTL","BWC11",168,169
"BARROW","BARROW.BW.RH",1998,"CTL","BWC12",168,169
"BARROW","BARROW.BW.RH",1998,"CTL","BWC13",169,170
"BARROW","BARROW.BW.RH",1998,"CTL","BWC14",169,170
"BARROW","BARROW.BW.RH",1998,"CTL","BWC15",169,170
"BARROW","BARROW.BW.RH",1998,"CTL","BWC16",169,170
"BARROW","BARROW.BW.RH",1998,"CTL","BWC17",172,173
"BARROW","BARROW.BW.RH",1998,"CTL","BWC18",172,173
"BARROW","BARROW.BW.RH",1998,"CTL","BWC19",170,171
"BARROW","BARROW.BW.RH",1998,"CTL","BWC20",171,172
"BARROW","BARROW.BW.RH",1998,"CTL","BWC21",168,169
"BARROW","BARROW.BW.RH",1998,"CTL","BWC22",168,169
"BARROW","BARROW.BW.RH",1998,"CTL","BWC23",168,169
"BARROW","BARROW.BW.RH",1998,"CTL","BWC24",170,171
"BARROW","BARROW.BW.RH",1998,"OTC","BWE01",173,174
"BARROW","BARROW.BW.RH",1998,"OTC","BWE02",172,173
"BARROW","BARROW.BW.RH",1998,"OTC","BWE03",172,173
"BARROW","BARROW.BW.RH",1998,"OTC","BWE04",168,169
"BARROW","BARROW.BW.RH",1998,"OTC","BWE05",170,171
"BARROW","BARROW.BW.RH",1998,"OTC","BWE06",171,172
"BARROW","BARROW.BW.RH",1998,"OTC","BWE07",173,174
"BARROW","BARROW.BW.RH",1998,"OTC","BWE08",170,171
"BARROW","BARROW.BW.RH",1998,"OTC","BWE09",168,169
"BARROW","BARROW.BW.RH",1998,"OTC","BWE10",170,171
"BARROW","BARROW.BW.RH",1998,"OTC","BWE11",169,170
"BARROW","BARROW.BW.RH",1998,"OTC","BWE12",167,168
"BARROW","BARROW.BW.RH",1998,"OTC","BWE13",171,172
"BARROW","BARROW.BW.RH",1998,"OTC","BWE14",170,171
"BARROW","BARROW.BW.RH",1998,"OTC","BWE15",170,171
"BARROW","BARROW.BW.RH",1998,"OTC","BWE16",NA,165
"BARROW","BARROW.BW.RH",1998,"OTC","BWE17",165,166
"BARROW","BARROW.BW.RH",1998,"OTC","BWE18",166,167
"BARROW","BARROW.BW.RH",1998,"OTC","BWE19",169,170
"BARROW","BARROW.BW.RH",1998,"OTC","BWE20",171,172
"BARROW","BARROW.BW.RH",1998,"OTC","BWE21",172,173
"BARROW","BARROW.BW.RH",1998,"OTC","BWE22",170,171
"BARROW","BARROW.BW.RH",1998,"OTC","BWE23",168,169
"BARROW","BARROW.BW.RH",1998,"OTC","BWE24",168,169
"BARROW","BARROW.BW.RH",1999,"CTL","BWC01",181,182
"BARROW","BARROW.BW.RH",1999,"CTL","BWC02",178,179
"BARROW","BARROW.BW.RH",1999,"CTL","BWC03",178,179
"BARROW","BARROW.BW.RH",1999,"CTL","BWC04",176,177
"BARROW","BARROW.BW.RH",1999,"CTL","BWC05",178,179
"BARROW","BARROW.BW.RH",1999,"CTL","BWC06",179,180
"BARROW","BARROW.BW.RH",1999,"CTL","BWC07",175,176
"BARROW","BARROW.BW.RH",1999,"CTL","BWC08",180,181
"BARROW","BARROW.BW.RH",1999,"CTL","BWC09",NA,172
"BARROW","BARROW.BW.RH",1999,"CTL","BWC10",176,177
"BARROW","BARROW.BW.RH",1999,"CTL","BWC11",175,176
"BARROW","BARROW.BW.RH",1999,"CTL","BWC12",175,176
"BARROW","BARROW.BW.RH",1999,"CTL","BWC13",175,176
"BARROW","BARROW.BW.RH",1999,"CTL","BWC14",174,175
"BARROW","BARROW.BW.RH",1999,"CTL","BWC15",172,173
"BARROW","BARROW.BW.RH",1999,"CTL","BWC16",175,176
"BARROW","BARROW.BW.RH",1999,"CTL","BWC17",180,181
"BARROW","BARROW.BW.RH",1999,"CTL","BWC18",180,181
"BARROW","BARROW.BW.RH",1999,"CTL","BWC19",179,180
"BARROW","BARROW.BW.RH",1999,"CTL","BWC20",181,182
"BARROW","BARROW.BW.RH",1999,"CTL","BWC21",180,181
"BARROW","BARROW.BW.RH",1999,"CTL","BWC22",182,183
"BARROW","BARROW.BW.RH",1999,"CTL","BWC23",178,179
"BARROW","BARROW.BW.RH",1999,"CTL","BWC24",178,179
"BARROW","BARROW.BW.RH",1999,"OTC","BWE01",180,181
"BARROW","BARROW.BW.RH",1999,"OTC","BWE02",180,181
"BARROW","BARROW.BW.RH",1999,"OTC","BWE03",178,179
"BARROW","BARROW.BW.RH",1999,"OTC","BWE04",180,181
"BARROW","BARROW.BW.RH",1999,"OTC","BWE05",180,181
"BARROW","BARROW.BW.RH",1999,"OTC","BWE06",178,179
"BARROW","BARROW.BW.RH",1999,"OTC","BWE07",178,179
"BARROW","BARROW.BW.RH",1999,"OTC","BWE08",177,178
"BARROW","BARROW.BW.RH",1999,"OTC","BWE09",175,176
"BARROW","BARROW.BW.RH",1999,"OTC","BWE10",179,180
"BARROW","BARROW.BW.RH",1999,"OTC","BWE11",180,181
"BARROW","BARROW.BW.RH",1999,"OTC","BWE12",181,182
"BARROW","BARROW.BW.RH",1999,"OTC","BWE13",173,174
"BARROW","BARROW.BW.RH",1999,"OTC","BWE14",174,175
"BARROW","BARROW.BW.RH",1999,"OTC","BWE15",175,176
"BARROW","BARROW.BW.RH",1999,"OTC","BWE16",174,175
"BARROW","BARROW.BW.RH",1999,"OTC","BWE17",NA,172
"BARROW","BARROW.BW.RH",1999,"OTC","BWE18",173,174
"BARROW","BARROW.BW.RH",1999,"OTC","BWE19",181,182
"BARROW","BARROW.BW.RH",1999,"OTC","BWE20",175,176
"BARROW","BARROW.BW.RH",1999,"OTC","BWE21",175,176
"BARROW","BARROW.BW.RH",1999,"OTC","BWE22",175,176
"BARROW","BARROW.BW.RH",1999,"OTC","BWE23",181,182
