"site_name","subsite","year","treatment","plot","prior_visit","doy"
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B1",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B2",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B3",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B4",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B5",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B6",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B7",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B8",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B9",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B10",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B11",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B12",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B13",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B14",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B15",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B16",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B17",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B18",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B19",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1996","CTL","B20",NA,NA
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B1",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B2",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B3",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B4",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B5",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B6",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B7",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B8",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B9",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B10",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B11",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B12",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B13",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B14",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B15",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B16",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B17",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B18",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B19",NA,135
"DARING","DARING.TERNPLOT_B.KC","1998","CTL","B20",NA,135
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B1",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B2",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B3",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B4",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B5",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B6",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B7",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B8",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B9",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B10",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B11",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B12",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B13",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B14",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B15",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B16",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B17",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B18",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B19",147,149
"DARING","DARING.TERNPLOT_B.KC","1999","CTL","B20",147,149
"DARING","DARING.TERNPLOT_B.KC","2000","CTL","B1",149,150
"DARING","DARING.TERNPLOT_B.KC","2000","CTL","B2",149,150
"DARING","DARING.TERNPLOT_B.KC","2000","CTL","B3",149,150
"DARING","DARING.TERNPLOT_B.KC","2000","CTL","B4",149,150
"DARING","DARING.TERNPLOT_B.KC","2000","CTL","B5",149,150
"DARING","DARING.TERNPLOT_B.KC","2000","CTL","B6",149,150
