"site_name","subsite","spp","plant_id","year","treatment","plot","phen_stage","prior_visit","doy"
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B1_B1_ledum","1996","CTL","B1","first flower bud",151,156
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B2_B2_ledum","1996","CTL","B2","first flower bud",156,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B3_B3_ledum","1996","CTL","B3","first flower bud",156,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B4_B4_ledum","1996","CTL","B4","first flower bud",156,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B5_B5_ledum","1996","CTL","B5","first flower bud",156,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B6_B6_ledum","1996","CTL","B6","first flower bud",156,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B7_B7_ledum","1996","CTL","B7","first flower bud",156,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B8_B8_ledum","1996","CTL","B8","first flower bud",156,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B9_B9_ledum","1996","CTL","B9","first flower bud",156,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B10_B10_ledum","1996","CTL","B10","first flower bud",151,156
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B11_B11_ledum","1996","CTL","B11","first flower bud",156,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B12_B12_ledum","1996","CTL","B12","first flower bud",151,156
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B13_B13_ledum","1996","CTL","B13","first flower bud",151,156
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B14_B14_ledum","1996","CTL","B14","first flower bud",156,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B15_B15_ledum","1996","CTL","B15","first flower bud",151,156
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B16_B16_ledum","1996","CTL","B16","first flower bud",151,156
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B17_B17_ledum","1996","CTL","B17","first flower bud",151,156
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B18_B18_ledum","1996","CTL","B18","first flower bud",156,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B19_B19_ledum","1996","CTL","B19","first flower bud",151,156
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B20_B20_ledum","1996","CTL","B20","first flower bud",156,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B1_B1_ledum","1998","CTL","B1","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B2_B2_ledum","1998","CTL","B2","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B3_B3_ledum","1998","CTL","B3","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B4_B4_ledum","1998","CTL","B4","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B5_B5_ledum","1998","CTL","B5","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B6_B6_ledum","1998","CTL","B6","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B7_B7_ledum","1998","CTL","B7","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B8_B8_ledum","1998","CTL","B8","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B9_B9_ledum","1998","CTL","B9","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B10_B10_ledum","1998","CTL","B10","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B11_B11_ledum","1998","CTL","B11","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B12_B12_ledum","1998","CTL","B12","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B13_B13_ledum","1998","CTL","B13","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B14_B14_ledum","1998","CTL","B14","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B15_B15_ledum","1998","CTL","B15","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B16_B16_ledum","1998","CTL","B16","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B17_B17_ledum","1998","CTL","B17","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B18_B18_ledum","1998","CTL","B18","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B19_B19_ledum","1998","CTL","B19","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B20_B20_ledum","1998","CTL","B20","first flower bud",142,144
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B1_B1_ledum","1999","CTL","B1","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B2_B2_ledum","1999","CTL","B2","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B3_B3_ledum","1999","CTL","B3","first flower bud",NA,NA
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B4_B4_ledum","1999","CTL","B4","first flower bud",NA,NA
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B5_B5_ledum","1999","CTL","B5","first flower bud",157,159
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B6_B6_ledum","1999","CTL","B6","first flower bud",151,152
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B7_B7_ledum","1999","CTL","B7","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B8_B8_ledum","1999","CTL","B8","first flower bud",151,152
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B9_B9_ledum","1999","CTL","B9","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B10_B10_ledum","1999","CTL","B10","first flower bud",159,164
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B11_B11_ledum","1999","CTL","B11","first flower bud",159,164
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B12_B12_ledum","1999","CTL","B12","first flower bud",151,152
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B13_B13_ledum","1999","CTL","B13","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B14_B14_ledum","1999","CTL","B14","first flower bud",159,164
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B15_B15_ledum","1999","CTL","B15","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B16_B16_ledum","1999","CTL","B16","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B17_B17_ledum","1999","CTL","B17","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B18_B18_ledum","1999","CTL","B18","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B19_B19_ledum","1999","CTL","B19","first flower bud",151,152
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B20_B20_ledum","1999","CTL","B20","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B1_B1_ledum","2000","CTL","B1","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B2_B2_ledum","2000","CTL","B2","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B3_B3_ledum","2000","CTL","B3","first flower bud",153,155
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B4_B4_ledum","2000","CTL","B4","first flower bud",NA,NA
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B5_B5_ledum","2000","CTL","B5","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B6_B6_ledum","2000","CTL","B6","first flower bud",150,151
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B7_B7_ledum","2000","CTL","B7","first flower bud",145,147
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B8_B8_ledum","2000","CTL","B8","first flower bud",150,151
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B9_B9_ledum","2000","CTL","B9","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B10_B10_ledum","2000","CTL","B10","first flower bud",149,150
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B11_B11_ledum","2000","CTL","B11","first flower bud",151,153
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B12_B12_ledum","2000","CTL","B12","first flower bud",144,145
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B13_B13_ledum","2000","CTL","B13","first flower bud",147,148
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B14_B14_ledum","2000","CTL","B14","first flower bud",147,148
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B15_B15_ledum","2000","CTL","B15","first flower bud",144,145
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B16_B16_ledum","2000","CTL","B16","first flower bud",128,142
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B17_B17_ledum","2000","CTL","B17","first flower bud",128,142
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B18_B18_ledum","2000","CTL","B18","first flower bud",128,142
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B19_B19_ledum","2000","CTL","B19","first flower bud",144,145
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B20_B20_ledum","2000","CTL","B20","first flower bud",147,148
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B1_B1_ledum","2001","CTL","B1","first flower bud",153,155
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B2_B2_ledum","2001","CTL","B2","first flower bud",156,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B3_B3_ledum","2001","CTL","B3","first flower bud",160,161
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B4_B4_ledum","2001","CTL","B4","first flower bud",155,156
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B5_B5_ledum","2001","CTL","B5","first flower bud",156,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B6_B6_ledum","2001","CTL","B6","first flower bud",158,161
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B7_B7_ledum","2001","CTL","B7","first flower bud",153,155
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B8_B8_ledum","2001","CTL","B8","first flower bud",155,156
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B9_B9_ledum","2001","CTL","B9","first flower bud",155,156
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B10_B10_ledum","2001","CTL","B10","first flower bud",153,155
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B11_B11_ledum","2001","CTL","B11","first flower bud",156,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B12_B12_ledum","2001","CTL","B12","first flower bud",153,155
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B13_B13_ledum","2001","CTL","B13","first flower bud",153,155
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B14_B14_ledum","2001","CTL","B14","first flower bud",NA,NA
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B15_B15_ledum","2001","CTL","B15","first flower bud",153,155
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B16_B16_ledum","2001","CTL","B16","first flower bud",NA,NA
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B17_B17_ledum","2001","CTL","B17","first flower bud",153,155
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B18_B18_ledum","2001","CTL","B18","first flower bud",153,155
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B19_B19_ledum","2001","CTL","B19","first flower bud",153,155
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B20_B20_ledum","2001","CTL","B20","first flower bud",153,155
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B1_B1_ledum","2002","CTL","B1","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B2_B2_ledum","2002","CTL","B2","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B3_B3_ledum","2002","CTL","B3","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B4_B4_ledum","2002","CTL","B4","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B5_B5_ledum","2002","CTL","B5","first flower bud",NA,NA
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B6_B6_ledum","2002","CTL","B6","first flower bud",159,162
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B7_B7_ledum","2002","CTL","B7","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B8_B8_ledum","2002","CTL","B8","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B9_B9_ledum","2002","CTL","B9","first flower bud",163,165
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B10_B10_ledum","2002","CTL","B10","first flower bud",165,168
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B11_B11_ledum","2002","CTL","B11","first flower bud",174,176
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B12_B12_ledum","2002","CTL","B12","first flower bud",174,176
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B13_B13_ledum","2002","CTL","B13","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B14_B14_ledum","2002","CTL","B14","first flower bud",165,168
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B15_B15_ledum","2002","CTL","B15","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B16_B16_ledum","2002","CTL","B16","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B17_B17_ledum","2002","CTL","B17","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B18_B18_ledum","2002","CTL","B18","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B19_B19_ledum","2002","CTL","B19","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B20_B20_ledum","2002","CTL","B20","first flower bud",155,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B1_B1_ledum","2003","CTL","B1","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B2_B2_ledum","2003","CTL","B2","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B3_B3_ledum","2003","CTL","B3","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B4_B4_ledum","2003","CTL","B4","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B5_B5_ledum","2003","CTL","B5","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B6_B6_ledum","2003","CTL","B6","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B7_B7_ledum","2003","CTL","B7","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B8_B8_ledum","2003","CTL","B8","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B9_B9_ledum","2003","CTL","B9","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B10_B10_ledum","2003","CTL","B10","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B11_B11_ledum","2003","CTL","B11","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B12_B12_ledum","2003","CTL","B12","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B13_B13_ledum","2003","CTL","B13","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B14_B14_ledum","2003","CTL","B14","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B15_B15_ledum","2003","CTL","B15","first flower bud",149,151
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B16_B16_ledum","2003","CTL","B16","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B17_B17_ledum","2003","CTL","B17","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B18_B18_ledum","2003","CTL","B18","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B19_B19_ledum","2003","CTL","B19","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B20_B20_ledum","2003","CTL","B20","first flower bud",148,149
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B1_B1_ledum","2004","CTL","B1","first flower bud",153,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B2_B2_ledum","2004","CTL","B2","first flower bud",153,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B3_B3_ledum","2004","CTL","B3","first flower bud",153,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B4_B4_ledum","2004","CTL","B4","first flower bud",153,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B5_B5_ledum","2004","CTL","B5","first flower bud",165,167
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B6_B6_ledum","2004","CTL","B6","first flower bud",153,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B7_B7_ledum","2004","CTL","B7","first flower bud",153,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B8_B8_ledum","2004","CTL","B8","first flower bud",153,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B9_B9_ledum","2004","CTL","B9","first flower bud",153,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B10_B10_ledum","2004","CTL","B10","first flower bud",153,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B11_B11_ledum","2004","CTL","B11","first flower bud",153,158
"DARING","DARING.TERNPLOT_B.KC","LEDDEC","B12_B12_ledum","2004","CTL","B12","first flower bud",153,158
