"site_name","subsite","spp","year","treatment","ct","ct_na","phen_stage"
"DARING","DARING.TERNPLOT_B.KC","ledum","1996","CTL",20,0,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","1996","CTL",20,13,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","1996","CTL",20,20,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","1996","CTL",20,20,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","1996","CTL",20,20,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","1996","CTL",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","1996","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1996","CTL",20,14,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1996","CTL",20,20,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1996","CTL",20,20,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1996","CTL",20,20,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1996","CTL",20,20,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1996","CTL",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1996","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","1998","CTL",20,0,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","1998","CTL",20,0,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","1998","CTL",20,0,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","1998","CTL",20,0,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","1998","CTL",20,0,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","1998","CTL",20,0,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","1998","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1998","CTL",20,0,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1998","CTL",20,1,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1998","CTL",20,1,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1998","CTL",20,1,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1998","CTL",20,1,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1998","CTL",20,0,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1998","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","1999","CTL",20,2,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","1999","CTL",20,4,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","1999","CTL",20,4,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","1999","CTL",20,8,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","1999","CTL",20,5,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","1999","CTL",20,0,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","1999","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1999","CTL",20,1,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1999","CTL",20,4,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1999","CTL",20,11,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1999","CTL",20,18,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1999","CTL",20,11,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1999","CTL",20,0,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","1999","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2000","CTL",20,1,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","2000","CTL",20,1,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","2000","CTL",20,1,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2000","CTL",20,1,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","2000","CTL",20,1,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2000","CTL",20,0,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2000","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2000","CTL",20,1,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2000","CTL",20,6,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2000","CTL",20,9,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2000","CTL",20,5,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2000","CTL",20,8,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2000","CTL",20,0,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2000","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","CTL",20,2,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","CTL",20,2,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","CTL",20,2,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","CTL",20,2,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","CTL",20,2,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","CTL",20,0,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","CTL",20,8,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","CTL",20,8,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","CTL",20,10,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","CTL",20,10,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","CTL",20,11,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","CTL",20,0,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","OTC",20,1,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","OTC",20,5,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","OTC",20,5,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","OTC",20,5,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","OTC",20,5,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","OTC",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2001","OTC",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","OTC",20,18,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","OTC",20,18,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","OTC",20,18,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","OTC",20,18,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","OTC",20,19,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","OTC",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2001","OTC",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","CTL",20,1,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","CTL",20,1,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","CTL",20,1,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","CTL",20,2,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","CTL",20,2,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","CTL",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","CTL",20,3,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","CTL",20,4,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","CTL",20,4,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","CTL",20,6,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","CTL",20,4,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","CTL",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","OTC",20,3,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","OTC",20,3,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","OTC",20,3,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","OTC",20,3,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","OTC",20,3,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","OTC",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2002","OTC",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","OTC",20,5,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","OTC",20,5,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","OTC",20,5,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","OTC",20,10,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","OTC",20,5,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","OTC",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2002","OTC",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","CTL",20,0,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","CTL",20,0,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","CTL",20,0,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","CTL",20,0,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","CTL",20,2,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","CTL",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","CTL",20,0,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","CTL",20,4,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","CTL",20,6,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","CTL",20,9,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","CTL",20,10,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","CTL",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","OTC",20,3,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","OTC",20,3,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","OTC",20,4,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","OTC",20,5,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","OTC",20,6,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","OTC",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2003","OTC",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","OTC",20,0,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","OTC",20,0,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","OTC",20,5,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","OTC",20,10,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","OTC",20,15,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","OTC",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2003","OTC",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","CTL",20,0,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","CTL",20,0,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","CTL",20,0,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","CTL",20,0,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","CTL",20,0,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","CTL",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","CTL",20,1,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","CTL",20,2,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","CTL",20,2,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","CTL",20,3,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","CTL",20,2,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","CTL",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","OTC",20,1,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","OTC",20,1,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","OTC",20,1,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","OTC",20,1,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","OTC",20,1,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","OTC",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","OTC",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,3,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,4,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,6,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,4,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,8,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,0,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,0,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,0,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,1,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,0,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","CTL",20,4,"first flower bud"
