"site_name","subsite","year","treatment","plot","prior_visit","doy"
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","160",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","161",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","162",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","163",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","164",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","165",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","166",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","167",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","168",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","169",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","170",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","171",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","172",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","173",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","174",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","175",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","176",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","177",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","178",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1996","CTL","179",NA,NA
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","162",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","163",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","164",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","166",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","167",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","168",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","169",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","172",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","174",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","175",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","176",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","177",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","178",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","179",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","1",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","2",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","3",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","4",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","5",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","6",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","7",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","8",154,156
"DARING","DARING.TERNPLOT_F.KC","1997","CTL","9",154,156
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","1",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","2",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","3",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","4",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","5",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","6",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","7",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","8",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","9",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","10",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","11",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","12",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","13",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","14",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","15",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","168",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","179",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","177",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","174",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","164",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","166",NA,135
"DARING","DARING.TERNPLOT_F.KC","1998","CTL","167",NA,135
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","1",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","2",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","3",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","4",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","5",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","6",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","7",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","8",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","9",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","10",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","11",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","12",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","13",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","14",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","15",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","166",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","167",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","174",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","176",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","179",147,149
"DARING","DARING.TERNPLOT_F.KC","1999","CTL","164",147,149
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","1",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","2",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","3",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","4",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","5",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","6",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","7",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","8",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","9",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","10",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","11",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","12",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","13",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","14",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","15",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","164",149,150
"DARING","DARING.TERNPLOT_F.KC","2000","CTL","166",149,150
