"site_name","subsite","spp","plant_id","year","treatment","plot","phen_stage","prior_visit","doy"
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","160_160_eriophorum","1996","CTL","160","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","161_161_eriophorum","1996","CTL","161","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","162_162_eriophorum","1996","CTL","162","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","163_163_eriophorum","1996","CTL","163","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","164_164_eriophorum","1996","CTL","164","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","165_165_eriophorum","1996","CTL","165","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","166_166_eriophorum","1996","CTL","166","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","167_167_eriophorum","1996","CTL","167","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","168_168_eriophorum","1996","CTL","168","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","169_169_eriophorum","1996","CTL","169","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","170_170_eriophorum","1996","CTL","170","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","171_171_eriophorum","1996","CTL","171","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","172_172_eriophorum","1996","CTL","172","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","173_173_eriophorum","1996","CTL","173","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","174_174_eriophorum","1996","CTL","174","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","175_175_eriophorum","1996","CTL","175","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","176_176_eriophorum","1996","CTL","176","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","177_177_eriophorum","1996","CTL","177","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","178_178_eriophorum","1996","CTL","178","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","179_179_eriophorum","1996","CTL","179","first leaf",156,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","162_162_eriophorum","1997","CTL","162","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","163_163_eriophorum","1997","CTL","163","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","164_164_eriophorum","1997","CTL","164","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","166_166_eriophorum","1997","CTL","166","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","167_167_eriophorum","1997","CTL","167","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","168_168_eriophorum","1997","CTL","168","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","169_169_eriophorum","1997","CTL","169","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","172_172_eriophorum","1997","CTL","172","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","174_174_eriophorum","1997","CTL","174","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","175_175_eriophorum","1997","CTL","175","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","176_176_eriophorum","1997","CTL","176","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","177_177_eriophorum","1997","CTL","177","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","178_178_eriophorum","1997","CTL","178","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","179_179_eriophorum","1997","CTL","179","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","1_1_eriophorum","1997","CTL","1","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","2_2_eriophorum","1997","CTL","2","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","3_3_eriophorum","1997","CTL","3","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","4_4_eriophorum","1997","CTL","4","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","5_5_eriophorum","1997","CTL","5","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","6_6_eriophorum","1997","CTL","6","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","7_7_eriophorum","1997","CTL","7","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","8_8_eriophorum","1997","CTL","8","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","9_9_eriophorum","1997","CTL","9","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","1_1_eriophorum","1998","CTL","1","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","2_2_eriophorum","1998","CTL","2","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","3_3_eriophorum","1998","CTL","3","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","4_4_eriophorum","1998","CTL","4","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","5_5_eriophorum","1998","CTL","5","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","6_6_eriophorum","1998","CTL","6","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","7_7_eriophorum","1998","CTL","7","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","8_8_eriophorum","1998","CTL","8","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","9_9_eriophorum","1998","CTL","9","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","10_10_eriophorum","1998","CTL","10","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","11_11_eriophorum","1998","CTL","11","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","12_12_eriophorum","1998","CTL","12","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","13_13_eriophorum","1998","CTL","13","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","14_14_eriophorum","1998","CTL","14","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","15_15_eriophorum","1998","CTL","15","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","168_168_eriophorum","1998","CTL","168","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","179_179_eriophorum","1998","CTL","179","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","177_177_eriophorum","1998","CTL","177","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","174_174_eriophorum","1998","CTL","174","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","164_164_eriophorum","1998","CTL","164","first leaf",142,143
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","166_166_eriophorum","1998","CTL","166","first leaf",148,150
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","167_167_eriophorum","1998","CTL","167","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","1_1_eriophorum","1999","CTL","1","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","2_2_eriophorum","1999","CTL","2","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","3_3_eriophorum","1999","CTL","3","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","4_4_eriophorum","1999","CTL","4","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","5_5_eriophorum","1999","CTL","5","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","6_6_eriophorum","1999","CTL","6","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","7_7_eriophorum","1999","CTL","7","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","8_8_eriophorum","1999","CTL","8","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","9_9_eriophorum","1999","CTL","9","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","10_10_eriophorum","1999","CTL","10","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","11_11_eriophorum","1999","CTL","11","first leaf",169,174
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","12_12_eriophorum","1999","CTL","12","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","13_13_eriophorum","1999","CTL","13","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","14_14_eriophorum","1999","CTL","14","first leaf",151,152
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","15_15_eriophorum","1999","CTL","15","first leaf",151,152
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","166_166_eriophorum","1999","CTL","166","first leaf",163,165
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","167_167_eriophorum","1999","CTL","167","first leaf",151,152
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","174_174_eriophorum","1999","CTL","174","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","176_176_eriophorum","1999","CTL","176","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","179_179_eriophorum","1999","CTL","179","first leaf",157,159
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","164_164_eriophorum","1999","CTL","164","first leaf",169,174
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","1_1_eriophorum","2000","CTL","1","first leaf",128,142
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","2_2_eriophorum","2000","CTL","2","first leaf",128,142
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","3_3_eriophorum","2000","CTL","3","first leaf",128,142
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","4_4_eriophorum","2000","CTL","4","first leaf",142,144
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","5_5_eriophorum","2000","CTL","5","first leaf",142,144
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","6_6_eriophorum","2000","CTL","6","first leaf",128,142
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","7_7_eriophorum","2000","CTL","7","first leaf",148,149
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","8_8_eriophorum","2000","CTL","8","first leaf",128,142
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","9_9_eriophorum","2000","CTL","9","first leaf",146,148
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","10_10_eriophorum","2000","CTL","10","first leaf",128,142
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","11_11_eriophorum","2000","CTL","11","first leaf",149,150
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","12_12_eriophorum","2000","CTL","12","first leaf",NA,NA
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","13_13_eriophorum","2000","CTL","13","first leaf",128,142
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","14_14_eriophorum","2000","CTL","14","first leaf",149,150
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","15_15_eriophorum","2000","CTL","15","first leaf",149,150
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","164_164_eriophorum","2000","CTL","164","first leaf",149,150
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","166_166_eriophorum","2000","CTL","166","first leaf",128,142
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","167_167_eriophorum","2000","CTL","167","first leaf",128,142
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","174_174_eriophorum","2000","CTL","174","first leaf",128,142
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","176_176_eriophorum","2000","CTL","176","first leaf",128,142
"DARING","DARING.TERNPLOT_F.KC","ERIVAG","179_179_eriophorum","2000","CTL","179","first leaf",128,142
