"site_name","subsite","spp","year","treatment","ct","ct_na","phen_stage"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1996","CTL",20,6,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1996","CTL",20,0,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1996","CTL",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1996","CTL",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1996","CTL",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1996","CTL",20,20,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1997","CTL",23,10,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1997","CTL",23,23,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1997","CTL",23,23,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1997","CTL",23,0,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1997","CTL",23,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1997","CTL",23,23,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1998","CTL",22,2,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1998","CTL",22,2,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1998","CTL",22,2,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1998","CTL",22,0,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1998","CTL",22,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1998","CTL",22,4,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1999","CTL",21,14,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1999","CTL",21,14,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1999","CTL",21,1,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1999","CTL",21,0,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1999","CTL",21,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","1999","CTL",21,21,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2000","CTL",21,3,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2000","CTL",21,1,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2000","CTL",21,1,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2000","CTL",21,0,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2000","CTL",21,1,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2000","CTL",21,2,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2001","CTL",21,7,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2001","CTL",21,7,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2001","CTL",21,1,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2001","CTL",21,0,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2001","CTL",21,1,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2001","CTL",21,11,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2001","OTC",20,16,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2001","OTC",20,16,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2001","OTC",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2001","OTC",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2001","OTC",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2001","OTC",20,18,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2002","CTL",21,1,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2002","CTL",21,1,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2002","CTL",21,1,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2002","CTL",21,21,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2002","CTL",21,1,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2002","CTL",21,1,"seed shed"
