"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
2002,"CTL","CARRUP","AW","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","CARRUP","FA","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","CARRUP","FF","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,5
2002,"CTL","CARRUP","FO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","CARRUP","FS","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","CARRUP","OVS","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","CARRUP","SD","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","DRYOCT","AW","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","DRYOCT","FC","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","DRYOCT","FF","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,5
2002,"CTL","DRYOCT","FO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2002,"CTL","DRYOCT","FPO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","DRYOCT","FU","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","DRYOCT","LPE","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2002,"CTL","DRYOCT","SD","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","DRYOCT","TW","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","POLVIV","AW","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","POLVIV","FB","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","POLVIV","FC","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","POLVIV","FF","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","POLVIV","FL","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,2
2002,"CTL","POLVIV","FO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","SALPOL","AW","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","SALPOL","FA","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2002,"CTL","SALPOL","FC","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,5
2002,"CTL","SALPOL","FF","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,2
2002,"CTL","SALPOL","FS","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,3
2002,"CTL","SALPOL","LPO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2002,"CTL","SALPOL","OVS","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,3
2002,"CTL","SALPOL","PO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,5
2002,"CTL","SALPOL","SD","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,5
2002,"CTL","SAXOPP","FF","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",2,2
2002,"CTL","SAXOPP","FO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",2,2
2002,"CTL","SAXOPP","FPE","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",2,0
2002,"CTL","SAXOPP","FPO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",2,1
2002,"CTL","SAXOPP","PO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",2,2
2002,"CTL","SAXOPP","SD","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",2,0
2002,"OTC","CARRUP","AW","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",4,0
2002,"OTC","CARRUP","FA","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",4,0
2002,"OTC","CARRUP","FF","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",4,4
2002,"OTC","CARRUP","FO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",4,1
