"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"ENDALEN","ENDALEN.FELLFIELD.IJ","POLVIV",2002,"CTL","H1","FL",162,165
"ENDALEN","ENDALEN.FELLFIELD.IJ","POLVIV",2002,"CTL","H4","FL",162,165
"ENDALEN","ENDALEN.FELLFIELD.IJ","POLVIV",2002,"CTL","H5","FL",162,165
"ENDALEN","ENDALEN.FELLFIELD.IJ","POLVIV",2003,"CTL","H1","FL",163,171
"ENDALEN","ENDALEN.FELLFIELD.IJ","POLVIV",2003,"CTL","H4","FL",163,171
"ENDALEN","ENDALEN.FELLFIELD.IJ","POLVIV",2003,"CTL","H5","FL",133,163
"ENDALEN","ENDALEN.FELLFIELD.IJ","POLVIV",2004,"CTL","H1","FL",167,181
"ENDALEN","ENDALEN.FELLFIELD.IJ","POLVIV",2004,"CTL","H5","FL",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","POLVIV",2005,"CTL","H1","FL",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","POLVIV",2005,"CTL","H5","FL",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2002,"CTL","H1","FF",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2002,"CTL","H2","FF",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2002,"CTL","H3","FF",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2002,"CTL","H4","FF",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2002,"CTL","H5","FF",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2003,"CTL","H1","FF",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2003,"CTL","H2","FF",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2003,"CTL","H3","FF",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2003,"CTL","H4","FF",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2003,"CTL","H5","FF",NA,NA
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2004,"CTL","H1","FF",167,181
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2004,"CTL","H2","FF",167,181
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2004,"CTL","H3","FF",167,181
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2004,"CTL","H4","FF",167,181
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2004,"CTL","H5","FF",167,181
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2005,"CTL","H1","FF",164,168
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2005,"CTL","H2","FF",168,173
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2005,"CTL","H3","FF",168,173
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2005,"CTL","H4","FF",168,173
"ENDALEN","ENDALEN.FELLFIELD.IJ","DRYOCT",2005,"CTL","H5","FF",168,173
"ENDALEN","ENDALEN.FELLFIELD.IJ","POLVIV",2002,"CTL","H1","FF",165,169
"ENDALEN","ENDALEN.FELLFIELD.IJ","POLVIV",2002,"CTL","H4","FF",NA,NA
