"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
2002,"CTL","DRYOCT","AW","ENDALEN.FELLFIELD.IJ","ENDALEN",5,0
2002,"CTL","DRYOCT","FC","ENDALEN.FELLFIELD.IJ","ENDALEN",5,0
2002,"CTL","DRYOCT","FF","ENDALEN.FELLFIELD.IJ","ENDALEN",5,5
2002,"CTL","DRYOCT","FO","ENDALEN.FELLFIELD.IJ","ENDALEN",5,3
2002,"CTL","DRYOCT","FPO","ENDALEN.FELLFIELD.IJ","ENDALEN",5,1
2002,"CTL","DRYOCT","FU","ENDALEN.FELLFIELD.IJ","ENDALEN",5,3
2002,"CTL","DRYOCT","LPE","ENDALEN.FELLFIELD.IJ","ENDALEN",5,0
2002,"CTL","DRYOCT","SD","ENDALEN.FELLFIELD.IJ","ENDALEN",5,3
2002,"CTL","DRYOCT","TW","ENDALEN.FELLFIELD.IJ","ENDALEN",5,0
2002,"CTL","POLVIV","AW","ENDALEN.FELLFIELD.IJ","ENDALEN",3,1
2002,"CTL","POLVIV","FB","ENDALEN.FELLFIELD.IJ","ENDALEN",3,1
2002,"CTL","POLVIV","FC","ENDALEN.FELLFIELD.IJ","ENDALEN",3,1
2002,"CTL","POLVIV","FF","ENDALEN.FELLFIELD.IJ","ENDALEN",3,1
2002,"CTL","POLVIV","FL","ENDALEN.FELLFIELD.IJ","ENDALEN",3,0
2002,"CTL","POLVIV","FO","ENDALEN.FELLFIELD.IJ","ENDALEN",3,1
2002,"CTL","SALPOL","AW","ENDALEN.FELLFIELD.IJ","ENDALEN",5,0
2002,"CTL","SALPOL","FA","ENDALEN.FELLFIELD.IJ","ENDALEN",5,0
2002,"CTL","SALPOL","FC","ENDALEN.FELLFIELD.IJ","ENDALEN",5,5
2002,"CTL","SALPOL","FF","ENDALEN.FELLFIELD.IJ","ENDALEN",5,1
2002,"CTL","SALPOL","FS","ENDALEN.FELLFIELD.IJ","ENDALEN",5,1
2002,"CTL","SALPOL","LPO","ENDALEN.FELLFIELD.IJ","ENDALEN",5,0
2002,"CTL","SALPOL","OVS","ENDALEN.FELLFIELD.IJ","ENDALEN",5,1
2002,"CTL","SALPOL","PO","ENDALEN.FELLFIELD.IJ","ENDALEN",5,3
