"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ENDALEN","ENDALEN.FELLFIELD.IJ",2003,"CTL","H1",NA,133
"ENDALEN","ENDALEN.FELLFIELD.IJ",2003,"CTL","H2",NA,133
"ENDALEN","ENDALEN.FELLFIELD.IJ",2003,"CTL","H3",NA,133
"ENDALEN","ENDALEN.FELLFIELD.IJ",2003,"CTL","H4",NA,133
"ENDALEN","ENDALEN.FELLFIELD.IJ",2003,"CTL","H5",NA,133
"ENDALEN","ENDALEN.FELLFIELD.IJ",2004,"CTL","H1",NA,117
"ENDALEN","ENDALEN.FELLFIELD.IJ",2004,"CTL","H2",NA,117
"ENDALEN","ENDALEN.FELLFIELD.IJ",2004,"CTL","H3",NA,117
"ENDALEN","ENDALEN.FELLFIELD.IJ",2004,"CTL","H4",NA,117
"ENDALEN","ENDALEN.FELLFIELD.IJ",2004,"CTL","H5",NA,117
"ENDALEN","ENDALEN.FELLFIELD.IJ",2005,"CTL","H1",NA,122
"ENDALEN","ENDALEN.FELLFIELD.IJ",2005,"CTL","H2",NA,122
"ENDALEN","ENDALEN.FELLFIELD.IJ",2005,"CTL","H3",NA,122
"ENDALEN","ENDALEN.FELLFIELD.IJ",2005,"CTL","H4",NA,122
"ENDALEN","ENDALEN.FELLFIELD.IJ",2005,"CTL","H5",NA,122
"ENDALEN","ENDALEN.FELLFIELD.IJ",2002,"CTL","H1",NA,139
"ENDALEN","ENDALEN.FELLFIELD.IJ",2002,"CTL","H2",NA,139
"ENDALEN","ENDALEN.FELLFIELD.IJ",2002,"CTL","H3",NA,139
"ENDALEN","ENDALEN.FELLFIELD.IJ",2002,"CTL","H4",NA,139
"ENDALEN","ENDALEN.FELLFIELD.IJ",2002,"CTL","H5",NA,139
