"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2002,"CTL","H1","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2002,"CTL","H2","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2002,"CTL","H3","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2002,"CTL","H4","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2002,"CTL","H5","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2003,"CTL","H1","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2003,"CTL","H2","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2003,"CTL","H3","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2003,"CTL","H4","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2003,"CTL","H5","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2004,"CTL","H1","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2004,"CTL","H2","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2004,"CTL","H3","FL",181,185
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2004,"CTL","H4","FL",167,181
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2004,"CTL","H5","FL",167,181
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2005,"CTL","H1","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2005,"CTL","H2","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2005,"CTL","H3","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2005,"CTL","H4","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2005,"CTL","H5","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2002,"CTL","H1","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2002,"CTL","H2","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2002,"CTL","H3","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2002,"CTL","H4","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2002,"CTL","H5","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2003,"CTL","H1","FF",195,199
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2003,"CTL","H2","FF",181,188
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2003,"CTL","H3","FF",191,195
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2003,"CTL","H4","FF",188,191
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2003,"CTL","H5","FF",188,191
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2004,"CTL","H1","FF",181,185
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2004,"CTL","H2","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2004,"CTL","H3","FF",181,185
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2004,"CTL","H4","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2004,"CTL","H5","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2005,"CTL","H1","FF",187,193
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2005,"CTL","H2","FF",182,187
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2005,"CTL","H3","FF",182,187
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ","POLVIV",2005,"CTL","H4","FF",182,187
