"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
2002,"CTL","POLVIV","AW","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","POLVIV","FB","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","POLVIV","FC","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","POLVIV","FF","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","POLVIV","FL","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","POLVIV","FO","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","SALPOL","AW","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","SALPOL","FA","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","SALPOL","FF","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","SALPOL","FS","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","SALPOL","LPO","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","SALPOL","OVS","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","SALPOL","PO","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2002,"CTL","SALPOL","SD","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2003,"CTL","POLVIV","AW","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,0
2003,"CTL","POLVIV","FB","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,1
2003,"CTL","POLVIV","FC","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,2
2003,"CTL","POLVIV","FF","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,0
2003,"CTL","POLVIV","FL","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,5
2003,"CTL","POLVIV","FO","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,1
2003,"CTL","SALPOL","AW","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,0
2003,"CTL","SALPOL","FA","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,0
2003,"CTL","SALPOL","FF","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,0
2003,"CTL","SALPOL","FS","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,0
2003,"CTL","SALPOL","LPO","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,0
2003,"CTL","SALPOL","OVS","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,0
2003,"CTL","SALPOL","PO","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,0
2003,"CTL","SALPOL","SD","ENDALEN.SNOWBED_HIGH.IJ","ENDALEN",5,3
