"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2003,"CTL","H1",NA,174
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2003,"CTL","H2",NA,174
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2003,"CTL","H3",NA,174
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2003,"CTL","H4",NA,174
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2003,"CTL","H5",NA,174
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2004,"CTL","H1",NA,154
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2004,"CTL","H2",NA,154
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2004,"CTL","H3",NA,154
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2004,"CTL","H4",NA,154
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2004,"CTL","H5",NA,154
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2005,"CTL","H1",NA,171
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2005,"CTL","H2",NA,171
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2005,"CTL","H3",NA,171
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2005,"CTL","H4",NA,171
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2005,"CTL","H5",NA,171
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2002,"CTL","H1",NA,177
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2002,"CTL","H2",NA,177
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2002,"CTL","H3",NA,177
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2002,"CTL","H4",NA,177
"ENDALEN","ENDALEN.SNOWBED_HIGH.IJ",2002,"CTL","H5",NA,177
