"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2003,"OTC","L1",NA,166
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2003,"CTL","L2",NA,166
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2003,"CTL","L3",NA,166
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2003,"OTC","L4",NA,166
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2003,"OTC","L5",NA,166
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2003,"CTL","L6",NA,166
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2003,"OTC","L7",NA,166
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2003,"CTL","L8",NA,166
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2003,"OTC","L9",NA,166
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2003,"CTL","L10",NA,166
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2004,"OTC","L1",NA,147
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2004,"CTL","L2",NA,147
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2004,"CTL","L3",NA,147
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2004,"OTC","L4",NA,147
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2004,"OTC","L5",NA,147
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2004,"CTL","L6",NA,147
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2004,"OTC","L7",NA,147
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2004,"CTL","L8",NA,147
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2004,"OTC","L9",NA,147
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2004,"CTL","L10",NA,147
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2005,"OTC","L1",NA,164
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2005,"CTL","L2",NA,164
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2005,"CTL","L3",NA,164
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2005,"OTC","L4",NA,164
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2005,"OTC","L5",NA,164
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2005,"CTL","L6",NA,164
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2005,"OTC","L7",NA,164
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2005,"CTL","L8",NA,164
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2005,"OTC","L9",NA,164
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2005,"CTL","L10",NA,164
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2002,"OTC","L1",NA,170
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2002,"CTL","L2",NA,170
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2002,"CTL","L3",NA,170
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2002,"OTC","L4",NA,170
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2002,"OTC","L5",NA,170
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2002,"CTL","L6",NA,170
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2002,"OTC","L7",NA,170
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2002,"CTL","L8",NA,170
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2002,"OTC","L9",NA,170
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ",2002,"CTL","L10",NA,170
