"site_name","subsite","year","treatment","plot","prior_visit","doy"
"FINSE","FINSE.alpine_meadow.KK",1995,"CTL","1",NA,165
"FINSE","FINSE.alpine_meadow.KK",1995,"CTL","2",166,168
"FINSE","FINSE.alpine_meadow.KK",1995,"CTL","3",168,169
"FINSE","FINSE.alpine_meadow.KK",1995,"CTL","4",172,173
"FINSE","FINSE.alpine_meadow.KK",1995,"CTL","5",172,173
"FINSE","FINSE.alpine_meadow.KK",1995,"CTL","6",173,174
"FINSE","FINSE.alpine_meadow.KK",1995,"CTL","7",173,174
"FINSE","FINSE.alpine_meadow.KK",1995,"CTL","8",170,171
"FINSE","FINSE.alpine_meadow.KK",1995,"CTL","9",171,172
"FINSE","FINSE.alpine_meadow.KK",1995,"CTL","10",174,175
"FINSE","FINSE.alpine_meadow.KK",1995,"CTL","11",174,175
"FINSE","FINSE.alpine_meadow.KK",1995,"OTC","1",NA,165
"FINSE","FINSE.alpine_meadow.KK",1995,"OTC","2",165,166
"FINSE","FINSE.alpine_meadow.KK",1995,"OTC","3",170,171
"FINSE","FINSE.alpine_meadow.KK",1995,"OTC","4",169,170
"FINSE","FINSE.alpine_meadow.KK",1995,"OTC","6",173,174
"FINSE","FINSE.alpine_meadow.KK",1995,"OTC","7",168,169
"FINSE","FINSE.alpine_meadow.KK",1995,"OTC","8",171,172
"FINSE","FINSE.alpine_meadow.KK",1995,"OTC","9",165,166
"FINSE","FINSE.alpine_meadow.KK",1995,"OTC","10",170,171
"FINSE","FINSE.alpine_meadow.KK",1995,"OTC","11",173,174
"FINSE","FINSE.alpine_meadow.KK",1996,"CTL","1",NA,155
"FINSE","FINSE.alpine_meadow.KK",1996,"CTL","2",158,159
"FINSE","FINSE.alpine_meadow.KK",1996,"CTL","3",159,160
"FINSE","FINSE.alpine_meadow.KK",1996,"CTL","4",159,160
"FINSE","FINSE.alpine_meadow.KK",1996,"CTL","5",156,158
"FINSE","FINSE.alpine_meadow.KK",1996,"CTL","6",NA,155
"FINSE","FINSE.alpine_meadow.KK",1996,"CTL","7",158,159
"FINSE","FINSE.alpine_meadow.KK",1996,"CTL","8",159,160
"FINSE","FINSE.alpine_meadow.KK",1996,"CTL","9",160,161
"FINSE","FINSE.alpine_meadow.KK",1996,"CTL","10",158,159
"FINSE","FINSE.alpine_meadow.KK",1996,"CTL","11",159,160
"FINSE","FINSE.alpine_meadow.KK",1996,"OTC","1",158,159
"FINSE","FINSE.alpine_meadow.KK",1996,"OTC","2",NA,155
"FINSE","FINSE.alpine_meadow.KK",1996,"OTC","3",NA,155
"FINSE","FINSE.alpine_meadow.KK",1996,"OTC","4",155,156
"FINSE","FINSE.alpine_meadow.KK",1996,"OTC","5",NA,155
"FINSE","FINSE.alpine_meadow.KK",1996,"OTC","6",155,156
"FINSE","FINSE.alpine_meadow.KK",1996,"OTC","7",155,156
"FINSE","FINSE.alpine_meadow.KK",1996,"OTC","8",159,160
"FINSE","FINSE.alpine_meadow.KK",1996,"OTC","9",NA,155
"FINSE","FINSE.alpine_meadow.KK",1996,"OTC","10",158,159
"FINSE","FINSE.alpine_meadow.KK",1996,"OTC","11",159,160
