"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","1","FO",191,192
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","2","FO",194,195
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","3","FO",187,188
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","4","FO",192,193
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","5","FO",188,189
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","6","FO",187,188
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","7","FO",187,188
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","8","FO",188,189
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","9","FO",187,188
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","10","FO",190,191
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","11","FO",192,193
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","12","FO",187,188
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","13","FO",187,188
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","14","FO",194,195
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","15","FO",188,189
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","16","FO",189,190
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","17","FO",193,194
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","18","FO",187,188
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"CTL","19","FO",188,189
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","1","FO",188,189
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","2","FO",194,195
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","3","FO",NA,187
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","4","FO",188,189
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","5","FO",187,188
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","6","FO",188,189
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","7","FO",187,188
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","8","FO",187,188
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","9","FO",188,189
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","10","FO",191,192
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","11","FO",188,189
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","12","FO",193,194
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","13","FO",188,189
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","14","FO",194,195
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","15","FO",187,188
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","16","FO",192,193
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","17","FO",193,194
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","18","FO",188,189
"FINSE","FINSE.alpine_moist_heath.KK","SILACA",1994,"OTC","19","FO",189,190
