"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","1","FL",194,195
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","2","FL",201,202
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","3","FL",195,196
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","4","FL",207,208
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","5","FL",199,200
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","6","FL",206,207
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","7","FL",198,199
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","8","FL",194,195
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","9","FL",201,202
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","10","FL",196,197
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","11","FL",183,185
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","12","FL",201,202
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","14","FL",197,198
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","15","FL",205,206
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","16","FL",206,207
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","17","FL",201,202
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","18","FL",200,201
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","19","FL",201,202
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"CTL","20","FL",201,202
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","1","FL",186,187
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","2","FL",201,202
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","3","FL",199,200
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","4","FL",206,207
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","5","FL",197,198
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","6","FL",206,207
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","7","FL",208,211
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","8","FL",194,195
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","9","FL",196,197
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","10","FL",183,185
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","11","FL",187,190
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","12","FL",185,186
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","14","FL",205,206
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","15","FL",205,206
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","16","FL",202,203
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","17","FL",197,198
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","18","FL",190,191
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","19","FL",196,197
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1995,"OTC","20","FL",203,204
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","1","FL",157,159
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","2","FL",169,170
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","3","FL",182,183
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","4","FL",177,179
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","5","FL",180,181
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","6","FL",170,171
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","7","FL",171,172
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","8","FL",162,163
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","9","FL",162,163
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","10","FL",162,163
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","11","FL",162,163
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","12","FL",162,163
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","14","FL",165,169
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","15","FL",165,169
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","16","FL",176,177
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","17","FL",181,182
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","18","FL",162,163
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","19","FL",162,163
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"CTL","20","FL",182,183
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"OTC","1","FL",157,159
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"OTC","2","FL",169,170
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"OTC","3","FL",183,184
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"OTC","4","FL",176,177
"FINSE","FINSE.stony_snowbed.KK","RANGLA",1996,"OTC","5","FL",177,179
