"site_name","subsite","year","treatment","plot","prior_visit","doy"
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","1",192,194
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","2",201,202
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","3",195,196
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","4",207,208
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","5",198,199
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","6",202,203
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","7",197,198
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","8",190,191
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","9",187,190
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","10",187,190
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","11",179,180
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","12",187,190
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","14",190,191
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","15",195,196
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","16",204,205
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","17",198,199
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","18",190,191
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","19",191,192
"FINSE","FINSE.stony_snowbed.KK",1995,"CTL","20",201,202
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","1",183,185
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","2",201,202
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","3",197,198
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","4",206,207
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","5",197,198
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","6",204,205
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","7",200,201
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","8",180,183
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","9",180,183
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","10",183,185
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","11",185,186
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","12",NA,179
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","14",195,196
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","15",195,196
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","16",202,203
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","17",197,198
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","18",179,180
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","19",192,194
"FINSE","FINSE.stony_snowbed.KK",1995,"OTC","20",201,202
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","1",157,159
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","2",169,170
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","3",182,183
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","4",173,176
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","5",180,181
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","6",170,171
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","7",171,172
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","8",161,162
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","9",159,160
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","10",160,161
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","11",157,159
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","12",161,162
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","14",163,165
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","15",163,165
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","16",173,176
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","17",181,182
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","18",160,161
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","19",162,163
"FINSE","FINSE.stony_snowbed.KK",1996,"CTL","20",182,183
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","1",157,159
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","2",169,170
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","3",183,184
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","4",176,177
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","5",177,179
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","6",170,171
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","7",170,171
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","8",159,160
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","9",159,160
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","10",NA,154
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","11",NA,154
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","12",159,160
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","14",163,165
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","15",163,165
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","16",176,177
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","17",177,179
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","18",157,159
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","19",160,161
"FINSE","FINSE.stony_snowbed.KK",1996,"OTC","20",181,182
