"site_name","subsite","spp","plant_id","year","treatment","plot","phen_stage","prior_visit","doy"
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","VERALP",730,2010,"CTL","PC1","anthesis",209,216
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","VERALP",730,2010,"CTL","PC1","expanding_fruits",NA,NA
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","VERALP",730,2010,"CTL","PC1","initiated_fruits",227,234
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","VERALP",730,2010,"CTL","PC1","seed_dispersal",NA,NA
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","VERALP",730,2010,"CTL","PC1","unopened_buds",199,206
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","LEUALP",1360,2010,"CTL","PC1","anthesis",209,216
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","LEUALP",1360,2010,"CTL","PC1","expanding_fruits",237,244
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","LEUALP",1360,2010,"CTL","PC1","initiated_fruits",NA,NA
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","LEUALP",1360,2010,"CTL","PC1","seed_dispersal",248,255
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","LEUALP",1360,2010,"CTL","PC1","unopened_buds",185,192
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","LEUALP",1361,2010,"CTL","PC1","anthesis",209,216
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","LEUALP",1361,2010,"CTL","PC1","expanding_fruits",237,244
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","LEUALP",1361,2010,"CTL","PC1","initiated_fruits",NA,NA
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC","LEUALP",1361,2010,"CTL","PC1","seed_dispersal",248,255
