"","subsite","year","treatment","spp","phen_stage","ct","ct_na","site_name"
"1","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","CARALP","anthesis",23,3,"GAVIAPASS"
"2","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","CARALP","expanding_fruits",23,0,"GAVIAPASS"
"3","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","CARALP","initiated_fruits",23,6,"GAVIAPASS"
"4","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","CARALP","seed_dispersal",23,3,"GAVIAPASS"
"5","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","CARALP","unopened_buds",23,0,"GAVIAPASS"
"6","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","LEUALP","anthesis",25,0,"GAVIAPASS"
"7","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","LEUALP","expanding_fruits",25,0,"GAVIAPASS"
"8","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","LEUALP","initiated_fruits",25,25,"GAVIAPASS"
"9","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","LEUALP","seed_dispersal",25,0,"GAVIAPASS"
"10","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","LEUALP","unopened_buds",25,0,"GAVIAPASS"
"11","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","VERALP","anthesis",41,12,"GAVIAPASS"
"12","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","VERALP","expanding_fruits",41,6,"GAVIAPASS"
"13","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","VERALP","initiated_fruits",41,7,"GAVIAPASS"
"14","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","VERALP","seed_dispersal",41,40,"GAVIAPASS"
"15","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","VERALP","unopened_buds",41,0,"GAVIAPASS"
"16","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","CARALP","anthesis",44,3,"GAVIAPASS"
"17","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","CARALP","expanding_fruits",44,0,"GAVIAPASS"
"18","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","CARALP","initiated_fruits",44,29,"GAVIAPASS"
"19","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","CARALP","seed_dispersal",44,1,"GAVIAPASS"
"20","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","CARALP","unopened_buds",44,0,"GAVIAPASS"
"21","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","LEUALP","anthesis",73,1,"GAVIAPASS"
"22","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","LEUALP","expanding_fruits",73,60,"GAVIAPASS"
"23","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","LEUALP","initiated_fruits",73,51,"GAVIAPASS"
"24","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","LEUALP","seed_dispersal",73,0,"GAVIAPASS"
"25","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","LEUALP","unopened_buds",73,0,"GAVIAPASS"
"26","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","VERALP","anthesis",76,58,"GAVIAPASS"
"27","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","VERALP","expanding_fruits",76,0,"GAVIAPASS"
"28","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","VERALP","initiated_fruits",76,3,"GAVIAPASS"
"29","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","VERALP","seed_dispersal",76,1,"GAVIAPASS"
"30","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","VERALP","unopened_buds",76,0,"GAVIAPASS"
