"site_name","subsite","year","treatment","plot","prior_visit","doy"
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","PC1",188,191
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","PC2",188,191
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","PC3",188,191
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","PC4",193,196
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"CTL","PC5",188,191
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"CTL","PC1",173,176
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"CTL","PC2",172,175
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"CTL","PC3",172,175
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"CTL","PC4",177,180
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"CTL","PC5",172,175
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","PC1",176,179
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","PC2",174,177
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","PC3",175,178
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","PC4",178,181
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","PC5",175,178
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","PC1",199,202
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","PC2",197,200
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","PC3",196,199
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","PC4",204,207
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","PC5",197,200
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","PC1",196,199
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","PC2",196,199
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","PC3",196,199
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","PC4",203,206
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","PC5",197,200
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","PT1",188,191
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","PT2",188,191
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","PT3",188,191
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","PT4",193,196
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2010,"OTC","PT5",188,191
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","PT1",173,176
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","PT2",172,175
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","PT3",172,175
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","PT4",177,180
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","PT5",172,175
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","PT1",176,179
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","PT2",174,177
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","PT3",175,178
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","PT4",178,181
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","PT5",175,178
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","PT1",197,200
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","PT2",198,201
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","PT3",196,199
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","PT4",204,207
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","PT5",196,199
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","PT1",195,198
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","PT2",196,199
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","PT3",194,197
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","PT4",203,206
"GAVIAPASS","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","PT5",194,197
