"site_name","subsite","spp","plant_id","year","treatment","plot","phen_stage","prior_visit","doy"
"GAVIAPASS","GAVIAPASS.SALIX.MC","VERALP",847,2010,"CTL","SC1","anthesis",NA,NA
"GAVIAPASS","GAVIAPASS.SALIX.MC","VERALP",847,2010,"CTL","SC1","expanding_fruits",237,244
"GAVIAPASS","GAVIAPASS.SALIX.MC","VERALP",847,2010,"CTL","SC1","initiated_fruits",209,216
"GAVIAPASS","GAVIAPASS.SALIX.MC","VERALP",847,2010,"CTL","SC1","seed_dispersal",257,264
"GAVIAPASS","GAVIAPASS.SALIX.MC","VERALP",847,2010,"CTL","SC1","unopened_buds",190,197
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1458,2010,"CTL","SC1","anthesis",209,216
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1458,2010,"CTL","SC1","expanding_fruits",237,244
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1458,2010,"CTL","SC1","initiated_fruits",NA,NA
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1458,2010,"CTL","SC1","seed_dispersal",248,255
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1458,2010,"CTL","SC1","unopened_buds",185,192
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1459,2010,"CTL","SC1","anthesis",209,216
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1459,2010,"CTL","SC1","expanding_fruits",237,244
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1459,2010,"CTL","SC1","initiated_fruits",NA,NA
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1459,2010,"CTL","SC1","seed_dispersal",248,255
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1459,2010,"CTL","SC1","unopened_buds",185,192
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1460,2010,"CTL","SC1","anthesis",209,216
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1460,2010,"CTL","SC1","expanding_fruits",237,244
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1460,2010,"CTL","SC1","initiated_fruits",NA,NA
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1460,2010,"CTL","SC1","seed_dispersal",248,255
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1460,2010,"CTL","SC1","unopened_buds",190,197
"GAVIAPASS","GAVIAPASS.SALIX.MC","LEUALP",1461,2010,"CTL","SC1","anthesis",209,216
