"","subsite","year","treatment","spp","phen_stage","ct","ct_na","site_name"
"1","GAVIAPASS.SALIX.MC",2010,"CTL","CARALP","anthesis",23,0,"GAVIAPASS"
"2","GAVIAPASS.SALIX.MC",2010,"CTL","CARALP","expanding_fruits",23,0,"GAVIAPASS"
"3","GAVIAPASS.SALIX.MC",2010,"CTL","CARALP","initiated_fruits",23,6,"GAVIAPASS"
"4","GAVIAPASS.SALIX.MC",2010,"CTL","CARALP","seed_dispersal",23,0,"GAVIAPASS"
"5","GAVIAPASS.SALIX.MC",2010,"CTL","CARALP","unopened_buds",23,0,"GAVIAPASS"
"6","GAVIAPASS.SALIX.MC",2010,"CTL","LEUALP","anthesis",34,0,"GAVIAPASS"
"7","GAVIAPASS.SALIX.MC",2010,"CTL","LEUALP","expanding_fruits",34,6,"GAVIAPASS"
"8","GAVIAPASS.SALIX.MC",2010,"CTL","LEUALP","initiated_fruits",34,33,"GAVIAPASS"
"9","GAVIAPASS.SALIX.MC",2010,"CTL","LEUALP","seed_dispersal",34,2,"GAVIAPASS"
"10","GAVIAPASS.SALIX.MC",2010,"CTL","LEUALP","unopened_buds",34,0,"GAVIAPASS"
"11","GAVIAPASS.SALIX.MC",2010,"CTL","VERALP","anthesis",38,26,"GAVIAPASS"
"12","GAVIAPASS.SALIX.MC",2010,"CTL","VERALP","expanding_fruits",38,0,"GAVIAPASS"
"13","GAVIAPASS.SALIX.MC",2010,"CTL","VERALP","initiated_fruits",38,6,"GAVIAPASS"
"14","GAVIAPASS.SALIX.MC",2010,"CTL","VERALP","seed_dispersal",38,15,"GAVIAPASS"
"15","GAVIAPASS.SALIX.MC",2010,"CTL","VERALP","unopened_buds",38,0,"GAVIAPASS"
"16","GAVIAPASS.SALIX.MC",2010,"OTC","CARALP","anthesis",40,6,"GAVIAPASS"
"17","GAVIAPASS.SALIX.MC",2010,"OTC","CARALP","expanding_fruits",40,0,"GAVIAPASS"
"18","GAVIAPASS.SALIX.MC",2010,"OTC","CARALP","initiated_fruits",40,28,"GAVIAPASS"
"19","GAVIAPASS.SALIX.MC",2010,"OTC","CARALP","seed_dispersal",40,1,"GAVIAPASS"
"20","GAVIAPASS.SALIX.MC",2010,"OTC","CARALP","unopened_buds",40,0,"GAVIAPASS"
"21","GAVIAPASS.SALIX.MC",2010,"OTC","LEUALP","anthesis",25,1,"GAVIAPASS"
"22","GAVIAPASS.SALIX.MC",2010,"OTC","LEUALP","expanding_fruits",25,17,"GAVIAPASS"
"23","GAVIAPASS.SALIX.MC",2010,"OTC","LEUALP","initiated_fruits",25,14,"GAVIAPASS"
"24","GAVIAPASS.SALIX.MC",2010,"OTC","LEUALP","seed_dispersal",25,0,"GAVIAPASS"
"25","GAVIAPASS.SALIX.MC",2010,"OTC","LEUALP","unopened_buds",25,0,"GAVIAPASS"
"26","GAVIAPASS.SALIX.MC",2010,"OTC","VERALP","anthesis",61,43,"GAVIAPASS"
"27","GAVIAPASS.SALIX.MC",2010,"OTC","VERALP","expanding_fruits",61,0,"GAVIAPASS"
"28","GAVIAPASS.SALIX.MC",2010,"OTC","VERALP","initiated_fruits",61,14,"GAVIAPASS"
"29","GAVIAPASS.SALIX.MC",2010,"OTC","VERALP","seed_dispersal",61,0,"GAVIAPASS"
"30","GAVIAPASS.SALIX.MC",2010,"OTC","VERALP","unopened_buds",61,0,"GAVIAPASS"
