"site_name","subsite","year","treatment","plot","prior_visit","doy"
"GAVIAPASS","GAVIAPASS.SALIX.MC",2010,"CTL","SC1",179,182
"GAVIAPASS","GAVIAPASS.SALIX.MC",2010,"CTL","SC2",179,182
"GAVIAPASS","GAVIAPASS.SALIX.MC",2010,"CTL","SC3",178,181
"GAVIAPASS","GAVIAPASS.SALIX.MC",2010,"CTL","SC4",182,185
"GAVIAPASS","GAVIAPASS.SALIX.MC",2010,"CTL","SC5",184,187
"GAVIAPASS","GAVIAPASS.SALIX.MC",2011,"CTL","SC1",162,165
"GAVIAPASS","GAVIAPASS.SALIX.MC",2011,"CTL","SC2",162,165
"GAVIAPASS","GAVIAPASS.SALIX.MC",2011,"CTL","SC3",163,166
"GAVIAPASS","GAVIAPASS.SALIX.MC",2011,"CTL","SC4",170,173
"GAVIAPASS","GAVIAPASS.SALIX.MC",2011,"CTL","SC5",168,171
"GAVIAPASS","GAVIAPASS.SALIX.MC",2012,"CTL","SC1",166,169
"GAVIAPASS","GAVIAPASS.SALIX.MC",2012,"CTL","SC2",165,168
"GAVIAPASS","GAVIAPASS.SALIX.MC",2012,"CTL","SC3",171,174
"GAVIAPASS","GAVIAPASS.SALIX.MC",2012,"CTL","SC4",172,175
"GAVIAPASS","GAVIAPASS.SALIX.MC",2012,"CTL","SC5",167,170
"GAVIAPASS","GAVIAPASS.SALIX.MC",2013,"CTL","SC1",189,192
"GAVIAPASS","GAVIAPASS.SALIX.MC",2013,"CTL","SC2",190,193
"GAVIAPASS","GAVIAPASS.SALIX.MC",2013,"CTL","SC3",192,195
"GAVIAPASS","GAVIAPASS.SALIX.MC",2013,"CTL","SC4",193,196
"GAVIAPASS","GAVIAPASS.SALIX.MC",2013,"CTL","SC5",194,197
"GAVIAPASS","GAVIAPASS.SALIX.MC",2014,"CTL","SC1",190,193
"GAVIAPASS","GAVIAPASS.SALIX.MC",2014,"CTL","SC2",190,193
"GAVIAPASS","GAVIAPASS.SALIX.MC",2014,"CTL","SC3",190,193
"GAVIAPASS","GAVIAPASS.SALIX.MC",2014,"CTL","SC4",195,198
"GAVIAPASS","GAVIAPASS.SALIX.MC",2014,"CTL","SC5",192,195
"GAVIAPASS","GAVIAPASS.SALIX.MC",2010,"OTC","ST1",179,182
"GAVIAPASS","GAVIAPASS.SALIX.MC",2010,"OTC","ST2",179,182
"GAVIAPASS","GAVIAPASS.SALIX.MC",2010,"OTC","ST3",180,183
"GAVIAPASS","GAVIAPASS.SALIX.MC",2010,"OTC","ST4",184,187
"GAVIAPASS","GAVIAPASS.SALIX.MC",2010,"OTC","ST5",184,187
"GAVIAPASS","GAVIAPASS.SALIX.MC",2011,"OTC","ST1",164,167
"GAVIAPASS","GAVIAPASS.SALIX.MC",2011,"OTC","ST2",162,165
"GAVIAPASS","GAVIAPASS.SALIX.MC",2011,"OTC","ST3",163,166
"GAVIAPASS","GAVIAPASS.SALIX.MC",2011,"OTC","ST4",170,173
"GAVIAPASS","GAVIAPASS.SALIX.MC",2011,"OTC","ST5",168,171
"GAVIAPASS","GAVIAPASS.SALIX.MC",2012,"OTC","ST1",167,170
"GAVIAPASS","GAVIAPASS.SALIX.MC",2012,"OTC","ST2",164,167
"GAVIAPASS","GAVIAPASS.SALIX.MC",2012,"OTC","ST3",166,169
"GAVIAPASS","GAVIAPASS.SALIX.MC",2012,"OTC","ST4",173,176
"GAVIAPASS","GAVIAPASS.SALIX.MC",2012,"OTC","ST5",168,171
"GAVIAPASS","GAVIAPASS.SALIX.MC",2013,"OTC","ST1",192,195
"GAVIAPASS","GAVIAPASS.SALIX.MC",2013,"OTC","ST2",188,191
"GAVIAPASS","GAVIAPASS.SALIX.MC",2013,"OTC","ST3",191,194
"GAVIAPASS","GAVIAPASS.SALIX.MC",2013,"OTC","ST4",193,196
"GAVIAPASS","GAVIAPASS.SALIX.MC",2013,"OTC","ST5",194,197
"GAVIAPASS","GAVIAPASS.SALIX.MC",2014,"OTC","ST1",194,197
"GAVIAPASS","GAVIAPASS.SALIX.MC",2014,"OTC","ST2",188,191
"GAVIAPASS","GAVIAPASS.SALIX.MC",2014,"OTC","ST3",192,195
"GAVIAPASS","GAVIAPASS.SALIX.MC",2014,"OTC","ST4",195,198
"GAVIAPASS","GAVIAPASS.SALIX.MC",2014,"OTC","ST5",194,197
