"site_name","subsite","year","treatment","plot","prior_visit","doy"
"HEALY","HEALY.CiPEHR.MM","2010","OTC","1_1",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","CTL","1_2",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","OTC","1_3",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","CTL","1_4",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE|OTC","1_5","117","118"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE","1_6",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE|OTC","1_7",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE","1_8",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","OTC","2_1",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","CTL","2_2",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","OTC","2_3",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","CTL","2_4",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE|OTC","2_5",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE","2_6",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE|OTC","2_7",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE","2_8",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","OTC","3_1",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","CTL","3_2",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","OTC","3_3",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","CTL","3_4",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE|OTC","3_5",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE","3_6",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE|OTC","3_7",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE","3_8",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","OTC","4_1","117","118"
"HEALY","HEALY.CiPEHR.MM","2010","CTL","4_2",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","OTC","4_3",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","CTL","4_4",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE|OTC","4_5","118","119"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE","4_6",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE|OTC","4_7",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE","4_8",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","OTC","5_1",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","CTL","5_2",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","OTC","5_3",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","CTL","5_4",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE|OTC","5_5",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE","5_6",NA,"117"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE|OTC","5_7","117","118"
"HEALY","HEALY.CiPEHR.MM","2010","SNOWFENCE","5_8","117","118"
"HEALY","HEALY.CiPEHR.MM","2010","OTC","6_1",NA,"117"
