"site_name","subsite","spp","plant_id","year","treatment","plot","phen_stage","prior_visit","doy"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","1_1_BETNAN_SNOWREM",2010,"SNOWREM",1,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","2_1_BETNAN_SNOWREM",2010,"SNOWREM",1,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","3_1_BETNAN_SNOWREM",2010,"SNOWREM",1,"FLB",144,146
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","4_1_BETNAN_SNOWREM",2010,"SNOWREM",1,"FLB",144,146
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","5_1_BETNAN_SNOWREM",2010,"SNOWREM",1,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","1_2_BETNAN_SNOWREM",2010,"SNOWREM",2,"FLB",144,146
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","2_2_BETNAN_SNOWREM",2010,"SNOWREM",2,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","3_2_BETNAN_SNOWREM",2010,"SNOWREM",2,"FLB",144,146
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","4_2_BETNAN_SNOWREM",2010,"SNOWREM",2,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","5_2_BETNAN_SNOWREM",2010,"SNOWREM",2,"FLB",144,146
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","1_3_BETNAN_SNOWREM",2010,"SNOWREM",3,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","2_3_BETNAN_SNOWREM",2010,"SNOWREM",3,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","3_3_BETNAN_SNOWREM",2010,"SNOWREM",3,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","4_3_BETNAN_SNOWREM",2010,"SNOWREM",3,"FLB",144,146
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","5_3_BETNAN_SNOWREM",2010,"SNOWREM",3,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","1_4_BETNAN_SNOWREM",2010,"SNOWREM",4,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","2_4_BETNAN_SNOWREM",2010,"SNOWREM",4,"FLB",146,149
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","3_4_BETNAN_SNOWREM",2010,"SNOWREM",4,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","4_4_BETNAN_SNOWREM",2010,"SNOWREM",4,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","5_4_BETNAN_SNOWREM",2010,"SNOWREM",4,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","1_5_BETNAN_SNOWREM",2010,"SNOWREM",5,"FLB",144,146
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","2_5_BETNAN_SNOWREM",2010,"SNOWREM",5,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","3_5_BETNAN_SNOWREM",2010,"SNOWREM",5,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","4_5_BETNAN_SNOWREM",2010,"SNOWREM",5,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","5_5_BETNAN_SNOWREM",2010,"SNOWREM",5,"FLB",144,146
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","1_1_BETNAN_SNOWREM+OTC",2010,"SNOWREM+OTC",1,"FLB",144,146
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","2_1_BETNAN_SNOWREM+OTC",2010,"SNOWREM+OTC",1,"FLB",144,146
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","3_1_BETNAN_SNOWREM+OTC",2010,"SNOWREM+OTC",1,"FLB",139,141
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","4_1_BETNAN_SNOWREM+OTC",2010,"SNOWREM+OTC",1,"FLB",144,146
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","5_1_BETNAN_SNOWREM+OTC",2010,"SNOWREM+OTC",1,"FLB",139,141
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","1_2_BETNAN_SNOWREM+OTC",2010,"SNOWREM+OTC",2,"FLB",139,141
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","2_2_BETNAN_SNOWREM+OTC",2010,"SNOWREM+OTC",2,"FLB",141,144
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN","3_2_BETNAN_SNOWREM+OTC",2010,"SNOWREM+OTC",2,"FLB",139,141
