"site_name","subsite","spp","year","treatment","ct","ct_na","phen_stage"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"CTL",25,1,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"CTL",25,0,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"CTL",25,1,"FLE"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"CTL",25,25,"LD"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"CTL",25,1,"TS"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"CTL",25,4,"WLC"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"CTL",25,0,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"CTL",25,0,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"CTL",25,0,"FLE"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"CTL",25,25,"LD"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"CTL",25,1,"TS"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"CTL",25,14,"WLC"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"CTL",25,0,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"CTL",25,0,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"CTL",25,0,"FLE"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"CTL",25,25,"LD"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"CTL",25,24,"TS"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"CTL",25,2,"WLC"
"IMNAVAIT","IMNAVAIT.MAT.HS","SALPUL",2010,"CTL",17,3,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","SALPUL",2010,"CTL",17,0,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","SALPUL",2010,"CTL",17,0,"FLE"
"IMNAVAIT","IMNAVAIT.MAT.HS","SALPUL",2010,"CTL",17,17,"LD"
"IMNAVAIT","IMNAVAIT.MAT.HS","SALPUL",2010,"CTL",17,8,"TS"
"IMNAVAIT","IMNAVAIT.MAT.HS","SALPUL",2010,"CTL",17,4,"WLC"
"IMNAVAIT","IMNAVAIT.MAT.HS","VACVIT",2010,"CTL",25,12,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","VACVIT",2010,"CTL",25,2,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","VACVIT",2010,"CTL",25,2,"FLE"
"IMNAVAIT","IMNAVAIT.MAT.HS","VACVIT",2010,"CTL",25,25,"LD"
"IMNAVAIT","IMNAVAIT.MAT.HS","VACVIT",2010,"CTL",25,25,"TS"
"IMNAVAIT","IMNAVAIT.MAT.HS","VACVIT",2010,"CTL",25,2,"WLC"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"OTC",25,1,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"OTC",25,1,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"OTC",25,0,"FLE"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"OTC",25,25,"LD"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"OTC",25,1,"TS"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"OTC",25,5,"WLC"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"OTC",25,1,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"OTC",25,0,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"OTC",25,0,"FLE"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"OTC",25,25,"LD"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"OTC",25,6,"TS"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"OTC",25,6,"WLC"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"OTC",25,0,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"OTC",25,0,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"OTC",25,0,"FLE"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"OTC",25,25,"LD"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"OTC",25,25,"TS"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"OTC",25,4,"WLC"
"IMNAVAIT","IMNAVAIT.MAT.HS","SALPUL",2010,"OTC",23,4,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","SALPUL",2010,"OTC",23,0,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","SALPUL",2010,"OTC",23,2,"FLE"
"IMNAVAIT","IMNAVAIT.MAT.HS","SALPUL",2010,"OTC",23,23,"LD"
"IMNAVAIT","IMNAVAIT.MAT.HS","SALPUL",2010,"OTC",23,11,"TS"
"IMNAVAIT","IMNAVAIT.MAT.HS","SALPUL",2010,"OTC",23,4,"WLC"
"IMNAVAIT","IMNAVAIT.MAT.HS","VACVIT",2010,"OTC",25,9,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","VACVIT",2010,"OTC",25,2,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","VACVIT",2010,"OTC",25,0,"FLE"
"IMNAVAIT","IMNAVAIT.MAT.HS","VACVIT",2010,"OTC",25,25,"LD"
"IMNAVAIT","IMNAVAIT.MAT.HS","VACVIT",2010,"OTC",25,25,"TS"
"IMNAVAIT","IMNAVAIT.MAT.HS","VACVIT",2010,"OTC",25,3,"WLC"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"SNOWREM",25,3,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"SNOWREM",25,0,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"SNOWREM",25,0,"FLE"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"SNOWREM",25,25,"LD"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"SNOWREM",25,0,"TS"
"IMNAVAIT","IMNAVAIT.MAT.HS","BETNAN",2010,"SNOWREM",25,8,"WLC"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"SNOWREM",25,0,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"SNOWREM",25,0,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"SNOWREM",25,0,"FLE"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"SNOWREM",25,25,"LD"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"SNOWREM",25,2,"TS"
"IMNAVAIT","IMNAVAIT.MAT.HS","CARBIG",2010,"SNOWREM",25,8,"WLC"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"SNOWREM",25,0,"FCC"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"SNOWREM",25,0,"FLB"
"IMNAVAIT","IMNAVAIT.MAT.HS","ERIVAG",2010,"SNOWREM",25,0,"FLE"
