year,block,snow,otc,treatment,tussock,species,growthform,individual,DOYsf,FLB,FLE,FCC,WLC,TS,LD,notes
2010,1,A,N,A.N,I,BETNAN,deciduous shrub,1,134,144,149,200,,241,,
2010,1,A,N,A.N,I,BETNAN,deciduous shrub,2,134,144,151,207,241,250,,
2010,1,A,N,A.N,I,BETNAN,deciduous shrub,3,134,146,151,217,241,250,,
2010,1,A,N,A.N,I,BETNAN,deciduous shrub,4,134,146,151,224,241,250,,
2010,1,A,N,A.N,I,BETNAN,deciduous shrub,5,134,144,149,200,,241,,
2010,2,A,N,A.N,I,BETNAN,deciduous shrub,1,134,146,149,214,241,250,,
2010,2,A,N,A.N,I,BETNAN,deciduous shrub,2,134,144,149,202,241,250,,
2010,2,A,N,A.N,I,BETNAN,deciduous shrub,3,134,146,149,207,241,250,,
2010,2,A,N,A.N,I,BETNAN,deciduous shrub,4,134,144,149,195,241,250,,
2010,2,A,N,A.N,I,BETNAN,deciduous shrub,5,134,146,149,204,,241,,
2010,3,A,N,A.N,I,BETNAN,deciduous shrub,1,134,144,149,214,241,249,,
2010,3,A,N,A.N,I,BETNAN,deciduous shrub,2,134,144,149,222,241,249,,
2010,3,A,N,A.N,I,BETNAN,deciduous shrub,3,134,144,149,214,241,249,,
2010,3,A,N,A.N,I,BETNAN,deciduous shrub,4,134,146,149,200,241,249,,
2010,3,A,N,A.N,I,BETNAN,deciduous shrub,5,134,144,151,207,241,249,,
2010,4,A,N,A.N,I,BETNAN,deciduous shrub,1,134,144,153,,241,249,,
2010,4,A,N,A.N,I,BETNAN,deciduous shrub,2,134,149,151,210,,241,,
2010,4,A,N,A.N,I,BETNAN,deciduous shrub,3,134,144,151,217,241,249,,
2010,4,A,N,A.N,I,BETNAN,deciduous shrub,4,134,144,151,224,241,249,,
2010,4,A,N,A.N,I,BETNAN,deciduous shrub,5,134,144,151,207,,241,,
2010,5,A,N,A.N,I,BETNAN,deciduous shrub,1,134,146,149,197,,240,,
2010,5,A,N,A.N,I,BETNAN,deciduous shrub,2,134,144,149,197,,240,,
2010,5,A,N,A.N,I,BETNAN,deciduous shrub,3,134,144,149,195,,240,,
2010,5,A,N,A.N,I,BETNAN,deciduous shrub,4,134,144,149,,240,249,,
2010,5,A,N,A.N,I,BETNAN,deciduous shrub,5,134,146,151,,240,249,,
2010,1,A,O,A.O,I,BETNAN,deciduous shrub,1,134,146,149,214,241,250,,
2010,1,A,O,A.O,I,BETNAN,deciduous shrub,2,134,146,149,202,,250,,
2010,1,A,O,A.O,I,BETNAN,deciduous shrub,3,134,141,149,217,241,250,,
2010,1,A,O,A.O,I,BETNAN,deciduous shrub,4,134,146,149,224,241,250,,
2010,1,A,O,A.O,I,BETNAN,deciduous shrub,5,134,141,151,224,,241,,
2010,2,A,O,A.O,I,BETNAN,deciduous shrub,1,134,141,151,200,,241,,
2010,2,A,O,A.O,I,BETNAN,deciduous shrub,2,134,144,149,204,,241,,
2010,2,A,O,A.O,I,BETNAN,deciduous shrub,3,134,141,149,,241,250,,
2010,2,A,O,A.O,I,BETNAN,deciduous shrub,4,134,141,149,210,,241,,
2010,2,A,O,A.O,I,BETNAN,deciduous shrub,5,134,144,149,,,241,,
2010,3,A,O,A.O,I,BETNAN,deciduous shrub,1,134,144,149,202,241,249,,
2010,3,A,O,A.O,I,BETNAN,deciduous shrub,2,134,144,149,217,241,249,,
2010,3,A,O,A.O,I,BETNAN,deciduous shrub,3,134,141,149,197,214,241,,
2010,3,A,O,A.O,I,BETNAN,deciduous shrub,4,134,141,149,202,241,249,,
2010,3,A,O,A.O,I,BETNAN,deciduous shrub,5,134,144,149,204,241,249,,
2010,4,A,O,A.O,I,BETNAN,deciduous shrub,1,134,141,149,,241,249,,
2010,4,A,O,A.O,I,BETNAN,deciduous shrub,2,,,,,,,,NP
2010,4,A,O,A.O,I,BETNAN,deciduous shrub,3,,,,,,,,NP
2010,4,A,O,A.O,I,BETNAN,deciduous shrub,4,,,,,,,,NP
2010,4,A,O,A.O,I,BETNAN,deciduous shrub,5,,,,,,,,NP
2010,5,A,O,A.O,I,BETNAN,deciduous shrub,1,134,144,149,,240,249,,
2010,5,A,O,A.O,I,BETNAN,deciduous shrub,2,134,146,149,214,240,249,,
2010,5,A,O,A.O,I,BETNAN,deciduous shrub,3,134,141,149,197,214,240,,
2010,5,A,O,A.O,I,BETNAN,deciduous shrub,4,134,144,151,,240,249,,
2010,5,A,O,A.O,I,BETNAN,deciduous shrub,5,134,144,146,,240,,,
2010,1,C,N,C.N,I,BETNAN,deciduous shrub,1,138,144,151,197,241,250,,
2010,1,C,N,C.N,I,BETNAN,deciduous shrub,2,138,144,153,217,,241,,
2010,1,C,N,C.N,I,BETNAN,deciduous shrub,3,138,144,151,202,241,250,,
2010,1,C,N,C.N,I,BETNAN,deciduous shrub,4,138,144,151,214,241,250,,
2010,1,C,N,C.N,I,BETNAN,deciduous shrub,5,138,146,151,200,241,250,,
2010,2,C,N,C.N,I,BETNAN,deciduous shrub,1,138,149,155,195,241,250,,
2010,2,C,N,C.N,I,BETNAN,deciduous shrub,2,138,149,153,200,241,250,,
2010,2,C,N,C.N,I,BETNAN,deciduous shrub,3,138,146,151,200,241,250,,
2010,2,C,N,C.N,I,BETNAN,deciduous shrub,4,138,146,151,224,241,250,,
2010,2,C,N,C.N,I,BETNAN,deciduous shrub,5,138,149,,200,241,250,,
2010,3,C,N,C.N,I,BETNAN,deciduous shrub,1,138,146,151,217,241,249,,
2010,3,C,N,C.N,I,BETNAN,deciduous shrub,2,138,146,151,217,241,249,,
2010,3,C,N,C.N,I,BETNAN,deciduous shrub,3,138,144,151,217,241,249,,
2010,3,C,N,C.N,I,BETNAN,deciduous shrub,4,138,146,151,214,241,249,,
2010,3,C,N,C.N,I,BETNAN,deciduous shrub,5,138,146,151,217,,241,,
2010,4,C,N,C.N,I,BETNAN,deciduous shrub,1,139,149,151,210,241,249,,new individual marked DOY 149
2010,4,C,N,C.N,I,BETNAN,deciduous shrub,2,139,144,151,224,241,249,,
2010,4,C,N,C.N,I,BETNAN,deciduous shrub,3,139,144,149,,241,249,,
2010,4,C,N,C.N,I,BETNAN,deciduous shrub,4,139,144,149,210,241,249,,
2010,4,C,N,C.N,I,BETNAN,deciduous shrub,5,139,144,151,214,241,249,,
2010,5,C,N,C.N,I,BETNAN,deciduous shrub,1,138,146,149,207,240,249,,
2010,5,C,N,C.N,I,BETNAN,deciduous shrub,2,138,146,151,202,,249,,
2010,5,C,N,C.N,I,BETNAN,deciduous shrub,3,138,146,151,214,240,,,
2010,5,C,N,C.N,I,BETNAN,deciduous shrub,4,138,146,151,210,240,249,,
2010,5,C,N,C.N,I,BETNAN,deciduous shrub,5,138,146,151,195,,240,,
2010,1,C,O,C.O,I,BETNAN,deciduous shrub,1,138,146,149,214,241,250,,
2010,1,C,O,C.O,I,BETNAN,deciduous shrub,2,138,141,149,210,,241,,
2010,1,C,O,C.O,I,BETNAN,deciduous shrub,3,138,141,149,210,241,250,,
2010,1,C,O,C.O,I,BETNAN,deciduous shrub,4,138,146,149,214,,241,,
2010,1,C,O,C.O,I,BETNAN,deciduous shrub,5,138,144,149,214,241,250,,
2010,2,C,O,C.O,I,BETNAN,deciduous shrub,1,138,144,151,210,241,250,,
2010,2,C,O,C.O,I,BETNAN,deciduous shrub,2,138,144,151,214,241,250,,
2010,2,C,O,C.O,I,BETNAN,deciduous shrub,3,138,144,151,207,241,250,,
2010,2,C,O,C.O,I,BETNAN,deciduous shrub,4,138,144,149,214,241,250,,
2010,2,C,O,C.O,I,BETNAN,deciduous shrub,5,138,144,149,210,241,250,,
2010,3,C,O,C.O,I,BETNAN,deciduous shrub,1,138,141,149,217,241,249,,
2010,3,C,O,C.O,I,BETNAN,deciduous shrub,2,138,141,149,195,241,249,,
2010,3,C,O,C.O,I,BETNAN,deciduous shrub,3,138,141,149,214,241,249,,
2010,3,C,O,C.O,I,BETNAN,deciduous shrub,4,138,141,149,217,,241,,
2010,3,C,O,C.O,I,BETNAN,deciduous shrub,5,138,141,149,195,241,249,,
2010,4,C,O,C.O,I,BETNAN,deciduous shrub,1,138,144,151,210,241,249,,
2010,4,C,O,C.O,I,BETNAN,deciduous shrub,2,138,144,149,224,241,249,,
2010,4,C,O,C.O,I,BETNAN,deciduous shrub,3,138,,149,,241,249,,new individual marked DOY 149
2010,4,C,O,C.O,I,BETNAN,deciduous shrub,4,138,144,149,224,241,249,,
2010,4,C,O,C.O,I,BETNAN,deciduous shrub,5,138,144,149,217,241,249,,
2010,5,C,O,C.O,I,BETNAN,deciduous shrub,1,138,144,149,217,240,,,
2010,5,C,O,C.O,I,BETNAN,deciduous shrub,2,138,146,151,207,,240,,
2010,5,C,O,C.O,I,BETNAN,deciduous shrub,3,138,146,149,214,,240,,
2010,5,C,O,C.O,I,BETNAN,deciduous shrub,4,138,144,149,217,240,249,,
2010,5,C,O,C.O,I,BETNAN,deciduous shrub,5,138,144,149,207,240,249,,
2010,1,A,N,A.N,I,CARBIG,graminoid,1,134,149,149,193,241,250,,new individual marked DOY 149
2010,1,A,N,A.N,I,CARBIG,graminoid,2,134,138,138,200,241,250,,
2010,1,A,N,A.N,I,CARBIG,graminoid,3,134,149,149,193,241,250,,new individual marked DOY 149
2010,1,A,N,A.N,I,CARBIG,graminoid,4,134,144,144,193,241,250,,
2010,1,A,N,A.N,I,CARBIG,graminoid,5,134,141,141,190,241,250,,
2010,2,A,N,A.N,I,CARBIG,graminoid,1,134,138,138,190,241,250,,
2010,2,A,N,A.N,I,CARBIG,graminoid,2,134,138,138,190,241,,,
2010,2,A,N,A.N,I,CARBIG,graminoid,3,134,146,146,193,241,250,,
2010,2,A,N,A.N,I,CARBIG,graminoid,4,134,141,141,190,241,250,,
2010,2,A,N,A.N,I,CARBIG,graminoid,5,134,138,138,190,241,250,,
2010,3,A,N,A.N,I,CARBIG,graminoid,1,134,149,149,200,241,249,,new individual marked DOY 149
