"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","AGRALP",2015,"CTL","1_2","flower",209,213
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","ANTALP",2015,"CTL","1_2","flower",205,209
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","CARCUR",2015,"CTL","1_2","flower",175,180
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","DESFLE",2015,"CTL","1_2","flower",202,205
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","EMPNIG",2015,"CTL","1_2","flower",170,175
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","EUPMIN",2015,"CTL","1_2","flower",205,209
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","HELVER",2015,"CTL","1_2","flower",202,205
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","HOMALP",2015,"CTL","1_2","flower",182,184
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","LEOHEL",2015,"CTL","1_2","flower",184,194
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","LUZALP",2015,"CTL","1_2","flower",NA,NA
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","LUZLUT",2015,"CTL","1_2","flower",200,202
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","NARSTR",2015,"CTL","1_2","flower",196,198
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","PHYHEM",2015,"CTL","1_2","flower",200,202
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","RANVIL",2015,"CTL","1_2","flower",182,184
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","SENINC",2015,"CTL","1_2","flower",196,198
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","SOLALP",2015,"CTL","1_2","flower",NA,170
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","VACMYR",2015,"CTL","1_2","flower",182,184
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","VACULI",2015,"CTL","1_2","flower",184,194
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","ANTALP",2015,"CTL","2_4","flower",213,216
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","CARCUR",2015,"CTL","2_4","flower",175,180
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","EMPNIG",2015,"CTL","2_4","flower",NA,170
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC","HELVER",2015,"CTL","2_4","flower",205,209
