"site_name","subsite","year","treatment","spp","phen_stage","ct","ct_na"
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","AGRALP","flower",1,0
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","AGRALP","flowerend",1,0
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","ANTALP","flower",3,0
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","ANTALP","flowerend",3,0
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","ANTALP","senesce",3,1
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","ARNMON","flower",2,0
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","ARNMON","senesce",2,2
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","CAMROT","flower",1,0
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","CAMROT","senesce",1,0
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","CARCUR","flower",8,0
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","CARCUR","flowerend",8,3
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","CARCUR","senesce",8,3
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","DESFLE","flower",4,0
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","DESFLE","flowerend",4,2
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","DESFLE","senesce",4,3
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","EMPNIG","flower",7,1
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","EMPNIG","flowerend",7,1
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","EMPNIG","green",7,6
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","EMPNIG","senesce",7,1
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","EUPMIN","flower",3,0
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","EUPMIN","flowerend",3,2
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","EUPMIN","senesce",3,3
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","GENACA","flower",1,0
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","GENACA","green",1,1
"JAKOBSHORN","JAKOBSHORN.WARMREM.CC",2015,"CTL","GENACA","senesce",1,1
