"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
1993,"CTL","CASTET","FO","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1993,"CTL","CASTET","FPE","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1993,"OTC","CASTET","FO","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1993,"OTC","CASTET","FPE","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1994,"CTL","CASTET","FO","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1994,"CTL","CASTET","FPE","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1994,"OTC","CASTET","FO","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1994,"OTC","CASTET","FPE","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1995,"CTL","CASTET","FO","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1995,"CTL","CASTET","FPE","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1995,"OTC","CASTET","FO","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1995,"OTC","CASTET","FPE","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1996,"CTL","CASTET","FO","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1996,"CTL","CASTET","FPE","LATNJA.DRY_HEATH.UM","LATNJA",5,2
1996,"OTC","CASTET","FO","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1996,"OTC","CASTET","FPE","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1997,"CTL","CASTET","FO","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1997,"CTL","CASTET","FPE","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1997,"OTC","CASTET","FO","LATNJA.DRY_HEATH.UM","LATNJA",5,0
1997,"OTC","CASTET","FPE","LATNJA.DRY_HEATH.UM","LATNJA",5,0
