"site_name","subsite","year","treatment","plot","prior_visit","doy"
"LATNJA","LATNJA.DRY_HEATH.UM",1993,"OTC","1",130,135
"LATNJA","LATNJA.DRY_HEATH.UM",1993,"OTC","2",135,136
"LATNJA","LATNJA.DRY_HEATH.UM",1993,"OTC","3",136,137
"LATNJA","LATNJA.DRY_HEATH.UM",1993,"OTC","4",137,140
"LATNJA","LATNJA.DRY_HEATH.UM",1993,"OTC","5",NA,130
"LATNJA","LATNJA.DRY_HEATH.UM",1993,"CTL","1",130,135
"LATNJA","LATNJA.DRY_HEATH.UM",1993,"CTL","2",135,136
"LATNJA","LATNJA.DRY_HEATH.UM",1993,"CTL","3",136,137
"LATNJA","LATNJA.DRY_HEATH.UM",1993,"CTL","4",137,140
"LATNJA","LATNJA.DRY_HEATH.UM",1993,"CTL","5",NA,130
"LATNJA","LATNJA.DRY_HEATH.UM",1994,"OTC","1",158,159
"LATNJA","LATNJA.DRY_HEATH.UM",1994,"OTC","2",156,158
"LATNJA","LATNJA.DRY_HEATH.UM",1994,"OTC","3",135,142
"LATNJA","LATNJA.DRY_HEATH.UM",1994,"OTC","4",156,158
"LATNJA","LATNJA.DRY_HEATH.UM",1994,"OTC","5",NA,135
"LATNJA","LATNJA.DRY_HEATH.UM",1994,"CTL","1",161,162
"LATNJA","LATNJA.DRY_HEATH.UM",1994,"CTL","2",161,162
"LATNJA","LATNJA.DRY_HEATH.UM",1994,"CTL","3",142,156
"LATNJA","LATNJA.DRY_HEATH.UM",1994,"CTL","4",159,161
"LATNJA","LATNJA.DRY_HEATH.UM",1994,"CTL","5",NA,135
"LATNJA","LATNJA.DRY_HEATH.UM",1995,"OTC","1",150,162
"LATNJA","LATNJA.DRY_HEATH.UM",1995,"OTC","2",162,165
"LATNJA","LATNJA.DRY_HEATH.UM",1995,"OTC","3",166,168
"LATNJA","LATNJA.DRY_HEATH.UM",1995,"OTC","4",168,175
"LATNJA","LATNJA.DRY_HEATH.UM",1995,"OTC","5",NA,145
"LATNJA","LATNJA.DRY_HEATH.UM",1995,"CTL","1",165,166
"LATNJA","LATNJA.DRY_HEATH.UM",1995,"CTL","2",166,168
"LATNJA","LATNJA.DRY_HEATH.UM",1995,"CTL","3",177,180
"LATNJA","LATNJA.DRY_HEATH.UM",1995,"CTL","4",175,177
"LATNJA","LATNJA.DRY_HEATH.UM",1995,"CTL","5",145,150
"LATNJA","LATNJA.DRY_HEATH.UM",1996,"OTC","1",149,150
"LATNJA","LATNJA.DRY_HEATH.UM",1996,"OTC","2",150,151
"LATNJA","LATNJA.DRY_HEATH.UM",1996,"OTC","3",147,149
"LATNJA","LATNJA.DRY_HEATH.UM",1996,"OTC","4",152,153
"LATNJA","LATNJA.DRY_HEATH.UM",1996,"OTC","5",NA,145
"LATNJA","LATNJA.DRY_HEATH.UM",1996,"CTL","1",151,152
"LATNJA","LATNJA.DRY_HEATH.UM",1996,"CTL","2",153,155
"LATNJA","LATNJA.DRY_HEATH.UM",1996,"CTL","3",153,155
"LATNJA","LATNJA.DRY_HEATH.UM",1996,"CTL","4",155,158
"LATNJA","LATNJA.DRY_HEATH.UM",1996,"CTL","5",145,147
"LATNJA","LATNJA.DRY_HEATH.UM",1997,"OTC","1",138,141
"LATNJA","LATNJA.DRY_HEATH.UM",1997,"OTC","2",138,141
"LATNJA","LATNJA.DRY_HEATH.UM",1997,"OTC","3",138,141
"LATNJA","LATNJA.DRY_HEATH.UM",1997,"OTC","4",142,143
"LATNJA","LATNJA.DRY_HEATH.UM",1997,"OTC","5",NA,138
"LATNJA","LATNJA.DRY_HEATH.UM",1997,"CTL","1",138,141
"LATNJA","LATNJA.DRY_HEATH.UM",1997,"CTL","2",138,141
"LATNJA","LATNJA.DRY_HEATH.UM",1997,"CTL","3",138,141
"LATNJA","LATNJA.DRY_HEATH.UM",1997,"CTL","4",141,142
"LATNJA","LATNJA.DRY_HEATH.UM",1997,"CTL","5",NA,138
