"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1994,"OTC","1","FL",139,143
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1994,"OTC","2","FL",139,143
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1994,"OTC","3","FL",139,143
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1994,"OTC","4","FL",145,147
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1994,"OTC","5","FL",143,144
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1994,"CTL","1","FL",147,150
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1994,"CTL","2","FL",147,150
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1994,"CTL","3","FL",147,150
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1994,"CTL","4","FL",144,145
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1994,"CTL","5","FL",144,145
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1995,"OTC","1","FL",148,149
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1995,"OTC","2","FL",146,148
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1995,"OTC","3","FL",151,152
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1995,"OTC","4","FL",154,156
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1995,"OTC","5","FL",163,166
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1995,"CTL","1","FL",158,159
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1995,"CTL","2","FL",156,157
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1995,"CTL","3","FL",154,156
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1995,"CTL","4","FL",154,156
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1995,"CTL","5","FL",163,166
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1996,"OTC","1","FL",160,163
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1996,"OTC","2","FL",160,163
"LATNJA","LATNJA.DRY_MEADOW.UM","POLVIV",1996,"OTC","3","FL",160,163
