"site_name","subsite","year","treatment","plot","prior_visit","doy"
"LATNJA","LATNJA.DRY_MEADOW.UM",1994,"OTC","1",NA,130
"LATNJA","LATNJA.DRY_MEADOW.UM",1994,"OTC","2",NA,130
"LATNJA","LATNJA.DRY_MEADOW.UM",1994,"OTC","3",NA,130
"LATNJA","LATNJA.DRY_MEADOW.UM",1994,"OTC","4",137,139
"LATNJA","LATNJA.DRY_MEADOW.UM",1994,"OTC","5",130,137
"LATNJA","LATNJA.DRY_MEADOW.UM",1994,"CTL","1",NA,130
"LATNJA","LATNJA.DRY_MEADOW.UM",1994,"CTL","2",NA,130
"LATNJA","LATNJA.DRY_MEADOW.UM",1994,"CTL","3",NA,130
"LATNJA","LATNJA.DRY_MEADOW.UM",1994,"CTL","4",137,139
"LATNJA","LATNJA.DRY_MEADOW.UM",1994,"CTL","5",130,137
"LATNJA","LATNJA.DRY_MEADOW.UM",1995,"OTC","1",137,141
"LATNJA","LATNJA.DRY_MEADOW.UM",1995,"OTC","2",NA,137
"LATNJA","LATNJA.DRY_MEADOW.UM",1995,"OTC","3",142,144
"LATNJA","LATNJA.DRY_MEADOW.UM",1995,"OTC","4",154,156
"LATNJA","LATNJA.DRY_MEADOW.UM",1995,"OTC","5",157,158
"LATNJA","LATNJA.DRY_MEADOW.UM",1995,"CTL","1",151,152
"LATNJA","LATNJA.DRY_MEADOW.UM",1995,"CTL","2",149,150
"LATNJA","LATNJA.DRY_MEADOW.UM",1995,"CTL","3",146,148
"LATNJA","LATNJA.DRY_MEADOW.UM",1995,"CTL","4",154,156
"LATNJA","LATNJA.DRY_MEADOW.UM",1995,"CTL","5",156,157
"LATNJA","LATNJA.DRY_MEADOW.UM",1996,"OTC","1",NA,138
"LATNJA","LATNJA.DRY_MEADOW.UM",1996,"OTC","2",NA,138
"LATNJA","LATNJA.DRY_MEADOW.UM",1996,"OTC","3",NA,138
"LATNJA","LATNJA.DRY_MEADOW.UM",1996,"OTC","4",157,159
"LATNJA","LATNJA.DRY_MEADOW.UM",1996,"OTC","5",140,147
"LATNJA","LATNJA.DRY_MEADOW.UM",1996,"CTL","1",138,140
"LATNJA","LATNJA.DRY_MEADOW.UM",1996,"CTL","2",138,140
"LATNJA","LATNJA.DRY_MEADOW.UM",1996,"CTL","3",138,140
"LATNJA","LATNJA.DRY_MEADOW.UM",1996,"CTL","4",159,160
"LATNJA","LATNJA.DRY_MEADOW.UM",1996,"CTL","5",147,149
"LATNJA","LATNJA.DRY_MEADOW.UM",1997,"OTC","1",NA,130
"LATNJA","LATNJA.DRY_MEADOW.UM",1997,"OTC","2",NA,130
"LATNJA","LATNJA.DRY_MEADOW.UM",1997,"OTC","3",NA,130
"LATNJA","LATNJA.DRY_MEADOW.UM",1997,"OTC","4",135,139
"LATNJA","LATNJA.DRY_MEADOW.UM",1997,"OTC","5",NA,NA
"LATNJA","LATNJA.DRY_MEADOW.UM",1997,"CTL","1",144,145
"LATNJA","LATNJA.DRY_MEADOW.UM",1997,"CTL","2",130,135
"LATNJA","LATNJA.DRY_MEADOW.UM",1997,"CTL","3",130,135
"LATNJA","LATNJA.DRY_MEADOW.UM",1997,"CTL","4",140,141
"LATNJA","LATNJA.DRY_MEADOW.UM",1997,"CTL","5",139,140
"LATNJA","LATNJA.DRY_MEADOW.UM",1993,"OTC","1",NA,135
"LATNJA","LATNJA.DRY_MEADOW.UM",1993,"OTC","2",NA,135
"LATNJA","LATNJA.DRY_MEADOW.UM",1993,"OTC","3",NA,135
"LATNJA","LATNJA.DRY_MEADOW.UM",1993,"OTC","4",135,141
"LATNJA","LATNJA.DRY_MEADOW.UM",1993,"OTC","5",135,141
"LATNJA","LATNJA.DRY_MEADOW.UM",1993,"CTL","1",NA,135
"LATNJA","LATNJA.DRY_MEADOW.UM",1993,"CTL","2",NA,135
"LATNJA","LATNJA.DRY_MEADOW.UM",1993,"CTL","3",NA,135
"LATNJA","LATNJA.DRY_MEADOW.UM",1993,"CTL","4",135,141
"LATNJA","LATNJA.DRY_MEADOW.UM",1993,"CTL","5",135,141
