"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
1993,"CTL","ERIVAG","FA","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1993,"CTL","ERIVAG","SD","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1993,"OTC","ERIVAG","FA","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1993,"OTC","ERIVAG","SD","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1994,"CTL","ERIVAG","FA","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1994,"CTL","ERIVAG","SD","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1994,"OTC","ERIVAG","FA","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1994,"OTC","ERIVAG","SD","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1995,"CTL","ERIVAG","FA","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1995,"CTL","ERIVAG","SD","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,2
1995,"OTC","ERIVAG","FA","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1995,"OTC","ERIVAG","SD","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1996,"CTL","ERIVAG","FA","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1996,"CTL","ERIVAG","SD","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1996,"OTC","ERIVAG","FA","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1996,"OTC","ERIVAG","SD","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1997,"CTL","ERIVAG","FA","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1997,"CTL","ERIVAG","SD","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,5
1997,"OTC","ERIVAG","FA","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,0
1997,"OTC","ERIVAG","SD","LATNJA.TUSSOCK_TUNDRA.UM","LATNJA",5,5
