"site_name","subsite","year","treatment","plot","prior_visit","doy"
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1993,"OTC","1",140,141
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1993,"OTC","2",140,141
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1993,"OTC","3",140,141
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1993,"OTC","4",NA,139
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1993,"OTC","5",140,141
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1993,"CTL","1",141,142
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1993,"CTL","2",141,142
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1993,"CTL","3",142,143
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1993,"CTL","4",139,140
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1993,"CTL","5",143,144
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1994,"OTC","1",159,160
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1994,"OTC","2",159,160
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1994,"OTC","3",159,160
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1994,"OTC","4",NA,159
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1994,"OTC","5",NA,159
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1994,"CTL","1",160,161
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1994,"CTL","2",161,162
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1994,"CTL","3",NA,159
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1994,"CTL","4",NA,159
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1994,"CTL","5",159,160
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1995,"OTC","1",161,164
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1995,"OTC","2",158,159
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1995,"OTC","3",157,158
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1995,"OTC","4",159,160
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1995,"OTC","5",159,160
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1995,"CTL","1",161,164
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1995,"CTL","2",161,164
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1995,"CTL","3",160,161
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1995,"CTL","4",158,159
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1995,"CTL","5",NA,157
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1996,"OTC","1",NA,150
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1996,"OTC","2",152,153
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1996,"OTC","3",151,152
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1996,"OTC","4",151,152
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1996,"OTC","5",NA,150
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1996,"CTL","1",150,151
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1996,"CTL","2",153,154
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1996,"CTL","3",153,154
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1996,"CTL","4",NA,150
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1996,"CTL","5",150,151
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1997,"OTC","1",139,140
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1997,"OTC","2",147,148
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1997,"OTC","3",139,140
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1997,"OTC","4",140,141
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1997,"OTC","5",NA,139
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1997,"CTL","1",149,150
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1997,"CTL","2",150,154
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1997,"CTL","3",141,142
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1997,"CTL","4",140,141
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM",1997,"CTL","5",142,143
