"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"OTC","1","FO",202,204
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"OTC","2","FO",205,206
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"OTC","3","FO",202,204
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"OTC","4","FO",177,180
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"OTC","5","FO",180,189
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"CTL","1","FO",202,204
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"CTL","2","FO",204,205
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"CTL","3","FO",205,206
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"CTL","4","FO",189,190
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"CTL","5","FO",177,180
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"OTC","1","FO",165,166
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"OTC","2","FO",168,172
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"OTC","3","FO",164,165
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"OTC","4","FO",167,168
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"OTC","5","FO",167,168
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"CTL","1","FO",166,167
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"CTL","2","FO",168,172
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"CTL","3","FO",168,172
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"CTL","4","FO",181,183
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"CTL","5","FO",168,172
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"OTC","1","FO",168,170
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"OTC","2","FO",177,178
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"OTC","3","FO",177,178
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"OTC","4","FO",156,157
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"OTC","5","FO",166,168
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"CTL","1","FO",168,170
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"CTL","2","FO",176,177
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"CTL","3","FO",170,176
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"CTL","4","FO",168,170
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"CTL","5","FO",158,166
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"OTC","1","FO",162,164
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"OTC","2","FO",167,168
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"OTC","3","FO",172,173
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"OTC","4","FO",159,162
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"OTC","5","FO",170,172
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"CTL","1","FO",164,167
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"CTL","2","FO",177,178
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"CTL","3","FO",173,177
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"CTL","4","FO",178,181
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"CTL","5","FO",170,172
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1997,"OTC","1","FO",154,158
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1997,"OTC","2","FO",154,158
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1997,"OTC","3","FO",160,161
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1997,"OTC","4","FO",153,154
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1997,"OTC","5","FO",166,169
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1997,"CTL","1","FO",158,160
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1997,"CTL","2","FO",165,166
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1997,"CTL","3","FO",163,164
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1997,"CTL","4","FO",161,163
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1997,"CTL","5","FO",163,164
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"OTC","1","FPE",214,215
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"OTC","2","FPE",215,216
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"OTC","3","FPE",213,214
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"OTC","4","FPE",190,193
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"OTC","5","FPE",194,198
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"CTL","1","FPE",210,213
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"CTL","2","FPE",213,214
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"CTL","3","FPE",216,217
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"CTL","4","FPE",194,198
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1993,"CTL","5","FPE",193,194
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"OTC","1","FPE",172,180
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"OTC","2","FPE",187,189
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"OTC","3","FPE",180,181
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"OTC","4","FPE",172,180
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"OTC","5","FPE",181,183
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"CTL","1","FPE",180,181
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"CTL","2","FPE",189,190
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"CTL","3","FPE",183,187
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"CTL","4","FPE",190,194
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1994,"CTL","5","FPE",183,187
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"OTC","1","FPE",180,184
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"OTC","2","FPE",192,194
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"OTC","3","FPE",189,192
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"OTC","4","FPE",166,168
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"OTC","5","FPE",178,180
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"CTL","1","FPE",184,186
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"CTL","2","FPE",189,192
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"CTL","3","FPE",189,192
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"CTL","4","FPE",186,189
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1995,"CTL","5","FPE",178,180
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"OTC","1","FPE",168,170
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"OTC","2","FPE",181,185
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"OTC","3","FPE",181,185
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"OTC","4","FPE",178,181
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"OTC","5","FPE",185,186
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"CTL","1","FPE",181,185
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"CTL","2","FPE",190,191
"LATNJA","LATNJA.WET_SEDGE.UM","RANNIV",1996,"CTL","3","FPE",187,190
