"site_name","subsite","year","treatment","plot","prior_visit","doy"
"LATNJA","LATNJA.WET_SEDGE.UM",1993,"OTC","1",198,200
"LATNJA","LATNJA.WET_SEDGE.UM",1993,"OTC","2",201,202
"LATNJA","LATNJA.WET_SEDGE.UM",1993,"OTC","3",200,201
"LATNJA","LATNJA.WET_SEDGE.UM",1993,"OTC","4",NA,177
"LATNJA","LATNJA.WET_SEDGE.UM",1993,"OTC","5",NA,177
"LATNJA","LATNJA.WET_SEDGE.UM",1993,"CTL","1",194,198
"LATNJA","LATNJA.WET_SEDGE.UM",1993,"CTL","2",200,201
"LATNJA","LATNJA.WET_SEDGE.UM",1993,"CTL","3",198,200
"LATNJA","LATNJA.WET_SEDGE.UM",1993,"CTL","4",NA,177
"LATNJA","LATNJA.WET_SEDGE.UM",1993,"CTL","5",NA,177
"LATNJA","LATNJA.WET_SEDGE.UM",1994,"OTC","1",156,157
"LATNJA","LATNJA.WET_SEDGE.UM",1994,"OTC","2",157,158
"LATNJA","LATNJA.WET_SEDGE.UM",1994,"OTC","3",NA,140
"LATNJA","LATNJA.WET_SEDGE.UM",1994,"OTC","4",157,158
"LATNJA","LATNJA.WET_SEDGE.UM",1994,"OTC","5",158,159
"LATNJA","LATNJA.WET_SEDGE.UM",1994,"CTL","1",140,156
"LATNJA","LATNJA.WET_SEDGE.UM",1994,"CTL","2",157,158
"LATNJA","LATNJA.WET_SEDGE.UM",1994,"CTL","3",156,157
"LATNJA","LATNJA.WET_SEDGE.UM",1994,"CTL","4",161,164
"LATNJA","LATNJA.WET_SEDGE.UM",1994,"CTL","5",159,161
"LATNJA","LATNJA.WET_SEDGE.UM",1995,"OTC","1",157,158
"LATNJA","LATNJA.WET_SEDGE.UM",1995,"OTC","2",155,156
"LATNJA","LATNJA.WET_SEDGE.UM",1995,"OTC","3",148,152
"LATNJA","LATNJA.WET_SEDGE.UM",1995,"OTC","4",NA,148
"LATNJA","LATNJA.WET_SEDGE.UM",1995,"OTC","5",152,155
"LATNJA","LATNJA.WET_SEDGE.UM",1995,"CTL","1",157,158
"LATNJA","LATNJA.WET_SEDGE.UM",1995,"CTL","2",152,155
"LATNJA","LATNJA.WET_SEDGE.UM",1995,"CTL","3",152,155
"LATNJA","LATNJA.WET_SEDGE.UM",1995,"CTL","4",152,155
"LATNJA","LATNJA.WET_SEDGE.UM",1995,"CTL","5",155,156
"LATNJA","LATNJA.WET_SEDGE.UM",1996,"OTC","1",NA,149
"LATNJA","LATNJA.WET_SEDGE.UM",1996,"OTC","2",151,152
"LATNJA","LATNJA.WET_SEDGE.UM",1996,"OTC","3",150,151
"LATNJA","LATNJA.WET_SEDGE.UM",1996,"OTC","4",NA,149
"LATNJA","LATNJA.WET_SEDGE.UM",1996,"OTC","5",158,159
"LATNJA","LATNJA.WET_SEDGE.UM",1996,"CTL","1",152,155
"LATNJA","LATNJA.WET_SEDGE.UM",1996,"CTL","2",149,150
"LATNJA","LATNJA.WET_SEDGE.UM",1996,"CTL","3",152,155
"LATNJA","LATNJA.WET_SEDGE.UM",1996,"CTL","4",155,156
"LATNJA","LATNJA.WET_SEDGE.UM",1996,"CTL","5",156,158
"LATNJA","LATNJA.WET_SEDGE.UM",1997,"OTC","1",137,139
"LATNJA","LATNJA.WET_SEDGE.UM",1997,"OTC","2",137,139
"LATNJA","LATNJA.WET_SEDGE.UM",1997,"OTC","3",137,139
"LATNJA","LATNJA.WET_SEDGE.UM",1997,"OTC","4",NA,137
"LATNJA","LATNJA.WET_SEDGE.UM",1997,"OTC","5",164,165
"LATNJA","LATNJA.WET_SEDGE.UM",1997,"CTL","1",139,142
"LATNJA","LATNJA.WET_SEDGE.UM",1997,"CTL","2",142,147
"LATNJA","LATNJA.WET_SEDGE.UM",1997,"CTL","3",147,153
"LATNJA","LATNJA.WET_SEDGE.UM",1997,"CTL","4",147,153
"LATNJA","LATNJA.WET_SEDGE.UM",1997,"CTL","5",147,153
