"site_name","subsite","year","treatment","spp","phen_stage","ct","ct_na"
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","CARXXX","LTR",30,0
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","CARXXX","R1",30,29
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","CARXXX","R2",30,26
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","CARXXX","R3",30,26
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","CARXXX","V1",30,0
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","CARXXX","V2",30,30
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","CARXXX","V3",30,0
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","CARXXX","V4",30,21
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","CARXXX","V5",30,30
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","GEUROS","LTR",21,0
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","GEUROS","R1",21,15
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","GEUROS","R2",21,8
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","GEUROS","R3",21,7
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","GEUROS","V1",21,21
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","GEUROS","V2",21,21
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","GEUROS","V3",21,9
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","GEUROS","V4",21,14
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","GEUROS","V5",21,21
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","POLBIS","LTR",18,13
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","POLBIS","R1",18,15
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","POLBIS","R2",18,15
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","POLBIS","R3",18,16
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","POLBIS","V1",18,18
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","POLBIS","V2",18,18
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","POLBIS","V3",18,2
"NIWOT","NIWOT.BS_EK.CF",2018,"CTL","POLBIS","V4",18,1
