"site_name","subsite","spp","plant_id","year","treatment","plot","phen_stage","prior_visit","doy"
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2018,"CTL","CA","LTR",198,200
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2019,"CTL","CA","LTR",220,225
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2018,"CTL","CA","LTR",198,200
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2019,"CTL","CA","LTR",220,225
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2018,"CTL","CA","LTR",194,198
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2019,"CTL","CA","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2018,"CTL","CA","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2019,"CTL","CA","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2018,"CTL","CA","LTR",191,194
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2019,"CTL","CA","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2018,"CTL","CA","LTR",194,198
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2019,"CTL","CA","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2018,"CTL","CA","LTR",186,191
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2019,"CTL","CA","LTR",225,227
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2018,"EARLYSNOWMELT","CA","LTR",198,200
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2019,"EARLYSNOWMELT","CA","LTR",225,227
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2018,"EARLYSNOWMELT","CA","LTR",198,200
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2019,"EARLYSNOWMELT","CA","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2018,"EARLYSNOWMELT","CA","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2019,"EARLYSNOWMELT","CA","LTR",234,238
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2018,"EARLYSNOWMELT","CA","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2019,"EARLYSNOWMELT","CA","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2018,"EARLYSNOWMELT","CA","LTR",214,218
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2019,"EARLYSNOWMELT","CA","LTR",234,238
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2018,"EARLYSNOWMELT","CA","LTR",194,198
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2019,"EARLYSNOWMELT","CA","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2018,"EARLYSNOWMELT","CA","LTR",186,191
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2019,"EARLYSNOWMELT","CA","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2018,"CTL","CB","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2019,"CTL","CB","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2018,"CTL","CB","LTR",198,200
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2019,"CTL","CB","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2018,"CTL","CB","LTR",198,200
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2019,"CTL","CB","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2018,"CTL","CB","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2019,"CTL","CB","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2018,"CTL","CB","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2019,"CTL","CB","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2018,"CTL","CB","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2019,"CTL","CB","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2018,"CTL","CB","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2019,"CTL","CB","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2018,"EARLYSNOWMELT","CB","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2019,"EARLYSNOWMELT","CB","LTR",234,238
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2018,"EARLYSNOWMELT","CB","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2019,"EARLYSNOWMELT","CB","LTR",234,238
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2018,"EARLYSNOWMELT","CB","LTR",198,200
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2019,"EARLYSNOWMELT","CB","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2018,"EARLYSNOWMELT","CB","LTR",198,200
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2019,"EARLYSNOWMELT","CB","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2018,"EARLYSNOWMELT","CB","LTR",198,200
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2019,"EARLYSNOWMELT","CB","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2018,"EARLYSNOWMELT","CB","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2019,"EARLYSNOWMELT","CB","LTR",220,225
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2018,"EARLYSNOWMELT","CB","LTR",194,198
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2019,"EARLYSNOWMELT","CB","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2018,"CTL","CC","LTR",207,212
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2019,"CTL","CC","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2019,"CTL","CC","LTR",240,246
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2018,"CTL","CC","LTR",207,212
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2019,"CTL","CC","LTR",234,238
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2018,"CTL","CC","LTR",207,212
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2018,"CTL","CC","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2019,"CTL","CC","LTR",234,238
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2018,"CTL","CC","LTR",179,184
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2019,"CTL","CC","LTR",225,227
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2018,"CTL","CC","LTR",207,212
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2019,"CTL","CC","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2018,"CTL","CC","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2019,"CTL","CC","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2018,"EARLYSNOWMELT","CC","LTR",191,194
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2019,"EARLYSNOWMELT","CC","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2018,"EARLYSNOWMELT","CC","LTR",198,200
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2019,"EARLYSNOWMELT","CC","LTR",234,238
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2018,"EARLYSNOWMELT","CC","LTR",207,212
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2019,"EARLYSNOWMELT","CC","LTR",234,238
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2018,"EARLYSNOWMELT","CC","LTR",205,207
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2019,"EARLYSNOWMELT","CC","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2018,"EARLYSNOWMELT","CC","LTR",205,207
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2019,"EARLYSNOWMELT","CC","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2018,"EARLYSNOWMELT","CC","LTR",194,198
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2019,"EARLYSNOWMELT","CC","LTR",234,238
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2018,"EARLYSNOWMELT","CC","LTR",200,205
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2019,"EARLYSNOWMELT","CC","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2018,"EARLYSNOWMELT_OTC","WA","LTR",207,212
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2019,"EARLYSNOWMELT_OTC","WA","LTR",234,238
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2019,"EARLYSNOWMELT_OTC","WA","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","2",2018,"EARLYSNOWMELT_OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2018,"EARLYSNOWMELT_OTC","WA","LTR",207,212
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","3",2019,"EARLYSNOWMELT_OTC","WA","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2018,"EARLYSNOWMELT_OTC","WA","LTR",207,212
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","4",2019,"EARLYSNOWMELT_OTC","WA","LTR",231,234
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2018,"EARLYSNOWMELT_OTC","WA","LTR",214,218
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","5",2019,"EARLYSNOWMELT_OTC","WA","LTR",234,238
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2019,"EARLYSNOWMELT_OTC","WA","LTR",234,238
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","6",2018,"EARLYSNOWMELT_OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2018,"EARLYSNOWMELT_OTC","WA","LTR",198,200
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","7",2019,"EARLYSNOWMELT_OTC","WA","LTR",227,231
"NIWOT","NIWOT.BS_LEFTY.CF","GEUROS","1",2018,"OTC","WA","LTR",198,200
