"site_name","subsite","year","treatment","spp","phen_stage","ct","ct_na"
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","DESCAE","LTR",21,0
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","DESCAE","R1",21,5
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","DESCAE","R2",21,4
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","DESCAE","R3",21,4
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","DESCAE","V1",21,21
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","DESCAE","V2",21,21
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","DESCAE","V3",21,0
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","DESCAE","V4",21,20
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","DESCAE","V5",21,21
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","GEUROS","LTR",21,0
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","GEUROS","R1",21,14
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","GEUROS","R2",21,15
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","GEUROS","R3",21,14
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","GEUROS","V1",21,21
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","GEUROS","V2",21,21
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","GEUROS","V3",21,4
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","GEUROS","V4",21,13
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","GEUROS","V5",21,21
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","POLBIS","LTR",19,5
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","POLBIS","R1",19,18
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","POLBIS","R2",19,19
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","POLBIS","R3",19,19
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","POLBIS","V1",19,19
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","POLBIS","V2",19,19
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","POLBIS","V3",19,0
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","POLBIS","V4",19,1
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"CTL","POLBIS","V5",19,12
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"EARLYSNOWMELT","DESCAE","LTR",18,0
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"EARLYSNOWMELT","DESCAE","R1",18,9
"NIWOT","NIWOT.BS_TROUGH.CF",2018,"EARLYSNOWMELT","DESCAE","R2",18,8
